AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,LOAN_DLQ_NUM
59926091,1,54,1,0,1,1,1,11000.0,1,1,0
59926221,0,35,1,0,1,1,1,15000.0,1,1,0
59926263,0,27,1,0,1,2,2,10000.0,1,1,0
59926295,0,48,1,0,1,2,0,6000.0,1,1,0
59926408,0,50,1,0,1,0,0,12000.0,1,1,0
59926549,0,41,1,0,1,2,2,5000.0,1,1,0
59926704,0,42,1,0,1,1,1,10000.0,2,2,0
59926732,0,29,1,0,0,1,1,6200.0,1,1,0
59926912,0,27,1,0,0,0,0,10000.0,1,1,0
59926936,0,40,1,0,0,2,2,20000.0,1,1,3
59927010,0,29,1,0,1,0,0,15000.0,1,1,2
59927078,0,53,1,0,1,0,0,6000.0,1,1,0
59927260,0,46,1,0,0,1,0,8000.0,1,1,0
59927432,0,57,0,1,1,2,0,7000.0,1,1,0
59927451,0,32,1,0,1,1,1,10500.0,1,1,0
59927525,0,56,1,0,1,0,0,170000.0,1,1,1
59927554,0,51,1,1,1,0,0,15000.0,1,1,0
59927584,0,31,1,0,1,2,2,15000.0,1,1,0
59927613,0,51,1,0,1,2,0,10000.0,1,1,0
59927690,0,43,1,0,1,1,1,8000.0,1,1,0
59927793,0,35,1,0,1,1,1,10000.0,2,2,0
59927798,0,38,1,0,1,0,0,9000.0,1,1,0
59927827,0,55,1,0,0,0,0,20000.0,1,1,0
59927916,0,37,1,0,1,2,2,60000.0,1,1,0
59927923,0,38,1,0,0,2,2,10000.0,1,1,0
59928049,0,23,1,0,1,2,2,8000.0,1,1,1
59928086,0,53,1,0,0,2,0,7000.0,1,1,0
59928106,0,40,1,0,0,2,0,7800.0,1,1,0
59928443,0,59,1,1,1,3,1,18000.0,2,1,0
59928497,0,37,1,0,1,2,2,10000.0,1,1,0
59928561,1,27,1,0,0,2,2,12000.0,2,2,0
59928609,0,63,1,0,1,0,0,25000.0,1,1,0
59928861,0,57,1,0,1,0,0,12000.0,1,1,0
59928901,1,42,1,0,0,0,0,15000.0,2,2,0
59928942,0,31,1,0,0,2,2,10000.0,3,2,0
59929169,0,33,1,0,1,2,2,3300.0,1,1,0
59929176,0,31,1,0,0,1,2,30000.0,2,1,2
59929197,0,51,1,0,1,2,0,8000.0,2,1,0
59929552,0,28,1,0,0,1,2,25000.0,2,2,1
59929697,0,27,1,0,1,1,1,6000.0,1,1,0
59929797,0,48,1,0,0,1,1,10000.0,1,1,0
59929832,0,24,1,0,0,1,1,6500.0,1,1,0
59929846,0,29,1,0,0,1,1,25000.0,1,1,0
59929855,0,66,1,1,1,1,0,9300.0,1,1,0
59929948,0,49,1,0,0,1,1,10000.0,1,1,1
59930128,0,23,1,0,0,0,0,15000.0,1,1,0
59930152,0,34,1,0,0,1,1,8000.0,1,1,0
59930194,1,35,1,0,0,0,0,13000.0,1,1,0
59930219,0,34,1,0,1,1,1,18000.0,2,2,0
59930389,0,49,1,0,1,0,0,10000.0,1,1,0
59930422,0,29,1,0,0,0,0,20000.0,1,1,0
59930424,0,57,1,0,0,3,0,12000.0,1,1,0
59930490,0,63,1,1,1,3,0,20000.0,1,1,1
59930738,0,33,1,0,0,0,0,35000.0,1,1,0
59930942,0,50,0,1,1,1,0,8000.0,1,1,0
59931044,0,48,1,0,1,0,0,18000.0,1,1,0
59931084,0,36,1,0,1,1,0,17000.0,1,1,0
59931383,0,34,1,0,0,2,2,6000.0,2,1,0
59931442,0,23,1,0,0,0,0,5500.0,1,1,0
59931474,0,29,1,0,0,0,0,28000.0,1,1,0
59931501,0,47,1,0,1,2,0,9000.0,1,1,0
59931579,0,34,1,0,1,1,1,14000.0,1,1,0
59931599,0,57,0,1,1,0,0,9000.0,1,1,0
59931767,0,53,1,0,1,0,0,7000.0,1,1,0
59931796,0,61,0,1,1,0,0,7000.0,1,1,0
59931959,0,34,1,0,1,2,2,10000.0,1,1,0
59931983,1,47,1,0,1,1,0,25000.0,1,1,0
59932008,0,24,1,0,0,0,0,20000.0,1,1,0
59932142,0,56,0,1,1,0,0,10000.0,1,1,0
59932520,0,42,1,0,0,1,0,10000.0,1,1,1
59932632,0,62,1,1,1,0,0,15000.0,2,2,0
59932724,1,37,1,0,1,2,2,12000.0,2,2,0
59932922,0,41,1,0,1,2,0,15000.0,1,1,0
59933024,0,49,1,0,1,1,1,2300.0,1,1,0
59933083,1,25,1,0,1,0,0,12000.0,1,1,1
59933136,0,39,1,0,0,1,1,20000.0,2,2,0
59933153,0,25,1,0,0,0,0,12000.0,1,1,0
59933221,0,44,1,0,1,1,1,7000.0,1,1,0
59933246,1,23,1,0,1,1,1,12000.0,1,1,1
59933395,0,27,1,0,0,1,1,15000.0,1,1,0
59933459,0,36,1,0,1,0,0,8000.0,2,2,0
59933661,0,47,1,0,1,1,0,30000.0,1,1,0
59933854,0,56,1,1,1,1,1,10000.0,1,1,0
59933862,0,30,1,0,0,1,1,6000.0,1,1,0
59934004,0,48,1,0,1,0,0,12000.0,1,1,0
59934011,0,50,1,0,0,0,0,15000.0,1,1,0
59934078,0,30,1,0,1,2,2,15000.0,1,1,0
59934125,0,49,1,0,1,0,0,5000.0,1,1,2
59934296,0,27,1,0,0,1,1,12000.0,1,1,0
59934364,1,39,1,0,0,2,2,32000.0,1,1,0
59934448,0,53,1,0,1,0,0,20000.0,2,2,0
59934534,0,44,1,0,0,2,0,10000.0,1,1,0
59934860,0,52,0,1,1,1,0,5500.0,1,1,0
59935108,0,24,1,0,1,0,0,12000.0,2,1,1
59935125,0,25,1,0,1,1,1,13500.0,1,1,1
59935139,0,60,1,1,1,0,0,5000.0,1,1,0
59935159,0,40,1,0,0,2,2,11000.0,2,2,0
59935199,0,48,1,0,1,0,0,15000.0,1,1,0
59935377,0,38,1,0,0,2,2,21000.0,1,1,0
59935448,1,35,1,0,0,0,0,28000.0,1,1,1
59935469,0,33,1,0,1,1,1,18000.0,2,1,1
59935708,0,29,1,0,0,0,0,35000.0,1,1,0
59935718,0,58,1,0,1,2,1,30000.0,1,1,2
59935837,0,49,1,1,1,0,0,7500.0,3,2,0
59935839,0,66,0,1,1,0,0,8400.0,2,2,0
59935875,1,50,1,0,1,2,0,5600.0,1,1,0
59935933,0,34,1,0,1,1,1,15000.0,1,1,0
59936064,0,58,1,0,0,0,0,13000.0,1,1,0
59936342,0,49,1,0,1,0,0,20000.0,1,1,0
59936570,0,42,1,0,1,1,1,25000.0,2,1,0
59936617,0,34,1,0,1,2,2,6000.0,1,1,0
59936794,0,37,1,0,1,2,2,9800.0,1,1,3
59936799,1,27,1,0,0,1,1,12000.0,1,1,2
59936804,0,60,1,0,0,0,0,11000.0,1,1,2
59936830,0,37,1,0,1,1,1,15000.0,1,1,1
59936839,0,38,1,0,1,0,0,10000.0,1,1,0
59937023,0,43,1,0,1,1,1,9000.0,1,1,0
59937024,0,35,1,0,1,0,0,15000.0,1,1,0
59937151,0,39,1,0,1,1,1,6500.0,1,1,0
59937320,0,42,1,0,1,1,0,10000.0,1,1,0
59937564,0,32,1,0,1,1,0,7000.0,1,1,0
59937712,0,49,1,0,0,3,0,15000.0,1,1,0
59937776,0,35,1,0,0,1,1,35000.0,1,1,0
59937805,1,42,1,0,1,1,0,10000.0,1,1,0
59937843,1,35,1,0,0,2,2,25000.0,1,1,0
59937903,0,38,1,0,0,2,2,10000.0,1,1,0
59938197,1,43,1,0,1,1,1,12500.0,1,1,0
59938227,0,37,1,0,1,0,0,10000.0,1,1,0
59938300,1,51,1,0,1,2,0,7000.0,1,1,0
59938618,0,44,1,0,0,0,0,20000.0,1,1,0
59938735,0,31,1,0,1,0,0,10000.0,2,1,0
59938893,0,32,1,0,1,0,0,14000.0,1,1,0
59939017,0,51,1,0,1,0,0,10000.0,1,1,0
59939096,0,52,1,0,1,2,0,10000.0,1,1,0
59939171,0,62,0,1,1,1,0,6000.0,1,1,0
59939180,0,63,0,1,0,0,0,4300.0,1,1,0
59939268,1,35,1,0,1,0,0,12000.0,1,1,0
59939374,0,25,1,0,0,0,0,10000.0,1,1,0
59939381,0,53,0,1,1,3,0,5000.0,1,1,0
59939625,0,25,1,0,0,0,0,24000.0,2,1,1
59939725,0,27,1,0,0,1,1,7000.0,1,1,0
59939737,0,55,1,0,0,0,0,20000.0,1,1,0
59939829,0,48,1,0,0,0,0,12000.0,1,1,0
59939964,0,44,1,0,1,0,0,10000.0,1,1,0
59940247,0,61,0,1,1,4,0,6200.0,1,1,0
59940316,0,61,0,1,1,2,0,4500.0,1,1,1
59940352,0,47,1,0,1,0,0,20000.0,1,1,0
59940513,0,59,1,0,0,1,1,20000.0,1,1,0
59940804,0,48,0,1,1,0,0,7000.0,1,1,0
59940865,0,29,1,0,1,1,1,15000.0,1,1,0
59959596,0,46,1,0,1,2,1,15000.0,1,1,0
59959659,0,46,1,0,0,0,0,10000.0,1,1,0
59959827,0,61,0,1,1,0,0,5000.0,1,1,0
59959841,0,65,0,1,1,0,0,6000.0,1,1,0
59959893,0,35,1,0,1,2,2,11000.0,1,1,0
59960027,0,50,0,1,1,0,0,8000.0,1,1,0
59960165,0,45,1,0,1,1,0,20000.0,1,1,0
59960311,0,50,1,0,1,1,1,16000.0,1,1,0
59960473,0,44,1,0,1,1,1,20000.0,1,1,0
59960871,0,28,1,0,0,0,0,20000.0,1,1,0
59961022,0,22,1,0,0,0,0,12000.0,1,1,0
59961183,0,58,0,1,1,0,0,9000.0,1,1,0
59961222,0,38,1,0,0,3,3,12000.0,1,1,0
59961282,0,43,1,0,1,0,0,40000.0,1,1,0
59961652,0,41,1,0,0,2,2,30000.0,1,1,0
59961674,0,53,1,0,0,0,0,15000.0,1,1,0
59961924,0,30,1,0,1,1,1,10000.0,1,1,0
59961994,0,39,1,0,1,2,2,10000.0,1,0,1
59962281,0,26,1,0,0,0,0,6000.0,1,1,0
59962548,0,26,1,0,0,1,1,15000.0,1,1,0
59963195,0,61,0,1,1,0,0,4950.0,1,1,0
59963382,0,58,1,0,0,2,0,5500.0,1,1,0
59963388,0,57,1,0,0,3,0,7000.0,1,1,0
59963500,0,51,1,0,0,4,0,15000.0,1,1,0
59963503,0,48,1,0,1,2,0,8000.0,1,1,0
59963696,0,35,1,0,0,1,1,15000.0,1,0,0
59963728,1,39,1,0,0,2,1,8000.0,1,0,0
59963789,0,42,1,0,0,1,1,28000.0,1,0,0
59964073,0,34,1,0,0,2,2,10000.0,1,1,0
59964749,0,34,1,0,0,1,1,11000.0,1,0,1
59965101,0,47,1,0,1,0,0,5000.0,1,0,0
59965218,0,29,1,0,1,1,1,11000.0,1,1,0
59965290,0,45,1,0,0,1,0,7000.0,1,1,0
59965423,0,54,1,0,1,0,0,6000.0,1,0,0
59965770,0,48,1,0,1,2,0,9000.0,1,0,0
59965990,0,23,1,0,1,0,0,13000.0,1,0,1
59966257,0,50,1,0,1,1,0,7000.0,1,0,0
59966422,0,53,1,0,1,1,0,15000.0,1,0,0
59966502,0,39,1,0,0,1,1,8000.0,1,0,0
59966600,0,45,1,0,1,1,0,12000.0,1,0,1
59966625,0,46,1,0,1,0,0,20000.0,1,0,1
59966861,0,27,1,0,1,1,1,6000.0,1,0,0
59966928,0,57,0,1,1,2,0,6500.0,1,0,3
59966946,0,60,0,1,1,2,0,6000.0,1,1,0
59966989,1,33,1,0,0,3,3,10000.0,1,0,1
59967229,0,57,1,1,0,2,0,14000.0,1,0,0
59967312,0,56,1,0,0,3,0,10000.0,1,0,1
59967428,0,59,1,0,1,0,0,8000.0,1,1,0
59967705,0,45,1,0,1,2,0,5000.0,1,0,0
59967858,0,43,1,0,0,0,0,30000.0,1,1,0
59968198,0,40,1,0,0,2,2,17000.0,1,0,0
59968281,0,34,1,0,1,0,0,10000.0,1,0,1
59968297,0,26,1,0,1,2,2,6000.0,1,0,2
59968300,0,27,1,0,1,2,2,10000.0,1,0,1
59968305,1,39,1,0,1,2,1,12000.0,1,0,0
59968371,0,41,1,0,1,0,0,8000.0,1,0,0
59968581,0,27,1,0,1,0,0,6000.0,1,0,0
59968595,0,53,1,0,1,1,0,13000.0,1,0,0
59968635,0,35,1,0,1,1,1,8000.0,1,0,0
59968922,0,50,1,0,0,0,0,15000.0,1,0,1
59968999,1,34,1,0,1,0,0,5000.0,1,0,0
59969048,0,44,1,0,0,3,0,25000.0,1,0,0
59969123,0,58,1,0,0,0,0,7000.0,1,0,0
59969141,0,36,1,0,1,2,2,18000.0,1,0,0
59969211,0,64,0,1,0,3,0,6000.0,1,0,0
59969405,0,24,1,0,1,0,0,15000.0,1,0,1
59969541,0,32,1,0,1,2,2,9000.0,1,0,0
59969571,0,26,1,0,0,1,1,10000.0,2,1,1
59969781,0,31,1,0,0,1,1,10000.0,1,0,0
59969988,0,27,1,0,1,0,0,13000.0,1,1,0
59970015,0,39,1,0,1,1,1,6500.0,1,1,0
59970019,0,59,0,1,1,1,0,4000.0,1,0,0
59970582,0,52,1,0,1,0,0,16000.0,1,0,0
59971711,0,25,1,0,1,0,0,20000.0,1,0,1
59971939,0,30,1,0,1,1,1,20000.0,1,0,1
59972108,1,29,1,0,1,1,1,9500.0,1,0,0
59972120,0,26,1,0,0,0,0,15000.0,1,1,0
59972240,1,35,1,0,1,0,0,7800.0,1,0,3
59972495,0,38,1,0,1,1,1,24000.0,1,1,0
59972509,1,45,1,0,1,1,0,18000.0,1,0,0
59972881,0,52,0,1,1,2,1,4600.0,1,0,0
59972887,0,46,1,0,1,2,1,36000.0,1,0,0
59973018,0,58,1,0,0,3,0,6000.0,1,0,0
59973106,0,29,1,0,1,0,0,15000.0,1,0,0
59973119,0,55,1,0,1,1,1,9000.0,1,0,2
59973194,0,53,1,0,1,2,0,10500.0,1,1,0
59973367,1,22,1,0,1,0,0,8000.0,1,0,1
59973701,0,23,1,0,1,1,1,7000.0,1,0,1
59973752,0,57,1,1,1,5,1,15000.0,1,0,0
59973988,0,50,1,0,1,1,0,10000.0,1,0,0
59974002,0,45,1,0,1,2,1,8000.0,1,0,0
59974159,0,60,0,1,1,0,0,5000.0,1,1,1
59974859,0,50,1,0,0,2,0,15000.0,1,0,0
59974935,0,46,1,0,0,1,0,15000.0,1,0,0
59974968,0,59,0,1,1,4,0,8000.0,1,0,0
59974976,0,33,1,0,0,1,1,9000.0,1,1,1
59974979,0,27,1,0,0,0,0,55000.0,1,1,0
59975134,1,38,1,0,0,2,0,15000.0,1,1,1
59975226,0,62,0,1,1,0,0,4000.0,1,1,0
59975401,0,31,1,0,0,1,1,15000.0,1,0,0
59975501,0,57,1,0,0,2,0,18000.0,1,0,0
59975641,0,33,1,0,1,1,1,7500.0,1,0,0
59975803,0,45,1,0,1,1,0,20000.0,1,0,1
59975854,0,49,1,0,1,0,0,9500.0,1,0,0
59975912,0,25,1,0,0,0,0,21000.0,1,0,0
59975969,0,55,1,0,1,1,0,13000.0,1,0,1
59975992,1,42,1,0,1,1,0,10000.0,1,0,0
59976017,0,42,1,0,0,2,2,23000.0,1,1,0
59976223,0,39,1,0,1,1,0,18000.0,1,0,0
59976321,0,34,1,0,1,2,2,11000.0,1,0,1
59976364,0,55,1,0,1,5,0,6000.0,1,0,0
59976454,0,43,1,0,1,0,0,4500.0,1,0,0
59976503,0,45,1,0,1,1,0,7500.0,1,0,0
59976648,0,62,1,0,1,2,0,23000.0,1,0,0
59976802,0,25,1,0,0,0,0,18000.0,1,0,0
59976840,0,54,1,0,1,1,0,7000.0,1,0,0
59976890,0,31,1,0,1,1,1,30000.0,1,0,0
59976896,0,42,1,0,1,1,1,9000.0,1,0,0
59977061,1,55,1,0,0,2,0,40000.0,1,0,0
60035449,1,44,1,0,1,3,0,5200.0,1,0,0
60035580,0,56,1,1,1,2,0,45000.0,1,1,0
60035789,1,56,1,0,1,2,0,11000.0,1,0,0
60035997,0,65,0,1,1,2,0,8000.0,1,0,0
60036099,0,42,1,0,1,0,0,7000.0,1,0,0
60036186,0,47,1,0,1,2,1,7000.0,1,0,0
60036487,1,50,1,0,0,4,0,29000.0,1,0,0
60036811,0,56,0,1,1,0,0,11000.0,1,0,0
60036992,0,53,1,0,1,0,0,6500.0,1,0,0
60037205,0,30,1,0,0,2,2,10000.0,1,0,0
60037207,1,26,1,0,0,0,0,12000.0,1,0,0
60037559,0,55,1,0,0,2,0,6000.0,1,0,0
60037740,0,39,1,0,0,3,2,18000.0,1,0,0
60037794,0,46,1,0,1,1,0,9000.0,1,0,0
60038271,0,33,1,0,0,0,0,10000.0,1,1,0
60038720,0,32,1,0,0,1,1,25000.0,1,0,0
60038740,0,54,0,1,1,0,0,6500.0,1,0,1
60039083,0,60,0,1,1,0,0,5200.0,1,0,0
60039189,0,39,1,0,1,1,1,17000.0,1,0,0
60039398,0,42,1,0,1,3,2,10000.0,1,1,0
60039486,0,36,1,0,1,0,0,12000.0,1,0,0
60039580,0,46,1,0,0,1,1,20000.0,1,0,0
60039657,0,47,1,0,1,2,0,14000.0,2,0,0
60039761,0,27,1,0,0,0,0,6000.0,2,0,0
60039822,0,37,1,0,0,1,1,15000.0,1,0,0
60040109,0,26,1,0,0,0,0,9800.0,1,1,0
60040119,0,32,1,0,0,1,1,30000.0,1,0,0
60040178,0,48,1,0,1,2,0,7000.0,1,0,0
60040354,0,48,1,0,1,1,0,7000.0,1,0,0
60040474,0,34,1,0,0,0,0,10000.0,1,0,1
60040982,1,25,1,0,0,0,0,20000.0,1,0,0
60041009,0,58,0,1,1,2,0,7800.0,1,1,0
60041507,0,37,1,0,1,1,1,10000.0,1,0,0
60041801,0,38,1,0,1,3,3,12000.0,1,1,0
60042352,0,57,1,0,1,2,0,18000.0,1,0,0
60042394,0,53,1,0,1,2,0,15000.0,1,1,0
60042552,0,35,1,0,1,0,0,9500.0,1,0,0
60042654,0,25,1,0,1,0,0,15000.0,1,0,1
60043044,0,46,1,0,0,1,1,10000.0,1,0,0
60043375,0,52,1,0,1,1,0,12000.0,1,0,0
60043904,0,33,1,0,1,1,1,14000.0,1,0,0
60043994,0,31,1,0,0,0,0,19000.0,1,1,0
60044030,0,56,1,0,1,0,0,9000.0,1,0,0
60044082,0,33,1,0,1,0,0,20000.0,1,0,0
60044131,1,46,1,0,1,0,0,10000.0,1,1,0
60044590,1,37,1,0,1,2,2,7000.0,1,0,0
60044649,0,64,0,1,1,0,0,5500.0,1,0,0
60044737,0,54,1,0,0,0,0,10000.0,1,1,0
60044771,0,32,1,0,0,3,3,10000.0,1,0,1
60044935,0,44,1,0,1,1,0,17000.0,1,0,0
60044974,1,48,1,0,1,2,0,5000.0,1,1,0
60045158,0,51,1,0,1,2,0,13900.0,1,0,0
60045188,0,52,1,0,1,2,0,8000.0,1,0,0
60045224,1,32,1,0,0,0,0,12000.0,1,0,1
60045353,0,40,1,0,0,0,0,23000.0,1,0,0
60045383,0,54,1,0,1,2,0,18000.0,1,0,0
60045476,0,24,1,0,1,0,0,23000.0,1,0,1
60045483,0,46,1,0,1,2,0,8000.0,1,0,0
60045495,0,30,1,0,1,1,1,20000.0,1,1,0
60045619,0,38,1,0,1,2,2,12000.0,1,1,0
60045661,0,45,1,0,1,1,1,23000.0,1,0,0
60045701,0,23,1,0,1,0,0,6000.0,1,0,1
60045935,0,56,1,0,1,0,0,11000.0,1,0,0
60046035,0,32,1,0,0,1,1,8500.0,1,0,0
60046311,0,49,1,0,0,1,1,17000.0,1,0,0
60046341,0,45,1,0,0,1,1,4500.0,1,0,0
60046535,0,55,1,0,1,2,0,6000.0,1,0,0
60047028,0,51,1,0,1,2,0,8000.0,1,0,2
60047117,0,35,1,0,0,2,2,14000.0,1,0,0
60047226,1,51,1,0,1,3,0,12500.0,1,0,0
60047260,0,52,1,0,0,2,0,15000.0,1,0,1
60047350,0,25,1,0,0,0,0,27000.0,1,1,0
60047638,0,27,1,0,1,0,0,15000.0,1,0,0
60047783,0,27,1,0,1,1,1,16000.0,1,0,0
60047856,0,31,1,0,1,1,1,8000.0,1,0,0
