LotArea,LotArea_M,Street,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,TotalBsmtSF,TotalBsmtSF_M,Heating,HeatingQC,CentralAir,GrLivArea,GrLivArea_M,Bath,KitchenQual,GarageArea,GarageArea_M,DateSold,SaleCondition,SalePrice
5790,537.90837,Pave,1Fam,3,6,1915,1950,Gambrel,Gd,Gd,CBlock,840,78.03852,GasA,Gd,N,1605,149.109315,2,TA,379,35.210237,5/2010,Normal,107400
1596,148.273188,Pave,Twnhs,4,5,1973,1973,Gable,TA,TA,CBlock,462,42.921186,GasA,TA,Y,988,91.788164,1,TA,297,27.592191,11/2009,Normal,91000
8475,787.352925,Pave,1Fam,4,7,1956,1956,Gable,TA,TA,CBlock,952,88.443656,GasA,Ex,Y,952,88.443656,1,TA,283,26.291549,4/2008,Normal,135750
8635,802.217405,Pave,1Fam,5,5,1948,2001,Gable,TA,TA,CBlock,672,62.430816,GasA,TA,Y,1285,119.380355,1,TA,240,22.29672,1/2008,Normal,127000
10778,1001.308534,Pave,Duplex,4,5,1968,1968,Hip,TA,TA,CBlock,1768,164.252504,GasA,TA,N,1768,164.252504,2,TA,0,0.0,4/2010,Normal,136500
10440,969.90732,Pave,1Fam,5,6,1910,1981,Gable,TA,TA,PConc,440,40.87732,GasA,Gd,Y,1230,114.27069,2,TA,440,40.87732,5/2009,Normal,110000
13000,1207.739,Pave,1Fam,6,6,1968,1968,Gable,TA,Gd,CBlock,896,83.241088,GasA,TA,Y,2142,198.998226,3,Gd,509,47.287627,6/2009,Normal,193500
4500,418.0635,Pave,TwnhsE,6,5,1998,1998,Hip,TA,Gd,PConc,1237,114.921011,GasA,Ex,Y,1337,124.211311,2,TA,405,37.625715,3/2006,Normal,153500
10206,948.168018,Pave,1Fam,8,5,2007,2007,Gable,TA,TA,PConc,1563,145.207389,GasA,Ex,Y,1563,145.207389,2,Gd,758,70.420474,10/2008,Normal,245000
8892,826.093476,Pave,1Fam,5,5,1960,1960,Gable,TA,TA,CBlock,1065,98.941695,GasA,Gd,Y,1065,98.941695,2,TA,461,42.828283,7/2007,Normal,126500
8530,792.46259,Pave,1Fam,7,5,1995,1996,Gable,TA,TA,PConc,384,35.674752,GasA,Gd,Y,1474,136.939022,3,TA,400,37.1612,5/2009,Normal,168500
16059,1491.929277,Pave,1Fam,8,5,1991,1992,Hip,Gd,TA,CBlock,1288,119.659064,GasA,Ex,Y,2417,224.546551,3,Gd,462,42.921186,4/2006,Normal,260000
11911,1106.567633,Pave,1Fam,6,5,2005,2005,Gable,Gd,TA,PConc,684,63.545652,GasA,Ex,Y,1560,144.92868,3,Gd,400,37.1612,3/2009,Normal,174000
3951,367.059753,Pave,TwnhsE,6,5,2009,2009,Gable,Gd,TA,PConc,612,56.856636,GasA,Ex,Y,1224,113.713272,3,Gd,528,49.052784,6/2009,Partial,164500
8470,786.88841,Pave,1Fam,3,2,1915,1982,Hip,Fa,Fa,CBlock,1013,94.110739,GasA,TA,N,1526,141.769978,1,Fa,0,0.0,10/2009,Abnorml,85000
8070,749.72721,Pave,1Fam,4,5,1994,1995,Gable,TA,TA,PConc,990,91.97397,GasA,Ex,Y,990,91.97397,1,TA,0,0.0,8/2007,Normal,123600
7200,668.9016,Pave,1Fam,4,5,1950,1950,Gable,TA,TA,Slab,0,0.0,GasA,TA,Y,1040,96.61912,1,TA,420,39.01926,7/2006,Normal,109900
8500,789.6754999999999,Pave,1Fam,5,3,1961,1961,Hip,TA,TA,CBlock,1235,114.735205,GasA,TA,Y,1235,114.735205,1,TA,480,44.59344,12/2006,Abnorml,98600
13360,1241.18408,Pave,1Fam,5,7,1921,2006,Gable,TA,Gd,BrkTil,876,81.383028,GasA,Ex,Y,964,89.558492,1,TA,432,40.134096,8/2009,Normal,163500
7200,668.9016,Pave,2fmCon,6,6,1910,1998,Hip,TA,TA,BrkTil,1214,112.784242,GasW,Ex,N,2291,212.840773,2,TA,506,47.008918,11/2007,Normal,133900
9337,867.435311,Pave,1Fam,6,5,1997,1997,Gable,TA,Gd,PConc,824,76.552072,GasA,Ex,Y,1786,165.924758,3,Gd,684,63.545652,5/2007,Normal,204750
9765,907.197795,Pave,1Fam,6,8,1993,1993,Gable,Ex,Gd,PConc,680,63.17404,GasA,Gd,Y,1470,136.56741,3,TA,420,39.01926,4/2009,Normal,185000
10264,953.556392,Pave,1Fam,7,5,1999,1999,Gable,Gd,TA,PConc,1588,147.529964,GasA,Ex,Y,1588,147.529964,2,Gd,472,43.850216,8/2006,Normal,214000
10921,1014.593663,Pave,1Fam,4,5,1965,1965,Hip,TA,TA,CBlock,960,89.18688,GasA,TA,Y,960,89.18688,1,TA,432,40.134096,5/2007,Normal,94750
10625,987.094375,Pave,1Fam,5,5,1920,1950,Gable,TA,TA,BrkTil,458,42.549574,GasA,Fa,N,835,77.574005,1,TA,366,34.002498,5/2010,Abnorml,83000
9320,865.85596,Pave,1Fam,4,5,1959,1959,Gable,TA,TA,CBlock,950,88.25785,GasA,Fa,Y,1225,113.806175,2,TA,0,0.0,1/2010,Normal,128950
10603,985.050509,Pave,1Fam,6,7,1977,2001,Gable,TA,TA,PConc,1610,149.57383,GasA,Gd,Y,1610,149.57383,2,Gd,480,44.59344,2/2010,Normal,205000
9206,855.2650179999999,Pave,1Fam,6,5,1985,1985,Gable,Gd,TA,CBlock,741,68.841123,GasA,TA,Y,1732,160.907996,3,Gd,476,44.221828,6/2010,Normal,178000
7018,651.993254,Pave,Duplex,5,5,1979,1979,Gable,TA,Fa,Slab,0,0.0,GasA,TA,Y,1535,142.606105,2,TA,410,38.09023,6/2009,Alloca,118964
10402,966.377006,Pave,1Fam,7,5,2009,2009,Gable,TA,TA,PConc,1226,113.899078,GasA,Ex,Y,1226,113.899078,2,Gd,740,68.74822,5/2010,Normal,198900
7758,720.741474,Pave,1Fam,7,4,1931,1950,Gable,TA,Fa,PConc,1040,96.61912,GasA,Ex,Y,1818,168.897654,2,TA,240,22.29672,6/2007,Normal,169500
9375,870.965625,Pave,1Fam,8,5,2003,2004,Hip,Gd,TA,PConc,1053,97.826859,GasA,Ex,Y,1992,185.062776,3,Gd,648,60.201144,8/2008,Normal,250000
10800,1003.3524,Pave,1Fam,4,7,1885,1995,Mansard,TA,TA,BrkTil,641,59.550823,GasA,Gd,Y,1047,97.269441,1,TA,273,25.362519,8/2007,Normal,100000
6000,557.418,Pave,1Fam,5,5,1948,1950,Gable,TA,TA,CBlock,789,73.300467,GasA,Ex,Y,789,73.300467,1,TA,250,23.22575,4/2008,Partial,115000
8500,789.6754999999999,Pave,1Fam,5,7,1919,2005,Gable,TA,TA,CBlock,793,73.672079,GasW,TA,N,1517,140.933851,2,Fa,0,0.0,8/2007,Normal,115000
11751,1091.703153,Pave,1Fam,6,6,1977,1977,Hip,TA,TA,CBlock,1844,171.313132,GasA,Ex,Y,1844,171.313132,2,TA,546,50.725038,1/2010,Normal,190000
9525,884.901075,Pave,1Fam,6,4,1954,1972,Gable,TA,TA,CBlock,994,92.345582,GasA,Gd,Y,1855,172.335065,2,TA,325,30.193475,10/2006,Normal,136900
7750,719.99825,Pave,1Fam,7,5,2000,2000,Gable,TA,TA,PConc,384,35.674752,GasA,Ex,Y,1430,132.85129,3,TA,400,37.1612,4/2010,Normal,180000
9965,925.778395,Pave,1Fam,7,5,2007,2007,Gable,Gd,TA,PConc,1264,117.429392,GasA,Ex,Y,2696,250.466488,3,Ex,792,73.579176,10/2007,Partial,383970
21000,1950.963,Pave,1Fam,6,5,1953,1953,Hip,TA,Gd,CBlock,1809,168.061527,GasA,TA,Y,2259,209.867877,2,Gd,450,41.80635,10/2007,Abnorml,217000
7259,674.382877,Pave,1Fam,6,8,1945,2002,Gambrel,TA,TA,CBlock,1028,95.504284,GasA,Ex,Y,2320,215.53496,3,Gd,180,16.72254,7/2007,Normal,259500
3230,300.07669,Pave,TwnhsE,6,5,1999,1999,Gable,TA,TA,PConc,729,67.726287,GasA,Gd,Y,1458,135.452574,3,TA,440,40.87732,6/2007,Normal,176000
11616,1079.161248,Pave,1Fam,5,5,1962,1962,Gable,TA,TA,CBlock,1092,101.450076,GasA,TA,Y,1092,101.450076,1,TA,288,26.756064,9/2009,Normal,139000
8536,793.020008,Pave,1Fam,5,5,2006,2007,Gable,TA,TA,PConc,1125,104.515875,GasA,Gd,Y,1125,104.515875,2,TA,430,39.94829,4/2007,Partial,155000
12376,1149.767528,Pave,1Fam,7,5,1990,1990,Hip,TA,TA,PConc,1673,155.426719,GasA,Gd,Y,3222,299.333466,3,Gd,594,55.184382,5/2010,Normal,320000
8461,786.052283,Pave,1Fam,6,5,2005,2006,Gable,Gd,TA,PConc,728,67.633384,GasA,Ex,Y,1456,135.266768,3,Gd,390,36.23217,7/2006,Partial,163990
21453,1993.048059,Pave,1Fam,6,5,1969,1969,Flat,TA,TA,CBlock,938,87.143014,GasA,Ex,Y,988,91.788164,1,TA,540,50.16762,10/2006,Normal,180000
6060,562.99218,Pave,1Fam,4,5,1939,1950,Gable,TA,TA,PConc,732,68.004996,GasA,Gd,Y,1123,104.330069,1,TA,264,24.526392,6/2007,Normal,100000
9464,879.233992,Pave,1Fam,6,7,1958,1958,Hip,TA,Gd,CBlock,1080,100.33524,GasA,Gd,Y,1080,100.33524,1,TA,288,26.756064,6/2008,Normal,136000
7892,733.190476,Pave,TwnhsE,6,5,1993,1993,Gable,Gd,TA,PConc,1199,111.390697,GasA,Ex,Y,1199,111.390697,2,Gd,530,49.23859,3/2008,Normal,153900
17043,1583.345829,Pave,1Fam,6,5,1979,1998,Gable,TA,Gd,CBlock,1362,126.533886,GasA,TA,Y,1586,147.344158,2,TA,435,40.412805,1/2009,Normal,181000
6780,629.88234,Pave,2fmCon,6,8,1935,1982,Gable,TA,Fa,CBlock,520,48.30956,GasA,Gd,N,754,70.048862,1,TA,0,0.0,6/2006,Normal,84500
4928,457.825984,Pave,TwnhsE,6,5,1976,1976,Gable,TA,TA,CBlock,1078,100.149434,GasA,TA,Y,958,89.001074,2,TA,440,40.87732,2/2007,Normal,128000
4388,407.658364,Pave,1Fam,5,7,1930,1950,Gable,TA,Gd,BrkTil,672,62.430816,GasA,Ex,Y,840,78.03852,1,TA,0,0.0,6/2007,Normal,87000
7590,705.13377,Pave,1Fam,6,5,1966,1966,Gable,TA,TA,CBlock,660,61.31598,GasA,TA,Y,1348,125.233244,2,TA,453,42.085059,7/2006,Normal,155000
8973,833.618619,Pave,1Fam,5,7,1958,1991,Gable,TA,TA,CBlock,1008,93.646224,GasA,TA,Y,1053,97.826859,2,Ex,750,69.67725,7/2006,Abnorml,150000
14200,1319.2226,Pave,1Fam,7,6,1966,1966,Gable,TA,TA,CBlock,924,85.842372,GasA,Ex,Y,2157,200.391771,3,Gd,487,45.243761,5/2006,Normal,226000
12224,1135.646272,Pave,1Fam,6,5,2000,2000,Gable,Gd,TA,PConc,992,92.159776,GasA,Ex,Y,2054,190.822762,3,Gd,390,36.23217,7/2009,Normal,244000
7388,686.367364,Pave,1Fam,5,6,1959,2002,Gable,TA,TA,CBlock,1063,98.755889,GasA,Gd,Y,1327,123.282281,1,Gd,624,57.971472,7/2007,Normal,150750
6853,636.664259,Pave,1Fam,8,5,2001,2002,Gable,Gd,TA,PConc,1267,117.708101,GasA,Ex,Y,1296,120.402288,2,Gd,471,43.757313,6/2009,Normal,220000
10335,960.152505,Pave,1Fam,5,6,1968,1993,Gable,TA,TA,CBlock,1461,135.731283,GasA,Gd,Y,1721,159.886063,3,TA,440,40.87732,7/2006,Normal,180000
10400,966.1912,Pave,1Fam,7,6,1970,1970,Hip,TA,TA,PConc,1304,121.145512,GasA,Gd,Y,1682,156.262846,2,TA,530,49.23859,5/2008,Normal,174000
10355,962.010565,Pave,1Fam,5,5,1967,1967,Gable,TA,TA,CBlock,1214,112.784242,GasA,TA,Y,1214,112.784242,2,TA,318,29.543154,7/2007,Normal,143000
11070,1028.43621,Pave,Duplex,7,5,1988,1989,Gable,TA,TA,CBlock,1907,177.166021,GasA,Gd,Y,1959,181.996977,3,TA,766,71.163698,7/2006,Family,171000
9066,842.258598,Pave,1Fam,8,5,1999,2000,Gable,Gd,TA,PConc,1004,93.274612,GasA,Ex,Y,1852,172.056356,3,Gd,660,61.31598,12/2008,Normal,230000
15426,1433.121678,Pave,1Fam,6,5,1997,1997,Gable,TA,TA,PConc,928,86.213984,GasA,Ex,Y,1764,163.880892,3,Gd,470,43.66441,8/2009,Normal,231500
10500,975.4815,Pave,1Fam,4,5,1971,1971,Gable,TA,TA,CBlock,864,80.268192,GasA,TA,Y,864,80.268192,1,TA,0,0.0,4/2010,Normal,115000
11645,1081.855435,Pave,1Fam,7,5,2005,2005,Gable,Gd,TA,PConc,1734,161.093802,GasA,Ex,Y,1734,161.093802,2,Gd,660,61.31598,1/2006,Normal,260000
8520,791.53356,Pave,1Fam,5,4,1952,1952,Gable,TA,Fa,CBlock,910,84.54173,GasA,Fa,Y,1385,128.670655,2,TA,720,66.89016,6/2010,Normal,166000
10335,960.152505,Pave,1Fam,7,5,1999,1999,Gable,Gd,TA,PConc,1490,138.42547,GasA,Ex,Y,1501,139.447403,2,Gd,577,53.605031,6/2009,Normal,204000
9100,845.4173,Pave,Duplex,5,5,1963,1963,Gable,TA,TA,CBlock,1728,160.536384,GasA,TA,Y,1728,160.536384,2,TA,504,46.823112,11/2006,Abnorml,125000
2522,234.301366,Pave,Twnhs,6,5,2004,2006,Gable,Gd,TA,PConc,970,90.11591,GasA,Ex,Y,1709,158.771227,2,Gd,380,35.30314,4/2006,Normal,130000
