model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
unknown,2019.0,71899,Automatic,4612.0,Petrol,145.0,46.333333333333336,1.9333333333333333
 A Class,2016.3333333333333,10491,Automatic,94000.0,Diesel,20.0,70.6,2.1
 GLA Class,2018.6666666666667,27998,Semi-Auto,4663.0,Petrol,225.0,35.8,2.3000000000000003
 E Class,2017.0,21498,Semi-Auto,39856.666666666664,Diesel,153.33333333333334,52.3,3.0
unknown,2019.0,18748,Automatic,9006.0,Diesel,145.0,68.9,1.5
 CLS Class,2019.0,36000,Semi-Auto,8264.0,Diesel,145.0,48.7,2.9
 E Class,2017.6666666666667,4950,Automatic,99844.0,Diesel,151.66666666666666,43.666666666666664,3.0
unknown,2015.6666666666667,9991,Semi-Auto,66419.0,Petrol,165.0,49.43333333333334,2.6666666666666665
unknown,2017.0,17599,Semi-Auto,41107.0,Diesel,30.0,64.2,2.1
 CL Class,2018.0,16499,Automatic,76640.0,Diesel,106.66666666666667,70.6,2.6666666666666665
 A Class,2017.0,15995,Semi-Auto,9876.333333333334,Petrol,145.0,55.4,1.6
 A Class,2020.0,26319,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 E Class,2019.0,24999,Semi-Auto,7512.0,Diesel,145.0,72.4,2.0
 A Class,2015.0,15498,Manual,35295.0,Diesel,20.0,60.66666666666666,1.5
 GLC Class,2018.3333333333333,26980,Semi-Auto,10266.0,Petrol,145.0,37.2,2.0
 S Class,2019.0,53699,Semi-Auto,4870.0,Diesel,145.0,52.3,3.0
 C Class,2019.0,45199,Semi-Auto,7635.0,Petrol,145.0,30.4,2.033333333333333
 E Class,2018.6666666666667,28980,Semi-Auto,3449.0,Diesel,145.0,61.4,2.3333333333333335
unknown,2016.0,20480,Semi-Auto,29578.0,Diesel,150.0,64.2,2.6999999999999997
 GLE Class,2017.0,24500,Automatic,23634.333333333332,Diesel,155.0,47.9,2.733333333333333
 CL Class,2017.0,18890,Manual,18427.0,Diesel,20.0,60.56666666666667,2.1
 A Class,2018.0,30949,Semi-Auto,7301.666666666667,Petrol,145.0,40.9,1.7
unknown,2016.0,21998,Semi-Auto,30496.0,Diesel,160.0,59.333333333333336,3.0
 E Class,2017.0,31299,Semi-Auto,16023.666666666666,Diesel,145.0,58.9,2.0
unknown,2016.3333333333333,28995,Automatic,5650.0,Diesel,131.66666666666666,58.833333333333336,2.1
 C Class,2019.0,27000,Semi-Auto,3689.0,Diesel,145.0,60.1,2.033333333333333
 C Class,2016.0,17498,Semi-Auto,29578.0,Diesel,150.0,64.2,2.6999999999999997
 A Class,2019.0,21480,Automatic,6502.0,Diesel,145.0,56.5,1.5999999999999999
 C Class,2019.0,19394,Semi-Auto,14203.0,Petrol,145.0,46.3,1.5
unknown,2015.0,12949,Semi-Auto,47476.333333333336,Diesel,20.0,67.3,1.8666666666666665
unknown,2015.6666666666667,15199,Semi-Auto,39721.0,Diesel,20.0,68.9,2.1
unknown,2018.0,17495,Manual,31953.0,Petrol,145.0,51.4,2.3666666666666667
 A Class,2017.0,18240,Automatic,15806.0,Diesel,103.33333333333333,68.9,1.5
 X-CLASS,2019.0,22995,Automatic,8974.0,Diesel,221.66666666666666,35.8,2.3
 M Class,2016.0,17481,Semi-Auto,58457.0,Diesel,100.0,65.2,2.1
 V Class,2019.0,39950,Automatic,2738.0,Diesel,145.0,44.8,2.2
unknown,2016.0,23790,Semi-Auto,34609.333333333336,Diesel,125.0,60.76666666666667,2.1
 C Class,2016.0,19999,Automatic,16627.666666666668,Hybrid,163.33333333333334,57.63333333333333,2.0
 V Class,2019.0,45395,Automatic,9.0,Diesel,145.0,36.2,2.0
unknown,2015.0,13995,Automatic,67000.0,Diesel,30.0,64.2,2.1
unknown,2018.6666666666667,26999,Semi-Auto,11000.0,Petrol,145.0,37.2,2.0
 E Class,2018.0,30000,Semi-Auto,59977.666666666664,Diesel,145.0,58.73333333333333,3.0
 CLS Class,2018.0,33990,Semi-Auto,10677.0,Diesel,148.33333333333334,48.7,2.9
unknown,2017.0,23990,Automatic,12220.0,Petrol,103.33333333333333,46.3,1.5
 V Class,2019.0,36998,Automatic,5500.0,Diesel,145.0,45.6,2.033333333333333
 A Class,2016.0,14580,Manual,13232.0,Diesel,100.0,65.7,2.1
unknown,2019.0,32199,Semi-Auto,10316.0,Diesel,145.0,47.166666666666664,2.1
 E Class,2018.3333333333333,24999,Semi-Auto,13302.0,Diesel,145.0,72.4,2.0
unknown,2019.0,28180,Automatic,5477.0,Diesel,145.0,58.9,2.1
 A Class,2016.0,11900,Manual,39122.0,Diesel,100.0,72.4,1.5
 E Class,2019.0,40995,Automatic,7512.0,Diesel,150.0,41.5,2.9
 B Class,2019.0,23899,Automatic,4612.0,Diesel,145.0,46.333333333333336,1.9333333333333333
 CL Class,2015.0,15990,Automatic,52000.0,Diesel,20.0,62.8,1.9000000000000001
unknown,2018.6666666666667,49980,Automatic,17587.0,Petrol,145.0,40.9,3.0
unknown,2020.0,56995,Semi-Auto,4242.0,Diesel,150.0,32.5,2.3333333333333335
 C Class,2017.0,16922,Semi-Auto,52519.0,Diesel,30.0,64.2,1.6
 B Class,2019.0,23480,Automatic,4612.0,Diesel,145.0,46.333333333333336,1.9333333333333333
unknown,2017.0,20498,Semi-Auto,5630.0,Diesel,105.0,52.76666666666667,1.6
 A Class,2016.3333333333333,14000,Manual,21266.0,Diesel,96.66666666666667,65.7,2.1
 A Class,2016.0,17890,Semi-Auto,27404.0,Diesel,20.0,74.3,2.033333333333333
 GLE Class,2019.0,47750,Semi-Auto,3853.0,Diesel,145.0,36.7,2.0
 SL CLASS,2017.0,17765,Semi-Auto,19235.0,Diesel,145.0,70.6,2.0
 C Class,2019.0,24039,Manual,1066.0,Petrol,145.0,51.4,1.6
 GLC Class,2016.0,27480,Semi-Auto,35782.0,Diesel,58.333333333333336,89.76666666666665,2.033333333333333
 GLA Class,2020.0,26990,Semi-Auto,6245.666666666667,Petrol,145.0,35.8,1.6
 E Class,2020.0,38399,Semi-Auto,1000.0,Diesel,145.0,40.46666666666666,2.0
 A Class,2018.6666666666667,18600,Automatic,7088.333333333333,Petrol,145.0,28.5,1.4333333333333333
 C Class,2019.0,31499,Semi-Auto,6618.0,Diesel,145.0,54.3,2.0
 E Class,2019.0,24541,Automatic,4180.0,Diesel,145.0,67.3,2.0
unknown,2015.0,12880,Semi-Auto,32786.0,Diesel,145.0,53.3,2.0
 C Class,2017.0,40980,Semi-Auto,22547.0,Petrol,300.0,50.93333333333334,4.0
 C Class,2015.6666666666667,17900,Automatic,34797.0,Diesel,30.0,64.2,2.1
 C Class,2017.0,16000,Automatic,34972.0,Diesel,108.33333333333333,65.7,1.6
 GLC Class,2017.0,22750,Semi-Auto,29929.0,Diesel,145.0,47.36666666666667,2.1
 A Class,2017.0,16480,Semi-Auto,49118.666666666664,Diesel,20.0,70.6,1.8666666666666665
 C Class,2019.0,30995,Semi-Auto,1.0,Diesel,145.0,46.3,2.0
unknown,2018.6666666666667,27495,Automatic,36061.0,Diesel,145.0,56.5,2.1
 E Class,2015.6666666666667,13999,Semi-Auto,34500.0,Diesel,125.0,57.7,2.1
 B Class,2018.6666666666667,19344,Automatic,15257.0,Petrol,145.0,49.73333333333333,1.3
 E Class,2016.0,19248,Automatic,15122.0,Diesel,145.0,53.3,1.6333333333333335
 A Class,2020.0,26981,Semi-Auto,16627.666666666668,Diesel,163.33333333333334,57.63333333333333,2.0
 E Class,2018.0,21317,Automatic,56337.666666666664,Diesel,165.0,41.6,3.0
unknown,2019.0,64999,Semi-Auto,39477.0,Petrol,145.0,40.9,3.0
unknown,2018.6666666666667,21481,Semi-Auto,29840.0,Petrol,145.0,47.1,2.0
 A Class,2016.0,13999,Manual,52443.0,Diesel,30.0,65.7,2.1
unknown,2019.0,31980,Semi-Auto,9.0,Diesel,145.0,64.2,2.0
 E Class,2016.0,18990,Automatic,33549.0,Diesel,30.0,65.7,2.1
 GLA Class,2019.0,23399,Semi-Auto,4612.0,Diesel,145.0,46.333333333333336,1.9333333333333333
 C Class,2019.0,27992,Semi-Auto,12838.0,Diesel,145.0,55.4,2.0
unknown,2018.0,20999,Semi-Auto,9250.0,Petrol,145.0,56.166666666666664,2.1999999999999997
 C Class,2016.0,15699,Automatic,30173.0,Diesel,20.0,64.2,2.0666666666666664
 E Class,2016.0,18800,Automatic,31257.0,Diesel,30.0,65.7,2.0
unknown,2019.0,60859,Semi-Auto,1000.0,Petrol,145.0,28.5,4.0
unknown,2015.0,21999,Automatic,48500.0,Diesel,138.33333333333334,56.5,2.1
 C Class,2017.0,34981,Semi-Auto,22056.0,Petrol,150.0,35.3,3.0
 GLC Class,2017.0,24100,Automatic,32894.0,Diesel,48.333333333333336,56.5,2.1
 E Class,2019.0,36699,Automatic,5745.0,Hybrid,135.0,188.3,2.0
 A Class,2020.0,33900,Automatic,1815.0,Hybrid,183.33333333333334,1.1,2.3333333333333335
unknown,2018.6666666666667,25500,Semi-Auto,1000.0,Diesel,145.0,55.4,2.3333333333333335
 C Class,2020.0,33990,Semi-Auto,100.0,Diesel,145.0,50.9,2.0
 A Class,2017.0,14000,Manual,55255.0,Diesel,90.0,62.8,2.1
unknown,2016.0,20049,Semi-Auto,59425.666666666664,Diesel,145.0,54.3,3.0
 C Class,2016.0,27444,Automatic,52694.0,Petrol,260.0,35.8,3.0
 A Class,2016.0,15499,Manual,7772.0,Diesel,100.0,72.4,1.5
 S Class,2012.0,12995,Automatic,39098.0,Diesel,235.0,41.5,3.0
 E Class,2017.0,29995,Semi-Auto,24531.0,Petrol,145.0,46.866666666666674,2.0
unknown,2019.0,30562,Automatic,16538.0,Diesel,145.0,56.5,2.1
 A Class,2015.0,13959,Manual,28051.0,Petrol,145.0,46.43333333333334,2.0666666666666664
 GLC Class,2019.0,39900,Semi-Auto,5689.0,Diesel,145.0,40.9,2.0
 C Class,2017.0,31599,Semi-Auto,5800.0,Petrol,103.33333333333333,46.3,1.5
unknown,2018.6666666666667,29449,Semi-Auto,3144.0,Diesel,145.0,46.633333333333326,2.1
unknown,2016.0,18295,Semi-Auto,34609.333333333336,Diesel,125.0,60.76666666666667,2.1
 E Class,2019.0,24999,Semi-Auto,4008.6666666666665,Diesel,145.0,56.833333333333336,2.0
 E Class,2017.3333333333333,25412,Semi-Auto,24346.0,Diesel,160.0,51.4,3.0
unknown,2019.0,22678,Automatic,15133.0,Diesel,145.0,61.4,2.033333333333333
 GLC Class,2018.6666666666667,36490,Automatic,2450.0,Diesel,145.0,65.53333333333333,2.0
 E Class,2018.0,29499,Semi-Auto,6841.0,Diesel,150.0,57.7,2.4
 C Class,2016.0,15212,Semi-Auto,34609.333333333336,Diesel,20.0,64.2,2.1
 C Class,2018.6666666666667,29549,Semi-Auto,7614.666666666667,Diesel,145.0,50.6,2.0
 C Class,2019.0,28990,Automatic,5904.0,Diesel,145.0,55.4,2.033333333333333
unknown,2015.0,7495,Manual,35331.666666666664,Petrol,193.33333333333334,36.2,1.8
 C Class,2018.6666666666667,34099,Semi-Auto,6033.0,Petrol,145.0,66.5,2.0
 E Class,2019.0,37699,Semi-Auto,11588.0,Diesel,145.0,48.7,2.033333333333333
unknown,2019.0,32998,Semi-Auto,4500.0,Petrol,145.0,42.2,2.0
unknown,2016.0,17990,Semi-Auto,51300.0,Diesel,30.0,64.2,2.1
 GL Class,2017.0,19299,Automatic,13171.0,Diesel,145.0,64.2,1.9000000000000001
 A Class,2016.3333333333333,13046,Manual,43531.0,Diesel,23.333333333333332,70.6,1.5
unknown,2016.0,15765,Manual,17678.0,Diesel,106.66666666666667,68.9,1.5
 C Class,2018.6666666666667,26999,Semi-Auto,1500.0,Petrol,145.0,66.86666666666666,1.5
unknown,2018.6666666666667,34460,Automatic,8302.333333333334,Diesel,145.0,56.5,2.1
 A Class,2018.6666666666667,18190,Automatic,7844.333333333333,Diesel,145.0,68.9,1.5
 E Class,2016.0,17480,Semi-Auto,42112.0,Diesel,125.0,58.9,2.0
 A Class,2016.0,15939,Manual,16489.0,Diesel,103.33333333333333,68.9,1.8666666666666665
 A Class,2014.0,11353,Manual,53520.0,Diesel,30.0,64.2,2.1
 A Class,2019.0,19980,Manual,11249.0,Petrol,145.0,49.23333333333333,1.3
 CLS Class,2016.0,19383,Automatic,42651.0,Diesel,58.333333333333336,89.76666666666665,2.033333333333333
 C Class,2018.3333333333333,30995,Semi-Auto,14.0,Petrol,145.0,42.8,2.6666666666666665
 GLC Class,2016.0,31695,Automatic,10589.333333333334,Diesel,145.0,57.63333333333333,2.033333333333333
 E Class,2019.0,24799,Semi-Auto,14145.0,Diesel,145.0,72.4,2.0
 A Class,2018.0,18920,Semi-Auto,9171.0,Diesel,106.66666666666667,65.7,1.5
 C Class,2018.6666666666667,24433,Automatic,7088.333333333333,Petrol,145.0,46.3,1.4333333333333333
 A Class,2014.0,10498,Manual,63177.0,Diesel,30.0,64.2,2.1
unknown,2019.0,23795,Automatic,1500.0,Petrol,150.0,44.1,1.3
 GLC Class,2019.0,67539,Semi-Auto,1000.0,Petrol,145.0,64.36666666666666,1.6666666666666667
 A Class,2018.6666666666667,26099,Semi-Auto,350.0,Diesel,145.0,56.5,2.0
unknown,2019.0,33299,Automatic,3894.6666666666665,Diesel,145.0,42.8,2.0
 A Class,2017.0,14999,Manual,18791.0,Petrol,125.0,51.4,1.6
unknown,2017.0,9995,Automatic,43000.0,Diesel,30.0,60.1,1.8
 C Class,2016.6666666666667,17699,Automatic,56546.0,Hybrid,0.0,74.3,2.1
unknown,2017.0,35995,Semi-Auto,14321.666666666666,Diesel,235.0,59.86666666666667,2.2
 GLC Class,2019.0,45106,Semi-Auto,11491.666666666666,Diesel,163.33333333333334,49.53333333333333,2.0
unknown,2018.0,26072,Automatic,8941.0,Diesel,145.0,43.76666666666667,2.1
 C Class,2017.3333333333333,18500,Automatic,16273.333333333334,Diesel,138.33333333333334,61.4,2.1
 E Class,2013.0,11995,Automatic,89625.0,Hybrid,20.0,62.8,1.9000000000000001
 C Class,2015.0,14984,Semi-Auto,68647.0,Diesel,103.33333333333333,63.166666666666664,2.1
unknown,2018.0,20799,Semi-Auto,11370.0,Diesel,145.0,56.166666666666664,2.1999999999999997
 C Class,2018.0,22991,Automatic,12000.0,Petrol,145.0,44.1,2.3666666666666667
unknown,2020.0,29900,Semi-Auto,5452.333333333333,Petrol,145.0,44.8,1.3
 C Class,2019.0,24992,Automatic,8238.0,Petrol,145.0,64.76666666666667,1.5
 C Class,2018.6666666666667,42980,Semi-Auto,3999.0,Petrol,145.0,28.8,3.0
 C Class,2019.0,26940,Automatic,4600.0,Diesel,145.0,61.4,2.0
 A Class,2020.0,25298,Manual,15295.0,Petrol,145.0,47.1,1.5333333333333332
 CLS Class,2017.3333333333333,23995,Automatic,47422.333333333336,Diesel,150.0,51.4,3.0
 C Class,2016.0,13999,Automatic,42492.0,Diesel,20.0,65.7,1.6666666666666667
 E Class,2016.0,19811,Automatic,21423.0,Diesel,190.0,60.56666666666666,3.0
 C Class,2018.6666666666667,29699,Semi-Auto,2228.0,Petrol,145.0,42.2,2.3333333333333335
unknown,2019.0,26980,Semi-Auto,7795.0,Petrol,145.0,43.76666666666667,1.3
unknown,2004.0,5000,Automatic,43744.333333333336,Petrol,325.0,28.0,3.5
 A Class,2016.0,15295,Automatic,26785.333333333332,Diesel,146.66666666666666,74.3,2.6999999999999997
 GLA Class,2018.6666666666667,23480,Semi-Auto,12989.0,Diesel,145.0,67.3,2.1
 A Class,2016.0,17295,Automatic,21068.0,Diesel,61.666666666666664,74.3,1.5
 C Class,2016.0,16000,Automatic,67490.0,Hybrid,0.0,134.5,2.033333333333333
unknown,2017.0,20792,Semi-Auto,17000.0,Diesel,145.0,72.4,2.0
 C Class,2018.6666666666667,25298,Semi-Auto,7614.666666666667,Petrol,145.0,50.6,2.0
 E Class,2018.0,22499,Semi-Auto,15961.0,Diesel,145.0,46.333333333333336,2.0
unknown,2018.0,29401,Semi-Auto,18147.0,Diesel,145.0,57.7,2.0
 C Class,2019.0,34790,Semi-Auto,5298.0,Diesel,145.0,57.7,2.0
 C Class,2018.6666666666667,28524,Automatic,8263.0,Diesel,145.0,57.7,2.0
 A Class,2018.6666666666667,23999,Semi-Auto,2000.0,Petrol,145.0,53.3,1.3
unknown,2019.0,12450,Automatic,78185.0,Diesel,145.0,57.7,2.033333333333333
unknown,2017.0,24995,Automatic,19500.0,Diesel,150.0,58.9,2.1
 CL Class,2014.0,15250,Manual,28612.0,Diesel,111.66666666666667,64.2,1.8
 E Class,2019.0,46399,Semi-Auto,3955.0,Diesel,145.0,47.1,2.0
 GLC Class,2016.0,24486,Semi-Auto,22955.0,Diesel,125.0,54.43333333333334,1.9000000000000001
 A Class,2016.0,27500,Semi-Auto,37132.0,Petrol,200.0,40.9,2.0
 CL Class,2019.0,26799,Semi-Auto,3569.0,Petrol,145.0,66.5,2.0
unknown,2015.6666666666667,24486,Automatic,34609.333333333336,Diesel,125.0,59.96666666666667,2.1
unknown,2019.0,24349,Semi-Auto,3189.0,Petrol,150.0,47.9,2.3333333333333335
 GLA Class,2017.0,20799,Semi-Auto,15368.0,Diesel,96.66666666666667,56.5,2.1
 GL Class,2018.0,20699,Automatic,14505.0,Petrol,145.0,43.4,1.6
 C Class,2014.0,9990,Automatic,60000.0,Diesel,150.0,53.3,1.4000000000000001
 C Class,2016.3333333333333,30199,Semi-Auto,19673.0,Diesel,163.33333333333334,50.76666666666667,2.0
 GLC Class,2020.0,49980,Semi-Auto,10589.333333333334,Petrol,145.0,57.63333333333333,2.033333333333333
 S Class,2018.0,39490,Automatic,8939.333333333334,Diesel,150.0,52.3,2.9
unknown,2018.6666666666667,22280,Semi-Auto,19358.0,Diesel,145.0,61.4,2.0
 E Class,2017.0,21998,Semi-Auto,16062.0,Diesel,145.0,52.3,3.0
unknown,2018.6666666666667,12995,Manual,15340.333333333334,Diesel,145.0,54.3,2.1
 C Class,2019.0,27599,Semi-Auto,4664.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,23480,Automatic,6366.333333333333,Petrol,150.0,42.266666666666666,2.766666666666667
 M Class,2015.0,20500,Automatic,44529.0,Diesel,205.0,39.2,2.1
 C Class,2015.0,12490,Manual,68600.0,Diesel,96.66666666666667,68.9,2.1
unknown,2018.6666666666667,24065,Semi-Auto,8615.0,Petrol,145.0,53.3,1.3
unknown,2020.0,25980,Manual,15044.0,Petrol,145.0,47.1,1.3
 C Class,2019.0,33995,Automatic,4788.0,Petrol,145.0,42.8,2.0
unknown,2016.6666666666667,23199,Manual,2000.0,Diesel,133.33333333333334,65.7,1.6
 SL CLASS,2018.0,34990,Semi-Auto,35821.333333333336,Petrol,150.0,41.6,3.0
unknown,2018.6666666666667,31796,Semi-Auto,11052.333333333334,Diesel,150.0,48.7,2.966666666666667
 GL Class,2015.0,29865,Automatic,37612.666666666664,Diesel,330.0,36.2,3.0
 A Class,2016.0,12990,Automatic,48000.0,Diesel,100.0,74.3,1.5
 C Class,2016.0,18099,Semi-Auto,17557.0,Diesel,20.0,65.76666666666667,2.1
 A Class,2016.3333333333333,16249,Automatic,26123.666666666668,Diesel,20.0,68.9,2.1
 CL Class,2017.0,20290,Automatic,27511.333333333332,Diesel,20.0,67.3,2.1
 B Class,2016.0,16495,Semi-Auto,11000.0,Diesel,20.0,68.9,2.1
unknown,2018.6666666666667,20952,Manual,2448.6666666666665,Petrol,145.0,51.4,1.6
 E Class,2018.6666666666667,22789,Semi-Auto,7700.0,Diesel,145.0,66.5,2.0
 X-CLASS,2020.0,46000,Automatic,34031.333333333336,Diesel,260.0,19.400000000000002,3.0
 CLA Class,2020.0,24899,Automatic,4345.0,Petrol,145.0,37.1,1.3
 C Class,2014.0,15999,Automatic,31690.0,Diesel,96.66666666666667,64.2,2.1
 C Class,2016.0,17998,Semi-Auto,33285.333333333336,Hybrid,0.0,134.5,2.3666666666666667
 A Class,2017.0,15799,Manual,17533.666666666668,Diesel,55.0,68.9,1.5
 C Class,2020.0,31790,Automatic,3500.0,Petrol,145.0,64.2,2.0
unknown,2017.0,15361,Manual,29941.0,Diesel,90.0,62.8,2.1
unknown,2019.0,19998,Semi-Auto,13744.0,Petrol,145.0,45.6,1.3
 C Class,2018.3333333333333,30980,Semi-Auto,4957.0,Diesel,145.0,57.7,2.0
unknown,2018.6666666666667,29980,Semi-Auto,16.0,Petrol,145.0,46.3,2.3666666666666667
unknown,2019.0,23999,Semi-Auto,1019.0,Diesel,145.0,55.4,2.0
unknown,2017.0,18998,Automatic,4344.333333333333,Diesel,145.0,61.4,1.8666666666666665
 CL Class,2019.0,26795,Semi-Auto,5896.0,Petrol,145.0,66.5,2.0
 A Class,2017.0,16349,Manual,33501.0,Diesel,20.0,68.9,1.5
unknown,2017.3333333333333,14580,Semi-Auto,33113.0,Diesel,106.66666666666667,65.7,1.7
 GLC Class,2018.0,33900,Semi-Auto,7392.0,Diesel,145.0,56.5,2.3666666666666667
unknown,2017.3333333333333,27480,Automatic,15907.0,Diesel,145.0,64.2,2.0
unknown,2017.0,16995,Automatic,22929.0,Diesel,145.0,68.9,2.1
 A Class,2019.0,20990,Semi-Auto,15762.0,Diesel,145.0,49.73333333333333,1.5
 C Class,2017.0,24000,Semi-Auto,5207.0,Petrol,103.33333333333333,44.1,1.5
 X-CLASS,2020.0,31991,Automatic,4324.666666666667,Diesel,265.0,35.8,2.3
 CL Class,2017.0,15362,Manual,24495.0,Diesel,145.0,65.7,1.9000000000000001
 A Class,2018.6666666666667,10090,Manual,45130.0,Petrol,145.0,49.6,1.6
 A Class,2018.0,22031,Semi-Auto,13842.0,Petrol,145.0,53.3,1.3
unknown,2018.0,23995,Semi-Auto,24315.0,Diesel,145.0,57.7,2.1
 C Class,2019.0,30000,Automatic,7311.0,Petrol,145.0,44.1,2.0
unknown,2017.0,18772,Semi-Auto,36698.0,Diesel,145.0,53.96666666666666,2.1
unknown,2017.6666666666667,27250,Automatic,14228.0,Diesel,103.33333333333333,56.5,2.1
 M Class,2015.6666666666667,16991,Semi-Auto,56979.0,Diesel,200.0,44.8,2.1
unknown,2013.0,11000,Manual,55312.0,Diesel,125.0,51.36666666666667,1.8
 E Class,2019.0,27980,Semi-Auto,13924.0,Diesel,145.0,65.7,2.033333333333333
 GLA Class,2016.6666666666667,17995,Semi-Auto,16919.0,Diesel,68.33333333333333,65.7,2.1
unknown,2019.0,29549,Semi-Auto,5133.0,Diesel,145.0,58.9,2.0
 B Class,2018.0,17000,Automatic,16002.0,Petrol,145.0,51.4,2.3666666666666667
 C Class,2014.3333333333333,12900,Automatic,26501.0,Petrol,160.0,44.8,1.6
unknown,2019.0,30995,Automatic,6959.0,Diesel,145.0,66.5,2.0
 A Class,2018.6666666666667,27900,Automatic,7614.666666666667,Diesel,145.0,50.6,2.0
unknown,2018.0,17900,Automatic,28446.0,Diesel,145.0,61.4,2.6666666666666665
 C Class,2018.6666666666667,26499,Semi-Auto,11700.0,Petrol,145.0,47.1,1.5
 C Class,2018.6666666666667,13800,Manual,3144.0,Diesel,145.0,46.633333333333326,2.1
 C Class,2020.0,31000,Semi-Auto,100.0,Diesel,145.0,64.2,2.0
 A Class,2016.0,14799,Automatic,47130.0,Diesel,100.0,64.7,2.1
 E Class,2017.0,31995,Automatic,40120.0,Petrol,105.0,32.8,3.0
 GLA Class,2015.6666666666667,16995,Manual,16928.0,Diesel,20.0,68.9,2.1
 A Class,2019.0,24799,Manual,5292.0,Petrol,145.0,46.43333333333334,1.3
 GLA Class,2016.0,13991,Semi-Auto,42301.0,Diesel,30.0,62.8,2.1
 C Class,2018.0,29498,Semi-Auto,6198.0,Diesel,145.0,63.699999999999996,2.3666666666666667
 CL Class,2019.0,27399,Semi-Auto,5689.0,Petrol,145.0,38.2,2.0
 GLE Class,2019.0,57995,Semi-Auto,3500.0,Diesel,145.0,32.5,3.0
 B Class,2018.3333333333333,23480,Automatic,2255.0,Diesel,145.0,55.4,2.0
unknown,2016.0,27499,Semi-Auto,52260.0,Diesel,153.33333333333334,42.8,3.0
 GLC Class,2018.6666666666667,24750,Automatic,25530.0,Diesel,145.0,59.16666666666668,2.6666666666666665
