CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
167,Male,42.0,86.0,20
168,Female,33.0,86.0,95
169,Female,36.0,87.0,27
170,Male,32.0,87.0,63
171,,40.0,87.0,13
172,Male,28.0,87.0,75
173,Male,36.0,87.0,10
174,Male,36.0,87.0,92
175,Female,52.0,88.0,13
176,Female,30.0,88.0,86
177,Male,58.0,88.0,15
178,Male,27.0,88.0,69
179,Male,59.0,93.0,14
180,Male,35.0,93.0,90
181,Female,37.0,97.0,32
182,Female,32.0,97.0,86
183,Male,46.0,,15
184,Female,,98.0,88
185,Female,41.0,99.0,39
186,,30.0,99.0,97
187,Female,54.0,,24
188,Male,28.0,,68
189,Female,41.0,103.0,17
190,Female,36.0,103.0,85
191,Female,34.0,103.0,23
192,Female,32.0,103.0,69
193,Male,33.0,,8
194,,38.0,113.0,91
195,Female,47.0,120.0,16
196,Female,35.0,120.0,79
197,Female,45.0,126.0,28
198,Male,32.0,126.0,74
199,Male,,137.0,18
200,,30.0,137.0,83
