model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
,,3890,Automatic,,Petrol,240,40.9,1.5
 B Class,2011,3990,Automatic,,Petrol,240,,1.5
 A Class,2011,3440,Manual,,Diesel,,54.3,2.0
 GLE Class,,48995,Automatic,3000,Diesel,,36.7,2.0
,2008,5980,Automatic,60000,Petrol,280,34.4,1.8
 E Class,2015,13990,Automatic,,Diesel,125,,2.1
 CLA Class,2016,14480,Automatic,,Petrol,200,42.8,2.0
,2010,6980,Manual,,Petrol,300,35.3,1.8
 C Class,2014,11290,Automatic,48000,Diesel,145,56.5,2.1
 E Class,2011,5740,Manual,115000,Diesel,160,,2.1
,,31980,Automatic,,Diesel,145,,2.1
 CLA Class,2014,15990,Automatic,45000,Diesel,30,62.8,
,2015,11240,Automatic,47000,Diesel,125,56.5,2.1
 GLC Class,2019,37980,Automatic,,Petrol,,34.0,3.0
 C Class,2019,28980,Automatic,5500,Diesel,145,60.1,2.0
,2019,23280,Automatic,,Petrol,145,,
 C Class,2019,32980,Automatic,2000,Diesel,145,64.2,
,2008,5990,Automatic,110000,Diesel,555,28.8,3.0
,,7300,Automatic,,Diesel,30,65.7,1.8
 S Class,2014,41980,Automatic,26000,Petrol,555,28.0,
 GL Class,2007,7340,Automatic,,Diesel,,,
,2007,8490,Automatic,74000,Diesel,570,,3.0
,,4480,Automatic,130000,Diesel,300,37.7,3.0
 S Class,2016,24880,Automatic,,Hybrid,,42.4,3.5
,2015,17480,Automatic,22000,Diesel,140,53.3,3.0
 E Class,2007,4880,Automatic,,Diesel,,37.2,3.0
 S Class,2015,38980,Automatic,11000,Petrol,270,33.2,4.7
,,7495,Manual,,Petrol,,36.2,1.8
 C Class,,3790,Automatic,99000,Petrol,555,28.8,2.5
 C Class,2007,3890,Automatic,87000,Petrol,325,32.5,1.8
,,17863,Semi-Auto,,Diesel,20,62.8,2.1
,,17624,Automatic,29505,Diesel,125,,
 A Class,2018,18220,Automatic,,Diesel,,,1.5
 SL CLASS,,18775,Automatic,19522,Diesel,30,70.6,2.1
,2017,20745,Automatic,23103,Diesel,30,70.6,
 A Class,2019,18118,Automatic,15561,Diesel,,68.9,
,2019,17990,Automatic,,Diesel,145,65.7,1.5
,,28491,Semi-Auto,9477,Petrol,,47.1,2.0
 A Class,2018,18888,Automatic,11565,Diesel,145,67.3,1.5
 A Class,2019,19840,Automatic,6781,Petrol,,28.5,1.3
 A Class,2019,18241,Automatic,15722,Diesel,145,65.7,1.5
 A Class,,18141,Automatic,15689,Diesel,,,1.5
 GLS Class,2016,37385,Automatic,21169,Diesel,305,,
 CLS Class,,26166,Automatic,9165,Diesel,,51.4,3.0
 B Class,2019,24616,Automatic,3710,Diesel,145,55.4,2.0
 C Class,,30403,Automatic,3000,Petrol,,46.3,1.5
 SL CLASS,,30670,Automatic,3000,Petrol,145,47.1,2.0
 C Class,,30960,Automatic,3000,Diesel,145,64.2,
 A Class,2020,24107,Automatic,3500,Diesel,145,62.8,1.5
 C Class,2019,24510,Automatic,11368,Diesel,145,58.9,1.6
 GL Class,,35371,Automatic,,Diesel,,36.2,3.0
,2019,33729,Automatic,,Diesel,145,,
 C Class,,29623,Automatic,7500,Diesel,145,,2.0
,,27964,Automatic,5617,Diesel,,,2.0
 B Class,,21394,Automatic,9573,Petrol,,45.6,1.3
 B Class,,20882,Automatic,14257,Petrol,145,45.6,1.3
 CLS Class,,37352,Automatic,,Diesel,,45.6,2.0
 C Class,2018,18051,Automatic,11319,Diesel,145,65.7,1.6
 C Class,,24433,Automatic,,Petrol,145,46.3,
 GLC Class,2019,37116,Automatic,,Diesel,,40.9,2.0
 GLA Class,2019,22375,Automatic,13850,Diesel,145,,2.1
,2019,24915,Automatic,13101,Diesel,145,61.4,2.0
,2019,29991,Automatic,10356,Diesel,,70.6,2.0
,2019,22596,Automatic,5382,Diesel,145,,
,,22730,Automatic,1521,Diesel,145,,2.0
 C Class,2019,26154,Automatic,14696,Diesel,145,,
,2020,35438,Automatic,3500,Diesel,145,,2.0
 C Class,2019,27980,Automatic,3168,Diesel,145,55.4,2.0
 C Class,2019,28250,Automatic,3477,Diesel,145,,2.0
 B Class,,23280,Automatic,6441,Petrol,,44.1,
,,15700,Automatic,19023,Diesel,145,65.7,2.1
 CLA Class,,18790,Automatic,8423,Diesel,150,,
 GLE Class,2020,54995,Automatic,6700,Diesel,,,3.0
 A Class,,20450,Automatic,,Diesel,150,65.7,
 A Class,2014,11980,Automatic,66690,Diesel,20,64.2,2.1
 C Class,2017,19890,Automatic,26878,Petrol,150,,
 GLA Class,2018,20350,Automatic,24556,Diesel,,56.5,2.1
 E Class,2017,22890,Automatic,34934,Diesel,,61.4,2.0
 A Class,2017,18890,Automatic,,Petrol,,53.3,1.6
,2017,15480,Automatic,23290,Diesel,20,68.9,2.1
 E Class,2016,16480,Automatic,,Diesel,125,58.9,2.1
 CLA Class,2017,20480,Automatic,,Diesel,150,,2.1
 GLC Class,,25780,Automatic,34358,Diesel,,,
 C Class,,21000,Automatic,25000,Hybrid,140,,2.0
 GLA Class,2016,17800,Automatic,34092,Diesel,,56.6,2.1
 B Class,2019,20700,Automatic,14931,Petrol,145,,1.3
,2016,17890,Automatic,44184,Petrol,,50.4,2.0
 C Class,2009,4200,Automatic,,Diesel,235,42.2,2.1
 E Class,,20998,Semi-Auto,21352,Diesel,20,72.4,2.0
 GLA Class,2015,18998,Semi-Auto,33114,Diesel,125,,2.1
 C Class,,24998,Semi-Auto,28234,Petrol,,43.5,2.0
 CL Class,2015,17498,Manual,,Petrol,125,50.4,1.6
 C Class,2016,19498,Semi-Auto,22803,Diesel,30,61.4,2.1
,,23498,Semi-Auto,,Diesel,145,67.3,
 E Class,,15998,Semi-Auto,,Diesel,200,45.6,3.0
 S Class,,28498,Semi-Auto,30135,Diesel,200,47.9,3.0
,2015,16498,Manual,,Petrol,125,51.4,1.6
 GLC Class,2020,37998,Semi-Auto,,Diesel,150,,2.0
 C Class,2014,16995,Automatic,,Diesel,30,,2.1
,2016,27995,Automatic,13000,Petrol,,40.9,2.0
 S Class,2015,29995,Automatic,17700,Diesel,200,48.7,3.0
 GLC Class,2017,26995,Semi-Auto,,Diesel,145,56.5,
 C Class,2017,24995,Automatic,,Petrol,145,47.1,
 GLE Class,2016,29995,Automatic,27700,Diesel,,,
 A Class,,18995,Semi-Auto,21400,Petrol,145,53.3,1.3
,2015,11995,Semi-Auto,41500,Diesel,20,,
 G Class,2015,52995,Semi-Auto,34400,Diesel,570,,3.0
,,23995,Semi-Auto,19300,Diesel,30,65.7,2.0
,2015,17698,Semi-Auto,27622,Diesel,145,54.3,3.0
 CLS Class,2014,15998,Semi-Auto,31815,Diesel,145,54.3,
,2016,20298,Semi-Auto,25273,Diesel,145,,3.0
,2014,12998,Semi-Auto,,Diesel,,,2.1
 A Class,,11998,Semi-Auto,54060,Diesel,30,64.2,2.1
 C Class,2017,17998,Semi-Auto,59858,Diesel,145,64.2,
 GLA Class,2016,16998,Semi-Auto,,Diesel,125,56.5,
 S Class,,48998,Semi-Auto,,Diesel,,52.3,
 C Class,2019,28998,Manual,,Petrol,145,48.7,1.6
 E Class,2019,46998,Semi-Auto,3325,Petrol,145,32.5,
 A Class,2017,17498,Semi-Auto,16244,Diesel,145,,
 S Class,2016,26498,Semi-Auto,36121,Diesel,200,47.9,3.0
 B Class,2013,8998,Semi-Auto,46108,Diesel,30,64.2,1.8
 GLA Class,2016,19498,Semi-Auto,27846,Diesel,125,,2.1
,2017,20498,Semi-Auto,20195,Diesel,20,72.4,
,2018,22998,Semi-Auto,,Diesel,150,60.1,
 C Class,2016,12998,Manual,53453,Diesel,,70.6,
 C Class,,22998,Semi-Auto,,Diesel,30,65.7,2.1
,2015,27998,Semi-Auto,14158,Diesel,,,
 S Class,2015,26498,Semi-Auto,27343,Diesel,200,48.7,3.0
 V Class,,27998,Semi-Auto,58590,Diesel,,44.8,2.2
,2019,36998,Semi-Auto,5211,Diesel,145,,
 GLC Class,,26998,Semi-Auto,,Diesel,,56.5,
 E Class,2015,19498,Semi-Auto,26999,Diesel,160,51.4,3.0
,,25498,Semi-Auto,,Diesel,145,60.1,1.6
 E Class,2019,28998,Semi-Auto,26100,Diesel,145,65.7,2.0
 C Class,2019,24998,Semi-Auto,,Diesel,,55.4,2.0
 GLA Class,,27998,Semi-Auto,,Petrol,,35.8,
 GLC Class,2019,35998,Semi-Auto,7540,Diesel,145,40.9,
 GLC Class,2019,32998,Semi-Auto,,Diesel,145,44.8,2.0
 GLE Class,2016,24998,Semi-Auto,,Diesel,200,47.9,2.1
 C Class,2017,21498,Semi-Auto,,Diesel,30,64.2,2.1
 E Class,2017,20998,Semi-Auto,22930,Diesel,145,72.4,2.0
 S Class,2016,25498,Semi-Auto,44072,Diesel,200,,3.0
,2015,13498,Semi-Auto,20789,Diesel,20,,1.5
 A Class,,16998,Semi-Auto,29160,Diesel,20,67.3,2.1
,2019,32998,Semi-Auto,2403,Petrol,,47.1,2.0
,,21498,Manual,,Petrol,145,45.6,1.3
 E Class,2014,13998,Semi-Auto,33404,Diesel,125,58.9,2.1
 C Class,2017,18998,Semi-Auto,23760,Diesel,,,
 C Class,2016,17998,Manual,26100,Diesel,20,68.9,2.1
 C Class,,28498,Semi-Auto,4285,Diesel,,61.4,
 C Class,2016,18998,Semi-Auto,28388,Diesel,30,64.2,1.6
 A Class,2019,19498,Semi-Auto,,Diesel,,68.9,1.5
,,20998,Semi-Auto,16902,Diesel,145,60.1,
 B Class,,20998,Semi-Auto,10713,Petrol,,45.6,1.3
 M Class,2015,21498,Semi-Auto,,Diesel,200,39.2,2.1
 E Class,2017,19998,Semi-Auto,,Diesel,145,67.3,2.0
 SL CLASS,,19498,Semi-Auto,29114,Diesel,,70.6,2.1
 E Class,2016,20498,Semi-Auto,,Diesel,160,,3.0
,2017,22498,Semi-Auto,,Diesel,145,70.6,
,2017,20998,Semi-Auto,18739,Diesel,145,,2.1
 E Class,2017,20998,Semi-Auto,27671,Diesel,145,72.4,
 A Class,2015,18998,Semi-Auto,,Petrol,200,,
,,27498,Semi-Auto,,Diesel,,,2.0
 C Class,2016,16998,Semi-Auto,,Diesel,30,65.7,1.6
 E Class,2017,22998,Semi-Auto,,Diesel,145,65.7,
,,24498,Semi-Auto,28191,Diesel,200,47.9,3.0
,2018,27498,Semi-Auto,12491,Diesel,145,65.7,2.1
,,16998,Semi-Auto,39587,Petrol,200,42.8,2.0
,,17998,Semi-Auto,42942,Petrol,200,42.8,2.0
 GLC Class,2016,23498,Semi-Auto,,Diesel,125,56.5,2.1
 A Class,2017,18298,Semi-Auto,7919,Diesel,145,68.9,2.1
 A Class,,22998,Semi-Auto,3770,Petrol,,53.3,1.3
 C Class,2014,26998,Semi-Auto,24175,Petrol,570,23.5,6.2
,,19998,Manual,,Diesel,,46.3,2.1
 V Class,2018,19498,Manual,21525,Diesel,145,46.3,2.1
 C Class,2014,15998,Semi-Auto,26216,Diesel,30,64.2,2.1
 C Class,,9298,Semi-Auto,80485,Diesel,,54.3,2.1
,2014,17298,Semi-Auto,,Diesel,,62.8,2.1
,,20489,Semi-Auto,16900,Diesel,145,61.4,2.1
,2013,15990,Automatic,,Diesel,200,44.8,
 A Class,2013,9995,Semi-Auto,,Diesel,,,1.8
 GL Class,2014,24498,Automatic,67833,Diesel,325,35.3,3.0
 V Class,2016,26490,Semi-Auto,,Diesel,,45.6,2.2
,,22990,Semi-Auto,5491,Petrol,145,,
 A Class,2018,19995,Semi-Auto,2348,Petrol,145,53.3,1.3
 GLA Class,2017,17850,Manual,18692,Petrol,145,48.7,
 A Class,2016,15000,Manual,30761,Diesel,30,62.8,2.1
 C Class,,13800,Manual,,Diesel,145,,2.1
,2018,20498,Manual,22011,Diesel,145,,2.1
,2014,15498,Semi-Auto,36243,Diesel,30,64.2,2.1
,2019,18995,Semi-Auto,3150,Diesel,145,65.7,1.5
 C Class,2017,20995,Semi-Auto,,Diesel,145,,2.1
 C Class,,31995,Semi-Auto,11300,Petrol,150,36.2,3.0
 A Class,2017,16995,Semi-Auto,,Diesel,150,68.9,2.1
 CL Class,,17995,Automatic,,Diesel,20,67.3,2.1
 GLC Class,2016,28995,Semi-Auto,31600,Diesel,,,2.1
 V Class,2018,35995,Automatic,,Diesel,,45.6,2.2
 C Class,,23995,Semi-Auto,32800,Diesel,30,65.7,2.1
 GLA Class,2015,16998,Semi-Auto,42129,Diesel,125,56.5,
,2016,21998,Semi-Auto,49986,Diesel,125,,2.1
,2017,30498,Semi-Auto,20085,Petrol,,38.2,2.0
 C Class,,27698,Semi-Auto,14999,Diesel,,55.4,2.0
 C Class,2016,27498,Semi-Auto,,Petrol,260,,3.0
,2019,32498,Semi-Auto,,Diesel,145,61.4,2.0
 GLE Class,,54498,Semi-Auto,6279,Diesel,,32.8,3.0
 GL Class,,34998,Semi-Auto,32726,Diesel,,36.2,3.0
,2016,28998,Semi-Auto,16742,Diesel,,56.5,2.1
 C Class,2019,24498,Semi-Auto,12629,Diesel,145,61.4,2.1
 SL CLASS,2017,20998,Semi-Auto,13526,Petrol,145,47.9,2.0
,2015,19698,Semi-Auto,,Diesel,150,54.3,3.0
 A Class,2018,23498,Semi-Auto,5189,Petrol,150,,1.3
,,21498,Semi-Auto,,Diesel,,,
 A Class,2019,21498,Semi-Auto,5685,Diesel,145,,1.5
 SL CLASS,,64998,Semi-Auto,313,Petrol,145,31.4,4.7
 E Class,2015,19498,Semi-Auto,17167,Diesel,,54.3,3.0
 C Class,,12298,Semi-Auto,,Petrol,125,53.3,2.0
 SL CLASS,2017,21998,Semi-Auto,4657,Diesel,145,70.6,2.1
 GLE Class,,24998,Semi-Auto,,Diesel,205,47.9,2.1
 GLC Class,,29998,Semi-Auto,,Diesel,,56.5,2.1
 E Class,2016,15635,Semi-Auto,30132,Diesel,,64.2,
,2018,20685,Semi-Auto,21929,Diesel,145,64.2,2.1
 E Class,2017,19498,Semi-Auto,33037,Diesel,150,72.4,2.0
 GLS Class,2018,46998,Semi-Auto,9182,Diesel,145,37.2,3.0
 C Class,2016,20498,Semi-Auto,,Diesel,125,60.1,
 GLE Class,,30298,Semi-Auto,14786,Diesel,200,47.9,
 E Class,,20298,Semi-Auto,,Diesel,160,51.4,3.0
 GLC Class,2017,37998,Semi-Auto,,Petrol,145,34.0,3.0
 GLE Class,2017,28998,Semi-Auto,31322,Diesel,145,42.8,
 C Class,2014,15298,Semi-Auto,41416,Diesel,30,64.2,
 GLC Class,2016,22998,Semi-Auto,,Diesel,125,56.5,2.1
,2018,31998,Semi-Auto,11605,Diesel,145,56.5,2.1
 E Class,,36998,Semi-Auto,629,Petrol,,32.9,2.0
 GLA Class,2016,15998,Semi-Auto,52029,Diesel,,56.5,2.1
,2015,18498,Semi-Auto,22888,Diesel,125,,2.1
 GLC Class,2016,24998,Semi-Auto,30639,Diesel,125,,2.1
,2018,33998,Semi-Auto,7220,Diesel,,,2.1
 C Class,2019,33998,Semi-Auto,,Petrol,145,,
 C Class,2019,32998,Semi-Auto,17,Petrol,,46.3,1.5
 CLS Class,2016,21998,Semi-Auto,29306,Diesel,,51.4,
 GLE Class,2016,28698,Semi-Auto,22707,Diesel,200,47.9,2.1
 C Class,2018,19998,Semi-Auto,15383,Petrol,145,46.3,1.5
,2019,44498,Semi-Auto,,Diesel,,,2.9
,,13998,Manual,24010,Diesel,20,72.4,1.6
 GLE Class,2017,30498,Semi-Auto,,Diesel,260,,3.0
 C Class,,24498,Semi-Auto,15838,Diesel,,,2.0
 SL CLASS,2016,18498,Semi-Auto,33502,Diesel,,70.6,2.1
,2018,18998,Semi-Auto,,Diesel,,68.9,1.5
 C Class,,16498,Semi-Auto,37080,Diesel,,64.2,2.1
 GLC Class,2016,23998,Semi-Auto,42809,Diesel,,56.5,2.1
 CL Class,,19498,Semi-Auto,20820,Diesel,20,67.3,2.1
 C Class,2016,15498,Semi-Auto,73582,Diesel,,,
 E Class,,19498,Semi-Auto,47007,Diesel,,65.7,2.0
,2019,39998,Semi-Auto,926,Diesel,,45.6,2.0
 E Class,2019,38998,Semi-Auto,378,Diesel,145,57.7,2.0
 SL CLASS,,32998,Semi-Auto,17,Petrol,,47.1,2.0
,2019,34998,Semi-Auto,423,Diesel,145,,2.1
 A Class,2019,20998,Semi-Auto,,Diesel,145,56.5,2.0
 S Class,,27498,Semi-Auto,35236,Diesel,,47.9,3.0
 SL CLASS,,20298,Semi-Auto,20055,Diesel,30,70.6,2.1
,2018,21998,Semi-Auto,15450,Petrol,150,,
 A Class,2019,21998,Semi-Auto,19324,Petrol,150,53.3,1.3
,2016,21998,Semi-Auto,17171,Petrol,,,2.0
,2016,19498,Semi-Auto,,Diesel,145,54.3,3.0
 E Class,2016,18998,Semi-Auto,,Diesel,125,58.9,2.1
 E Class,2017,21998,Semi-Auto,16062,Diesel,145,52.3,3.0
,,15245,Manual,22969,Diesel,145,68.9,1.5
 C Class,2014,10995,Manual,98000,Diesel,,68.9,2.1
,2013,9995,Manual,,Diesel,20,,1.5
 E Class,2017,23995,Semi-Auto,16820,Diesel,145,51.4,3.0
,2016,28650,Semi-Auto,9262,Petrol,260,36.7,3.0
 M Class,2015,21998,Semi-Auto,,Diesel,205,39.2,2.1
,,15698,Semi-Auto,39920,Diesel,30,,2.1
 V Class,2018,20498,Manual,,Diesel,,46.3,2.1
,2019,39998,Semi-Auto,,Hybrid,135,,2.0
 GLA Class,,18498,Semi-Auto,18106,Diesel,125,56.6,2.1
 C Class,2016,18498,Semi-Auto,31891,Hybrid,0,134.5,2.0
,,24498,Semi-Auto,23487,Diesel,125,56.5,2.1
,2018,20498,Manual,,Diesel,145,,2.1
 V Class,2018,20498,Manual,,Diesel,145,,
 C Class,2019,31998,Semi-Auto,2000,Petrol,145,42.2,2.0
 C Class,,29998,Semi-Auto,28000,Petrol,145,,
 C Class,2019,24998,Semi-Auto,22400,Petrol,145,44.1,1.5
 S Class,2015,26498,Semi-Auto,,Diesel,200,48.7,3.0
 C Class,,32998,Semi-Auto,2878,Petrol,,42.2,2.0
,2019,32998,Semi-Auto,4500,Petrol,145,42.2,2.0
 C Class,2019,29998,Semi-Auto,836,Petrol,145,43.5,2.0
 GLE Class,2016,30998,Semi-Auto,14149,Diesel,235,42.8,
 SL CLASS,,19998,Semi-Auto,27801,Petrol,145,,2.0
,,23998,Semi-Auto,14462,Diesel,20,,
 E Class,,48998,Semi-Auto,2669,Diesel,145,,3.0
 C Class,2019,32498,Semi-Auto,1887,Petrol,,46.3,
 E Class,,19998,Semi-Auto,52570,Diesel,30,,2.0
 GLE Class,2016,27998,Semi-Auto,24732,Diesel,,,
 SL CLASS,2016,18998,Semi-Auto,29302,Diesel,30,,2.1
 GLE Class,2017,28498,Semi-Auto,30825,Diesel,145,47.9,2.1
 E Class,2015,17998,Semi-Auto,,Diesel,,54.3,
 E Class,,18498,Semi-Auto,,Diesel,,54.3,3.0
,2014,15498,Semi-Auto,23772,Diesel,20,64.2,2.1
 C Class,2017,18998,Semi-Auto,28808,Diesel,,,2.1
 E Class,2016,19998,Semi-Auto,29511,Diesel,30,65.7,2.0
 GLA Class,,15698,Semi-Auto,43696,Diesel,145,55.4,2.1
,2016,25998,Semi-Auto,40220,Diesel,,56.5,2.1
 A Class,,15200,Semi-Auto,39057,Diesel,20,74.3,1.5
,,15200,Semi-Auto,,Diesel,,44.8,
 A Class,2016,15200,Semi-Auto,23286,Diesel,20,,2.1
,2014,15998,Semi-Auto,71657,Diesel,200,44.8,2.1
,2019,22498,Semi-Auto,10455,Petrol,,46.3,1.5
,2016,17998,Semi-Auto,39017,Diesel,125,56.5,
 CL Class,,11998,Manual,,Petrol,125,50.4,
,2019,21498,Semi-Auto,,Diesel,145,65.7,1.5
,2016,19298,Semi-Auto,27644,Diesel,,64.2,2.1
,2016,28998,Semi-Auto,34669,Diesel,,47.9,
 B Class,,12498,Manual,29559,Diesel,20,68.9,1.5
 V Class,,32998,Semi-Auto,18932,Diesel,,45.6,2.2
,2018,29498,Semi-Auto,,Diesel,145,,2.0
 C Class,2016,16998,Semi-Auto,21786,Diesel,,65.7,
,,28998,Semi-Auto,16382,Diesel,200,47.9,3.0
 E Class,2016,20298,Semi-Auto,,Diesel,,,3.0
 SLK,2013,10698,Semi-Auto,66282,Diesel,145,,2.0
,2015,24998,Semi-Auto,29036,Diesel,160,50.4,3.0
 A Class,2016,15498,Semi-Auto,,Diesel,20,,1.5
,2015,25498,Semi-Auto,29078,Diesel,200,,2.1
,2016,18698,Semi-Auto,31131,Diesel,145,54.3,3.0
 V Class,2017,30998,Semi-Auto,32577,Diesel,,45.6,2.2
,2016,12498,Manual,54544,Diesel,,72.4,
,2019,46998,Semi-Auto,1042,Diesel,145,52.3,3.0
 C Class,2019,33998,Semi-Auto,1558,Petrol,,,
 C Class,,32998,Semi-Auto,2258,Petrol,145,46.3,1.5
,2019,30498,Semi-Auto,4977,Diesel,145,57.7,2.0
 CLS Class,2015,19298,Semi-Auto,,Diesel,,49.6,3.0
 A Class,,17498,Semi-Auto,15316,Petrol,145,49.6,1.6
 GLA Class,2016,21498,Semi-Auto,21253,Petrol,,43.5,
,,19498,Semi-Auto,23791,Diesel,125,56.5,2.1
,2017,18998,Semi-Auto,26866,Diesel,30,64.2,2.1
 A Class,,18498,Semi-Auto,15478,Petrol,145,53.3,
 E Class,2019,40998,Semi-Auto,1255,Diesel,,49.6,
 S Class,2019,49998,Semi-Auto,83,Diesel,,52.3,
 S Class,2016,31998,Semi-Auto,,Diesel,,,
,2019,23498,Semi-Auto,5800,Diesel,,65.7,
 C Class,,18498,Semi-Auto,20618,Diesel,30,64.2,
,,27998,Semi-Auto,17168,Diesel,,48.7,3.0
 C Class,2019,24998,Semi-Auto,15536,Petrol,,47.1,
,2019,24998,Semi-Auto,,Petrol,145,,
 C Class,,21998,Semi-Auto,14576,Petrol,145,,
 C Class,2018,29498,Semi-Auto,6198,Diesel,,,
 E Class,,24498,Semi-Auto,,Diesel,145,72.4,2.0
,2015,28498,Semi-Auto,15293,Diesel,200,48.7,3.0
,2016,20998,Semi-Auto,16843,Diesel,145,,3.0
 E Class,2016,19998,Semi-Auto,,Diesel,145,,
 E Class,2016,20298,Semi-Auto,,Diesel,145,,3.0
 E Class,2016,19498,Semi-Auto,36107,Diesel,160,,3.0
 C Class,2016,19498,Semi-Auto,,Diesel,30,,2.1
 E Class,,20998,Semi-Auto,29816,Diesel,145,61.4,2.0
,2016,21498,Semi-Auto,29833,Diesel,160,51.4,
,,19698,Semi-Auto,42334,Diesel,30,,2.0
 GL Class,,31998,Semi-Auto,36281,Diesel,330,36.2,3.0
 E Class,2015,19498,Semi-Auto,22877,Diesel,150,,
,2016,30998,Semi-Auto,,Diesel,240,,3.0
,2014,15998,Semi-Auto,42514,Diesel,,62.8,2.1
 C Class,2016,17998,Semi-Auto,,Hybrid,0,134.5,
 SLK,,14298,Semi-Auto,21624,Diesel,145,56.5,2.0
,2017,15498,Manual,47412,Diesel,20,,1.5
 GLC Class,2016,21500,Semi-Auto,23349,Diesel,125,56.5,
 C Class,2016,14698,Manual,19864,Diesel,20,70.6,2.1
 C Class,,13998,Manual,22117,Petrol,,53.3,
,,14698,Semi-Auto,43331,Diesel,20,64.2,2.1
 A Class,2019,18498,Manual,2810,Petrol,145,28.5,1.3
 B Class,,9998,Manual,24510,Diesel,,,1.5
,2017,34998,Semi-Auto,,Diesel,205,,2.1
 C Class,2014,10498,Semi-Auto,51929,Diesel,,53.3,2.1
 A Class,,14998,Manual,,Diesel,,,1.5
,2014,14998,Semi-Auto,,Diesel,145,,2.1
,,19998,Semi-Auto,,Petrol,145,53.3,1.3
 C Class,2016,19698,Automatic,,Hybrid,0,134.5,
 A Class,2018,17498,Semi-Auto,15597,Diesel,145,68.9,2.1
,2017,22498,Semi-Auto,20491,Hybrid,,74.3,
 C Class,2015,11998,Manual,,Diesel,,72.4,
,,32498,Semi-Auto,,Diesel,,45.6,3.0
 C Class,,16298,Semi-Auto,29201,Diesel,30,64.2,1.6
 A Class,2013,11998,Manual,13680,Petrol,125,51.4,1.6
 GLC Class,2016,20998,Semi-Auto,,Diesel,,56.5,2.1
 E Class,2018,21498,Semi-Auto,,Diesel,150,,
,,25498,Semi-Auto,17967,Diesel,150,56.5,
