SalePrice,GrLivArea,GarageArea,OverallQual,Street,SaleCondition
133900,2291,506,6,Pave,Normal
204750,1786,684,6,Pave,Normal
185000,1470,420,6,Pave,Normal
214000,1588,472,7,Pave,Normal
94750,960,432,4,Pave,Normal
83000,835,366,5,Pave,Abnorml
128950,1225,0,4,Pave,Normal
205000,1610,480,6,Pave,Normal
178000,1732,476,6,Pave,Normal
118964,1535,410,5,Pave,Alloca
198900,1226,740,7,Pave,Normal
169500,1818,240,7,Pave,Normal
250000,1992,648,8,Pave,Normal
100000,1047,273,4,Pave,Normal
115000,789,250,5,Pave,Partial
115000,1517,0,5,Pave,Normal
190000,1844,546,6,Pave,Normal
136900,1855,325,6,Pave,Normal
180000,1430,400,7,Pave,Normal
383970,2696,792,7,Pave,Partial
217000,2259,450,6,Pave,Abnorml
259500,2320,180,6,Pave,Normal
176000,1458,440,6,Pave,Normal
139000,1092,288,5,Pave,Normal
155000,1125,430,5,Pave,Partial
320000,3222,594,7,Pave,Normal
163990,1456,390,6,Pave,Partial
180000,988,540,6,Pave,Normal
100000,1123,264,4,Pave,Normal
136000,1080,288,6,Pave,Normal
153900,1199,530,6,Pave,Normal
181000,1586,435,6,Pave,Normal
84500,754,0,6,Pave,Normal
128000,958,440,6,Pave,Normal
87000,840,0,5,Pave,Normal
155000,1348,453,6,Pave,Normal
150000,1053,750,5,Pave,Abnorml
226000,2157,487,7,Pave,Normal
244000,2054,390,6,Pave,Normal
150750,1327,624,5,Pave,Normal
220000,1296,471,8,Pave,Normal
180000,1721,440,5,Pave,Normal
174000,1682,530,7,Pave,Normal
143000,1214,318,5,Pave,Normal
171000,1959,766,7,Pave,Family
230000,1852,660,8,Pave,Normal
231500,1764,470,6,Pave,Normal
115000,864,0,4,Pave,Normal
260000,1734,660,7,Pave,Normal
166000,1385,720,5,Pave,Normal
204000,1501,577,7,Pave,Normal
125000,1728,504,5,Pave,Abnorml
130000,1709,380,6,Pave,Normal
105000,875,180,5,Pave,Normal
222500,2035,434,7,Pave,Normal
141000,1080,0,7,Pave,Normal
115000,1344,240,5,Pave,Normal
122000,969,440,5,Pave,Normal
372402,1710,866,8,Pave,Partial
190000,1993,495,6,Pave,Normal
235000,1252,564,6,Pave,Normal
125000,1200,312,6,Pave,Family
79000,1096,0,6,Pave,Normal
109500,1040,625,5,Pave,Normal
269500,1968,680,8,Pave,Partial
254900,1947,678,7,Pave,Normal
320000,2462,576,7,Pave,Partial
162500,1232,516,6,Pave,Normal
412500,2668,726,9,Pave,Normal
220000,1541,532,7,Pave,Partial
103200,882,0,4,Pave,Normal
152000,1616,216,6,Pave,Normal
127500,1355,0,5,Pave,Normal
190000,1867,303,5,Pave,Normal
325624,2161,789,8,Pave,Partial
183500,1720,440,7,Pave,Normal
228000,1707,511,8,Pave,Normal
128500,1382,660,5,Pave,Normal
215000,1656,528,6,Pave,Normal
239000,1767,504,7,Pave,Normal
163000,1362,504,6,Pave,Normal
184000,1651,616,6,Pave,Normal
243000,2158,576,6,Pave,Normal
211000,2060,521,6,Pave,Normal
172500,1920,451,5,Pave,Normal
501837,2234,1166,9,Pave,Partial
100000,968,480,5,Pave,Normal
177000,1525,440,6,Pave,Normal
200100,1802,216,7,Pave,Normal
120000,1340,252,5,Pave,Normal
200000,2082,484,7,Pave,Normal
127000,1252,576,5,Pave,Normal
475000,3608,840,10,Pave,Normal
173000,1217,497,7,Pave,Normal
135000,1656,180,5,Pave,Normal
153337,1224,528,5,Pave,Alloca
286000,1593,682,8,Pave,Normal
315000,2727,440,8,Pave,Normal
184000,1479,484,7,Pave,Normal
192000,1431,666,7,Pave,Normal
130000,1709,380,7,Pave,Normal
127000,864,352,5,Pave,Normal
148500,1456,440,6,Pave,Normal
311872,1726,786,7,Pave,Partial
235000,3112,795,8,Pave,Abnorml
104000,2229,0,6,Pave,Abnorml
274900,1713,856,8,Pave,Normal
140000,1121,440,4,Pave,Normal
171500,1279,473,6,Pave,Normal
112000,1310,398,6,Pave,Normal
149000,848,420,6,Pave,Normal
110000,1284,240,5,Pave,Normal
180500,1442,500,7,Pave,Normal
143900,1696,349,5,Pave,Normal
141000,1100,312,4,Pave,Normal
277000,2062,454,7,Pave,Normal
145000,1092,504,6,Pave,Normal
98000,864,0,5,Pave,Normal
186000,1212,460,6,Pave,Normal
252678,1852,644,7,Pave,Partial
156000,990,576,5,Pave,Normal
161750,1392,299,6,Pave,Normal
134450,1236,447,5,Pave,Normal
210000,1436,484,7,Pave,Normal
107000,1328,210,4,Pave,Family
311500,1954,431,7,Pave,Normal
167240,1248,438,7,Pave,Partial
204900,1498,675,7,Pave,Partial
200000,2267,390,6,Pave,Normal
179900,1552,434,6,Pave,Normal
97000,864,576,4,Pave,Abnorml
386250,2392,968,10,Pave,Normal
112000,1302,280,5,Pave,Abnorml
290000,2520,721,7,Pave,Abnorml
106000,987,280,6,Pave,Normal
125000,912,336,5,Pave,Normal
192500,1555,430,7,Pave,Normal
148000,1194,312,6,Pave,Normal
403000,2794,810,8,Pave,Normal
94500,987,288,6,Pave,Normal
128200,894,308,5,Pave,Normal
216500,1960,440,6,Pave,Normal
89500,987,264,6,Pave,Normal
185500,1414,494,7,Pave,Normal
194500,1744,457,7,Pave,Normal
318000,1694,818,8,Pave,Partial
113000,1487,220,6,Pave,Normal
262500,1566,750,8,Pave,Normal
110500,866,0,5,Pave,Normal
79000,1440,352,5,Pave,Normal
120000,1217,288,6,Pave,Normal
205000,2110,463,7,Pave,Normal
241500,1872,604,7,Pave,Normal
137000,1928,440,6,Pave,Normal
140000,1375,451,6,Pave,Normal
180000,1668,500,7,Pave,Normal
277000,2144,389,6,Pave,Normal
76500,1306,0,3,Pave,Normal
235000,1625,538,8,Pave,Family
173000,1640,520,6,Pave,Normal
158000,1302,309,6,Pave,Normal
145000,1314,294,5,Pave,Normal
230000,2291,429,7,Pave,Normal
207500,1728,673,6,Pave,Normal
220000,1604,660,7,Pave,Abnorml
231500,1792,564,7,Pave,Normal
97000,882,308,5,Pave,Normal
176000,1382,884,6,Pave,Normal
276000,2574,868,8,Pave,Partial
151000,1212,492,6,Pave,Normal
130000,1316,484,5,Pave,Normal
73000,764,504,5,Pave,Normal
175500,1422,576,6,Pave,Normal
185000,1511,413,6,Pave,Normal
179500,2192,240,5,Pave,Normal
120500,778,924,5,Pave,Normal
148000,1113,504,6,Pave,Normal
266000,1939,1053,8,Pave,Partial
241500,1363,439,7,Pave,Normal
290000,2270,671,8,Pave,Normal
139000,1632,338,6,Pave,Normal
124500,816,264,5,Pave,Normal
205000,1548,672,7,Pave,Normal
201000,1560,573,7,Pave,Normal
141000,864,400,4,Pave,Normal
415298,2121,732,9,Pave,Partial
192000,2022,505,7,Pave,Normal
228500,1982,575,7,Pave,Normal
185000,1262,572,6,Pave,Partial
207500,1314,626,7,Pave,Normal
244600,1468,898,8,Pave,Partial
179200,1575,529,6,Pave,Normal
164700,1250,528,7,Pave,Partial
159000,1734,440,6,Pave,Normal
88000,858,0,4,Pave,Normal
122000,900,280,5,Pave,Normal
153575,1396,384,6,Pave,Normal
233230,1919,685,8,Pave,Partial
135900,1716,0,5,Pave,Normal
131000,1716,281,5,Pave,Normal
235000,2263,539,7,Pave,Normal
167000,1644,418,6,Pave,Normal
142500,1003,588,6,Pave,Normal
152000,1558,282,5,Pave,Normal
239000,1950,576,7,Pave,Normal
175000,1743,539,6,Pave,Normal
158500,1152,300,6,Pave,Family
157000,1336,375,5,Pave,Normal
267000,2452,683,8,Pave,Normal
205000,1541,843,7,Pave,Normal
149900,894,552,5,Pave,Abnorml
295000,3493,870,7,Pave,Normal
305900,2000,888,8,Pave,Normal
225000,2243,746,7,Pave,Normal
89500,1406,0,6,Pave,Normal
82500,861,539,4,Pave,Normal
360000,1944,708,9,Pave,Normal
165600,1501,420,6,Pave,Normal
132000,972,240,6,Pave,Normal
119900,1118,410,5,Pave,Normal
375000,2036,513,7,Pave,Normal
178000,1641,546,7,Pave,Normal
188500,1432,432,7,Pave,Normal
260000,2353,484,7,Pave,Normal
270000,1959,1025,8,Pave,Normal
260000,2646,656,7,Pave,Normal
187500,1472,588,7,Pave,Normal
342643,2596,840,9,Pave,Partial
354000,2468,872,8,Pave,Normal
301000,2730,576,7,Pave,Normal
126175,1163,220,3,Pave,Normal
242000,2978,564,7,Pave,Normal
87000,803,360,5,Pave,Normal
324000,1719,473,8,Pave,Normal
145250,1383,292,6,Pave,Normal
214500,2134,441,6,Pave,Normal
78000,1192,189,5,Pave,Normal
119000,1728,352,5,Pave,Normal
139000,1056,308,5,Pave,Normal
284000,1629,880,8,Pave,Normal
207000,1358,484,7,Pave,Normal
192000,1638,472,6,Pave,Normal
228950,1786,529,5,Grvl,Normal
377426,1922,676,9,Pave,Normal
214000,1536,532,7,Pave,Normal
202500,1621,440,7,Pave,Normal
155000,1215,297,6,Pave,Normal
202900,1908,431,8,Pave,Normal
82000,841,294,4,Pave,Normal
87500,1040,400,3,Pave,Normal
266000,1684,564,9,Pave,Normal
85000,1112,336,5,Pave,Normal
140200,1577,312,6,Pave,Normal
151500,958,301,6,Pave,Normal
157500,1478,498,6,Pave,Normal
154000,1626,474,7,Pave,Normal
437154,2728,706,9,Pave,Partial
318061,1869,617,9,Pave,Partial
190000,1453,445,7,Pave,Abnorml
95000,1111,200,5,Pave,Normal
105900,720,484,6,Pave,Normal
140000,1595,240,6,Pave,Normal
177500,1200,521,6,Pave,Normal
173000,1167,400,6,Pave,Normal
134000,1142,528,5,Pave,Normal
130000,1352,288,5,Pave,Abnorml
280000,1924,592,8,Pave,Normal
156000,912,470,6,Pave,Normal
145000,1505,240,5,Pave,Normal
198500,1922,672,7,Pave,Normal
118000,987,264,6,Pave,Normal
190000,1574,566,6,Pave,Normal
147000,1344,468,5,Pave,Normal
159000,1394,514,6,Pave,Normal
165000,1431,296,6,Pave,Normal
132000,1268,244,5,Pave,Normal
162000,1287,576,5,Pave,Normal
172400,1664,460,6,Pave,Normal
134432,1588,680,4,Pave,Normal
125000,752,264,6,Pave,Normal
123000,1319,270,5,Pave,Normal
219500,1928,434,7,Pave,Normal
61000,904,0,1,Pave,Normal
148000,914,576,5,Pave,Normal
340000,2466,610,8,Pave,Normal
394432,1856,834,9,Pave,Partial
179000,1800,463,6,Pave,Normal
127000,1691,308,5,Pave,Normal
187750,1301,572,7,Pave,Partial
213500,1797,639,7,Pave,Normal
76000,784,360,6,Pave,Normal
240000,1953,501,6,Pave,Normal
192000,1269,430,8,Pave,Normal
81000,1184,0,5,Pave,AdjLand
125000,1125,352,6,Pave,Abnorml
191000,1479,577,7,Pave,Normal
426000,2332,846,10,Pave,Partial
119000,1367,384,5,Pave,Normal
215000,1961,560,6,Pave,Normal
106500,882,294,5,Pave,Normal
100000,788,0,4,Pave,Abnorml
109000,1034,240,5,Pave,Normal
129000,1144,596,5,Pave,Normal
123000,894,600,5,Pave,Normal
169500,1812,264,5,Pave,Normal
67000,1077,338,5,Pave,Abnorml
241000,1550,438,7,Pave,Normal
245500,1288,500,8,Pave,Normal
164990,1310,400,7,Pave,Partial
108000,672,240,5,Pave,Normal
258000,2263,420,8,Pave,Abnorml
168000,1572,373,6,Pave,Normal
150000,1620,490,4,Pave,Normal
115000,1639,240,6,Pave,Normal
177000,1680,308,6,Pave,Normal
280000,2172,947,7,Pave,Partial
339750,2078,836,8,Pave,Partial
60000,1276,350,5,Pave,Abnorml
145000,1056,572,5,Pave,Normal
222000,1478,484,7,Pave,Partial
115000,1028,360,5,Pave,Normal
228000,2097,678,7,Pave,Normal
181134,1340,396,7,Pave,Partial
149500,1400,440,6,Pave,Normal
239000,2624,864,6,Pave,Normal
126000,1134,240,5,Pave,AdjLand
142000,1056,304,5,Pave,Normal
206300,1344,784,7,Pave,Alloca
215000,1602,529,6,Pave,Normal
113000,988,520,5,Pave,Normal
315000,2630,696,8,Pave,Normal
139000,1196,297,6,Pave,Normal
135000,1389,240,7,Pave,Normal
275000,1644,569,7,Pave,Normal
109008,907,352,4,Pave,Normal
195400,1208,628,7,Pave,Partial
175000,1412,576,6,Pave,Normal
85400,987,264,6,Pave,Abnorml
79900,1198,0,6,Pave,Abnorml
122500,1365,440,5,Pave,Normal
181000,1604,470,6,Pave,Normal
81000,630,0,4,Pave,Normal
212000,1661,550,7,Pave,Normal
116000,1118,440,6,Pave,Normal
119000,904,180,6,Pave,Normal
90350,694,352,5,Pave,Normal
110000,1196,528,6,Pave,Normal
555000,2402,672,10,Pave,Normal
118000,1440,0,4,Pave,Normal
162900,1573,360,5,Pave,Normal
172500,1258,648,7,Pave,Partial
210000,1908,493,7,Pave,Normal
127500,1689,480,6,Pave,Normal
190000,1888,578,6,Pave,Normal
199900,1886,431,7,Pave,Normal
119500,1376,198,6,Pave,Normal
120000,1183,308,3,Pave,Normal
110000,813,270,6,Pave,Normal
280000,1533,576,7,Pave,Normal
204000,1756,422,6,Pave,Normal
210000,1590,676,8,Pave,Normal
188000,1728,560,5,Pave,Family
175500,1242,528,7,Pave,Normal
98000,1344,513,5,Pave,Abnorml
256000,1663,529,4,Pave,Normal
161000,1666,228,8,Pave,Normal
110000,1203,352,5,Pave,Normal
263435,1935,552,8,Pave,Partial
155000,1135,576,7,Pave,Normal
62383,864,360,5,Pave,Normal
188700,1660,240,6,Pave,Normal
124000,1040,0,5,Pave,Normal
178740,1414,398,7,Pave,Normal
167000,1277,526,7,Pave,Normal
146500,1644,312,5,Pave,Normal
250000,1634,866,8,Pave,Normal
187000,1710,506,6,Pave,Normal
212000,1502,528,8,Pave,Normal
190000,1969,534,7,Pave,Normal
148000,1072,525,6,Pave,Normal
440000,1976,908,8,Pave,Partial
251000,1652,499,8,Pave,Normal
132500,970,624,5,Pave,Normal
208900,1493,508,6,Pave,Normal
380000,2643,694,9,Pave,Normal
297000,1718,826,8,Pave,Normal
89471,1131,672,4,Pave,Alloca
326000,1850,772,9,Pave,Normal
374000,1792,874,9,Pave,Normal
155000,1826,164,7,Pave,Normal
164000,1216,402,6,Pave,Normal
132500,999,264,5,Pave,Normal
147000,1113,264,5,Pave,Normal
156000,1073,515,5,Pave,Normal
175000,1484,487,5,Pave,Normal
160000,2414,520,5,Pave,Normal
86000,630,286,4,Pave,Normal
115000,1304,336,5,Pave,Normal
133000,1578,240,6,Pave,Normal
172785,1456,429,6,Pave,Partial
155000,1269,308,5,Pave,Normal
91300,886,273,5,Pave,Normal
34900,720,0,4,Pave,Abnorml
430000,3228,546,8,Pave,Normal
184000,1820,240,7,Pave,Normal
130000,899,288,5,Pave,Normal
120000,912,297,5,Pave,Normal
113000,1218,264,6,Pave,Normal
226700,1768,603,7,Pave,Normal
140000,1214,461,5,Pave,Normal
289000,1801,484,7,Pave,Normal
147000,1322,440,6,Pave,Normal
124500,1960,400,5,Pave,Normal
215000,1911,471,8,Pave,Normal
208300,1218,676,6,Pave,Partial
161000,1378,360,7,Pave,Normal
124500,1041,270,5,Pave,Normal
164900,1363,288,5,Pave,Normal
202665,1368,474,7,Pave,Partial
129900,864,624,5,Pave,Normal
134000,1080,484,6,Pave,Normal
96500,789,200,5,Pave,Normal
402861,2020,900,10,Pave,Partial
158000,2119,583,6,Pave,Abnorml
265000,2344,889,7,Pave,Normal
211000,1796,546,6,Pave,Normal
234000,2080,282,7,Pave,Normal
106250,1294,0,4,Pave,Normal
150000,1244,336,6,Pave,Normal
159000,1664,420,6,Pave,Normal
184750,4676,884,10,Pave,Partial
315750,2398,834,7,Pave,Normal
176000,1266,453,7,Pave,Normal
132000,928,252,5,Pave,Normal
446261,2713,858,9,Pave,Partial
86000,605,0,4,Pave,Normal
200624,2515,484,6,Pave,Alloca
175000,1509,600,6,Pave,Abnorml
128000,1362,502,6,Pave,Normal
107500,827,392,5,Pave,Normal
39300,334,0,1,Pave,Normal
178000,1414,403,8,Pave,Normal
107500,1347,0,5,Pave,Normal
188000,1724,527,7,Pave,Normal
111250,864,576,4,Pave,Normal
158000,1159,336,5,Pave,Normal
272000,1601,670,8,Pave,Normal
315000,1838,765,9,Pave,Normal
248000,2285,648,8,Pave,Normal
213250,1680,583,7,Pave,Normal
133000,767,367,7,Pave,Normal
179665,1496,426,7,Pave,Partial
229000,2183,786,7,Pave,Normal
210000,1635,440,6,Pave,Normal
129500,768,624,5,Pave,Normal
125000,825,720,5,Pave,Normal
263000,2094,615,7,Pave,Normal
140000,1069,440,6,Pave,Abnorml
112500,928,288,5,Pave,Normal
255500,1717,908,8,Pave,Normal
108000,1126,520,4,Pave,Normal
284000,2046,871,7,Pave,Normal
113000,1048,280,5,Pave,Normal
141000,1092,299,5,Pave,Normal
108000,1336,570,4,Pave,Normal
175000,1446,406,7,Pave,Normal
234000,1557,420,7,Pave,Normal
121500,1392,528,5,Pave,Normal
170000,1389,418,5,Pave,Normal
108000,996,0,5,Pave,Normal
185000,1674,396,6,Pave,Normal
268000,2295,590,7,Pave,Normal
128000,1647,216,6,Pave,Normal
325000,2504,656,9,Pave,Normal
214000,1535,532,7,Pave,Normal
316600,2132,612,8,Pave,Normal
135960,943,600,5,Pave,Normal
142600,1728,576,5,Pave,Normal
120000,864,288,6,Pave,Abnorml
224500,1692,650,7,Pave,Partial
170000,1430,400,7,Pave,Normal
139000,1109,288,5,Pave,Normal
118500,1216,336,5,Pave,Abnorml
145000,1477,216,7,Pave,Normal
164500,1320,564,5,Pave,Abnorml
146000,1392,540,7,Pave,Abnorml
131500,1795,352,5,Pave,Normal
181900,1429,572,6,Pave,Normal
253293,2042,1390,8,Pave,Partial
118500,816,0,6,Grvl,Normal
325000,2775,880,10,Pave,Normal
133000,1573,240,4,Pave,Normal
369900,2028,880,8,Pave,Partial
130000,838,275,6,Pave,Normal
137000,860,528,5,Pave,Normal
143000,1473,452,5,Pave,Partial
79500,935,308,5,Pave,Normal
185900,1582,520,7,Pave,Normal
451950,2296,842,10,Pave,Normal
138000,816,816,5,Pave,Normal
140000,848,420,6,Pave,Normal
110000,924,280,5,Pave,Normal
319000,1826,758,8,Pave,Partial
114504,1368,216,6,Pave,Normal
194201,1402,648,7,Pave,Partial
217500,1647,621,5,Pave,Normal
151000,1556,452,6,Pave,Normal
275000,1904,736,8,Pave,Normal
141000,1375,544,6,Pave,Normal
220000,1915,506,8,Pave,Abnorml
151000,1200,480,7,Pave,Normal
221000,1494,530,7,Pave,Normal
205000,1986,486,7,Pave,Normal
152000,1040,576,5,Pave,Normal
225000,2008,230,5,Pave,Normal
359100,3194,380,8,Pave,Alloca
118500,1029,261,4,Pave,Normal
313000,2153,736,9,Pave,Normal
148000,1032,564,6,Pave,Normal
261500,1872,531,8,Pave,Normal
147000,1120,0,5,Pave,Partial
75500,630,0,4,Pave,Normal
137500,1054,480,6,Pave,Abnorml
183200,1509,393,6,Pave,Normal
105500,832,528,6,Pave,Normal
314813,1828,774,9,Pave,Partial
305000,2262,749,8,Pave,Normal
67000,864,0,3,Pave,Normal
240000,2614,624,6,Pave,Normal
135000,980,484,5,Pave,Normal
168500,1512,440,6,Pave,Normal
165150,1790,484,6,Pave,Normal
160000,1116,440,6,Pave,Normal
139900,1422,286,5,Pave,Normal
153000,1520,364,6,Pave,Normal
135000,2080,504,5,Pave,Family
168500,1350,520,6,Pave,Normal
124000,1750,240,5,Pave,Abnorml
209500,1554,627,8,Pave,Normal
82500,1411,544,7,Pave,Family
139400,1056,260,5,Pave,Normal
144000,1056,576,6,Pave,Normal
200000,3395,0,6,Pave,Abnorml
60000,800,0,2,Pave,Normal
93000,1387,256,5,Pave,Normal
85000,796,0,5,Pave,Normal
264561,1567,648,8,Pave,Partial
274000,1518,588,8,Pave,Normal
226000,1929,650,7,Pave,Normal
345000,2704,538,8,Pave,Normal
152000,1620,462,5,Pave,Normal
370878,1766,478,9,Pave,Partial
143250,981,576,6,Pave,Normal
98300,1048,420,5,Pave,Normal
155000,1094,495,6,Pave,Normal
155000,1839,442,6,Pave,Normal
84500,630,0,4,Pave,Normal
205950,1665,562,7,Pave,Normal
108000,1510,296,4,Pave,Normal
191000,1716,512,7,Pave,Normal
135000,1469,216,6,Pave,Normal
350000,2113,839,8,Pave,Normal
88000,1092,264,6,Pave,Family
145500,1053,312,5,Pave,Normal
149000,1502,270,7,Pave,Normal
97500,1458,330,6,Pave,Abnorml
167000,1486,480,5,Pave,Normal
197900,1935,550,7,Pave,Normal
402000,2448,711,8,Pave,Normal
110000,1392,576,6,Pave,Normal
137500,1181,588,4,Pave,Normal
423000,2097,1134,8,Pave,Partial
230500,1936,504,8,Pave,Normal
129000,2380,596,6,Pave,Abnorml
193500,1679,575,6,Pave,Normal
168000,1437,576,5,Pave,Normal
137500,1180,252,4,Pave,Normal
173500,1476,540,6,Pave,Normal
103600,1369,300,6,Pave,Normal
165000,1208,546,6,Pave,Normal
257500,1839,416,6,Pave,Normal
140000,1136,384,6,Pave,Normal
148500,1441,440,6,Pave,Normal
87000,1774,779,4,Pave,Normal
109500,792,240,5,Pave,Normal
372500,2046,834,8,Pave,Partial
128500,988,572,5,Pave,Normal
143000,923,264,6,Pave,Normal
159434,1520,281,5,Pave,Abnorml
173000,1291,431,6,Pave,Normal
285000,1668,702,9,Pave,Normal
221000,1839,486,7,Pave,Normal
207500,2090,577,7,Pave,Normal
227875,1761,578,7,Pave,Partial
148800,1102,480,7,Pave,Normal
392000,1419,567,8,Pave,Partial
194700,1362,460,6,Pave,Normal
141000,848,420,6,Pave,Normal
755000,4316,832,10,Pave,Normal
335000,2519,628,7,Pave,Normal
108480,1073,326,5,Pave,Abnorml
141500,1539,576,5,Pave,Normal
176000,1137,551,6,Pave,Normal
89000,616,205,5,Pave,Normal
123500,1148,308,5,Pave,Normal
138500,894,336,5,Pave,Normal
196000,1391,530,7,Pave,Normal
312500,1800,765,8,Pave,Normal
140000,1164,528,7,Pave,Normal
361919,2576,666,8,Pave,Partial
140000,1812,672,5,Pave,Normal
213000,1484,606,7,Pave,Normal
55000,1092,0,4,Pave,Normal
302000,1824,739,7,Pave,Normal
254000,1324,550,8,Pave,Normal
179540,1456,400,7,Pave,Partial
109900,904,408,5,Pave,Abnorml
52000,729,0,3,Pave,Normal
102776,1178,384,4,Pave,Abnorml
189000,1228,472,8,Pave,Normal
129000,960,576,4,Pave,Normal
130500,1479,475,6,Pave,Normal
165000,1350,478,6,Pave,Normal
159500,2554,704,7,Pave,Normal
157000,1178,439,5,Pave,Normal
341000,2418,983,7,Pave,Normal
128500,971,300,5,Pave,Normal
275000,1742,564,8,Pave,Normal
143000,848,420,6,Pave,Normal
124500,864,463,4,Pave,Normal
135000,1470,548,4,Pave,Normal
320000,1698,768,9,Pave,Normal
120500,864,660,4,Pave,Normal
222000,1680,540,6,Pave,Normal
194500,1232,632,7,Pave,Normal
110000,1776,888,5,Pave,Abnorml
103000,1208,539,4,Pave,Normal
236500,1616,608,8,Pave,Normal
187500,1146,438,7,Pave,Normal
222500,2031,541,7,Pave,Normal
131400,1144,264,5,Pave,Normal
108000,948,300,5,Pave,Family
163000,1768,320,7,Pave,Normal
93500,1040,400,3,Pave,Normal
239900,1801,800,8,Pave,Normal
179000,1200,0,5,Pave,Alloca
190000,1728,572,7,Pave,Normal
132000,1432,360,5,Pave,Abnorml
142000,912,288,6,Pave,Normal
179000,1349,539,7,Pave,Normal
175000,1464,480,5,Pave,Normal
180000,1337,462,8,Pave,Normal
299800,2715,831,8,Pave,Normal
236000,2256,554,7,Pave,Normal
265979,2640,864,7,Pave,Normal
260400,1720,527,7,Pave,Normal
98000,1529,240,4,Pave,Normal
96500,1140,0,4,Pave,Normal
162000,1320,400,7,Pave,Normal
217000,1494,576,6,Pave,Normal
275500,2098,878,8,Pave,Normal
156000,1026,440,6,Pave,Normal
172500,1471,440,6,Pave,Normal
212000,1768,578,8,Pave,Normal
158900,1386,440,6,Pave,Abnorml
179400,1501,440,7,Pave,Normal
290000,2531,752,8,Pave,Normal
127500,864,300,6,Pave,Normal
100000,1301,440,5,Pave,Normal
215200,1547,614,7,Pave,Normal
337000,2365,856,8,Pave,Normal
270000,1494,481,8,Pave,Normal
264132,1506,592,9,Pave,Partial
196500,1714,496,7,Pave,Normal
160000,1750,423,6,Pave,Normal
216837,1836,484,7,Pave,Normal
538000,3279,841,8,Pave,Normal
134900,858,576,5,Pave,Normal
102000,1220,396,4,Pave,Normal
107000,1117,672,6,Pave,Abnorml
114500,912,275,5,Pave,Normal
