ID,Year_Birth,Dt_Customer,Recency,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumWebPurchases,NumStorePurchases,Response
10401,1976,04-09-2013,12,0,5,0,3,0,3,0
1618,1965,02-01-2013,9,0,64,0,0,10,8,1
3332,1985,29-08-2012,87,4,68,7,5,3,4,0
2261,1969,23-06-2013,5,1,5,2,0,1,2,0
5346,1973,03-07-2013,87,5,19,7,0,3,3,0
4119,1963,11-05-2013,56,17,44,34,22,2,3,0
535,1987,25-02-2014,18,23,424,27,65,3,13,0
5268,1960,11-08-2013,95,8,14,10,4,1,4,0
273,1970,16-07-2013,48,0,16,0,0,3,4,0
4452,1957,28-05-2014,3,6,37,0,3,6,6,1
8504,1973,12-05-2014,70,60,568,110,133,5,7,0
771,1967,21-01-2014,79,9,39,4,0,2,5,0
8996,1957,19-11-2012,4,42,192,49,37,7,8,0
9235,1957,27-05-2014,45,0,8,2,0,1,2,0
5798,1973,23-11-2013,87,37,359,98,28,2,8,0
11178,1972,23-03-2014,69,2,10,0,1,1,3,0
2230,1970,24-05-2014,84,2,14,0,0,3,3,0
7516,1983,22-05-2014,30,3,11,12,5,2,3,0
7247,1960,22-11-2012,72,0,26,0,0,7,6,0
11100,1972,11-04-2013,37,2,7,0,1,2,3,0
4646,1951,01-12-2013,44,26,447,75,0,5,12,0
3037,1983,20-06-2013,32,46,92,65,61,5,7,0
1473,1960,23-07-2013,0,1,5,2,1,2,3,0
1016,1959,30-03-2014,43,1,6,2,0,2,3,0
4518,1979,20-04-2013,59,172,183,185,132,9,11,0
9370,1945,17-05-2013,68,81,276,80,40,6,6,0
8908,1959,08-05-2014,35,76,690,50,26,3,5,1
8373,1979,10-12-2013,94,3,6,10,0,1,3,0
7533,1964,24-09-2013,15,1,32,2,1,4,4,0
2683,1969,02-02-2013,56,106,271,75,98,6,12,0
3629,1978,19-12-2012,17,3,31,4,4,3,3,0
10991,1960,07-12-2012,18,194,106,31,22,5,4,0
5077,1979,02-11-2013,46,115,292,23,35,6,11,0
7431,1991,10-11-2012,40,17,311,23,51,7,5,1
3267,1963,25-06-2014,27,0,21,0,0,8,8,0
999,1991,02-01-2013,95,44,125,29,20,6,11,1
9215,1980,12-12-2012,19,0,101,0,0,6,6,0
2286,1962,10-09-2013,27,1,21,0,1,2,3,0
1592,1970,24-01-2014,25,99,812,151,82,4,5,0
367,1978,19-02-2013,74,90,94,123,103,9,5,0
5234,1967,11-07-2013,85,5,25,0,9,1,3,0
9862,1969,14-11-2013,37,6,7,11,5,2,3,0
9805,1953,20-06-2013,65,48,133,39,72,6,10,0
6205,1967,24-02-2014,13,3,29,0,4,2,3,1
8442,1985,04-09-2013,63,0,7,3,4,1,3,0
7386,1976,22-04-2013,83,0,14,7,3,1,3,0
7215,1983,12-03-2013,69,27,102,44,72,6,13,1
1491,1965,18-02-2013,87,33,124,40,28,3,7,0
11071,1984,21-04-2013,37,133,951,173,0,3,6,1
3381,1953,08-06-2014,51,0,16,0,0,2,4,0
8268,1961,11-07-2013,23,0,27,10,0,6,7,0
11051,1956,10-05-2014,72,19,110,16,12,6,10,0
8026,1952,30-09-2013,10,58,73,65,89,5,5,0
433,1958,10-03-2013,42,5,47,0,5,11,6,0
9597,1969,10-02-2014,10,106,189,23,41,7,9,0
1295,1963,11-08-2013,96,65,196,38,71,6,7,0
5290,1964,14-08-2013,51,0,33,3,0,5,5,0
1685,1967,17-03-2013,21,14,590,38,44,4,13,0
5342,1976,08-08-2012,31,1,3,10,6,1,3,0
9579,1959,07-07-2013,61,1,34,2,0,2,2,0
7660,1973,19-05-2014,37,0,8,4,2,1,2,1
1461,1965,28-07-2013,74,1,12,3,1,2,3,0
821,1992,19-10-2012,46,61,921,52,61,5,12,0
11084,1976,14-11-2013,4,0,232,13,20,3,7,1
8690,1962,19-04-2013,73,28,756,36,40,5,10,0
2937,1974,28-08-2013,47,16,132,43,33,8,9,0
9701,1988,19-03-2013,13,34,41,73,16,4,3,0
9949,1976,18-10-2012,36,16,141,32,41,3,6,0
10837,1975,28-10-2012,47,1,18,20,11,2,3,1
3120,1981,28-08-2013,49,1,10,0,1,1,2,0
5885,1973,22-08-2012,94,3,90,12,1,4,4,0
4050,1966,21-06-2014,65,16,29,12,20,2,4,0
3830,1953,24-04-2014,59,21,78,39,13,4,7,0
7987,1969,07-03-2014,96,17,48,23,13,8,6,0
7798,1972,14-12-2012,28,20,57,8,20,7,5,0
92,1988,12-05-2014,12,7,24,19,14,3,4,0
7055,1952,09-10-2012,57,0,57,0,0,8,11,0
10240,1949,19-02-2013,10,26,269,34,13,10,6,1
3025,1958,08-07-2013,4,6,69,4,12,6,5,0
9283,1978,12-09-2013,49,1,7,2,0,0,3,0
9970,1977,17-10-2013,3,11,57,10,28,1,6,0
2730,1955,20-08-2013,64,11,387,149,91,3,10,0
2795,1958,01-07-2013,0,0,3,0,0,1,2,0
9260,1945,05-11-2012,20,16,249,43,16,10,9,0
8182,1984,05-01-2014,91,3,49,7,4,3,4,0
10095,1975,01-05-2013,9,12,240,16,12,5,10,0
8475,1973,01-03-2014,98,2,1582,1,2,0,0,0
4370,1966,13-11-2013,83,1,32,6,3,2,4,0
10573,1953,18-11-2013,27,16,98,134,21,6,4,0
3712,1959,28-08-2013,63,5,33,7,0,3,6,0
6637,1988,02-11-2013,46,162,305,173,76,3,7,0
3152,1957,25-02-2014,84,10,19,8,17,2,3,0
5610,1965,21-04-2014,58,3,10,8,1,1,3,0
6460,1982,13-07-2013,78,4,6,11,8,2,3,0
1349,1970,21-04-2014,4,7,24,2,3,3,3,0
1880,1959,30-01-2014,17,0,6,0,0,2,3,0
641,1967,04-04-2014,77,0,12,0,0,2,2,0
8717,1975,12-09-2012,56,71,449,69,71,11,8,0
10314,1948,16-12-2012,79,66,119,86,89,9,5,1
10854,1970,23-05-2014,90,0,14,0,0,2,3,0
10492,1959,24-06-2014,96,0,5,2,0,0,3,0
6935,1951,01-12-2013,44,26,447,75,0,5,12,0
7698,1976,11-05-2014,81,3,22,2,5,4,4,0
3559,1988,10-05-2014,77,11,10,3,12,2,3,0
10562,1946,28-09-2013,21,26,195,34,17,6,13,0
10796,1984,22-01-2014,16,1,6,0,0,1,3,0
2563,1961,15-06-2014,80,9,7,2,14,2,3,0
3518,1983,05-12-2012,45,1,18,10,4,1,2,0
5823,1970,08-03-2014,63,0,2,0,0,1,4,0
3934,1966,02-08-2013,34,0,107,19,9,7,8,0
6982,1976,19-03-2013,14,30,537,140,76,4,9,0
6431,1964,23-02-2013,13,1,18,3,0,2,3,0
9733,1978,09-09-2012,52,4,10,29,0,1,2,0
5602,1989,17-05-2013,98,22,432,147,113,8,12,0
7829,1900,26-09-2013,99,6,8,7,4,2,2,0
1324,1988,30-05-2013,93,3,21,3,19,3,3,0
326,1973,18-02-2013,38,6,45,8,9,5,6,0
7224,1977,29-12-2013,24,0,10,3,1,1,2,0
6999,1980,13-05-2014,80,16,106,32,16,7,12,0
9938,1954,19-09-2013,82,17,813,27,173,4,6,0
6422,1954,17-01-2013,20,189,482,50,33,5,5,0
3182,1973,31-03-2014,81,1,79,7,1,5,3,1
7300,1952,29-06-2014,50,4,34,6,4,8,7,0
10424,1968,09-12-2013,60,138,553,224,23,4,9,0
8727,1978,14-10-2013,63,43,337,42,87,11,9,0
2798,1977,02-11-2012,54,29,138,76,176,7,10,1
1030,1965,17-07-2013,72,0,13,0,0,1,3,0
624,1984,10-11-2012,5,4,1,7,2,0,2,1
5176,1988,08-12-2013,88,6,13,7,6,1,3,0
5552,1963,13-05-2013,50,18,113,47,13,4,5,0
868,1966,08-06-2014,99,0,7,0,0,2,3,0
380,1954,10-09-2012,17,48,320,42,32,11,9,1
2677,1956,31-03-2013,11,24,68,65,4,3,6,0
6521,1954,18-03-2014,18,22,319,33,102,4,9,0
6927,1968,05-10-2012,70,0,30,0,0,5,5,0
2877,1974,21-01-2013,21,0,59,19,9,7,8,0
0,1985,04-05-2013,66,10,554,254,87,3,9,0
1584,1977,01-04-2014,79,7,171,25,19,8,5,0
7264,1978,12-05-2014,2,0,4,0,0,1,2,0
6274,1948,15-11-2013,81,16,417,42,48,8,6,0
1377,1954,31-08-2013,24,4,33,0,0,4,5,0
454,1980,14-11-2012,48,32,162,42,32,11,11,0
1755,1988,11-04-2014,93,11,25,29,1,1,4,0
2075,1969,14-11-2013,56,10,540,80,30,3,7,0
4785,1970,14-04-2014,3,7,154,19,0,6,11,0
9076,1980,05-01-2013,44,1,25,0,1,4,4,0
7079,1962,08-09-2012,38,23,207,15,11,9,12,0
4653,1978,26-03-2013,46,0,16,2,1,3,4,0
7375,1976,25-10-2012,84,7,79,0,11,8,4,0
709,1952,09-12-2012,27,20,204,0,0,2,11,0
460,1972,08-08-2012,72,86,740,67,51,3,8,0
3726,1986,16-02-2014,66,1,9,3,0,1,2,0
6798,1966,20-03-2013,30,7,137,4,15,5,8,1
5341,1962,05-01-2013,2,76,184,180,138,6,4,0
1606,1971,15-05-2013,65,1,8,4,3,1,2,0
9617,1951,16-04-2014,37,4,5,6,0,1,3,0
3233,1965,23-03-2013,89,21,464,28,10,7,11,0
89,1975,09-12-2013,49,9,20,6,8,2,4,0
2936,1982,04-12-2013,46,0,4,0,0,1,3,0
9449,1958,04-10-2013,32,5,124,15,35,5,11,0
7297,1973,26-12-2013,54,3,10,12,7,3,3,0
11004,1893,17-05-2014,23,0,5,7,0,1,2,0
313,1968,28-10-2013,98,61,757,186,163,6,10,0
9940,1958,23-12-2012,97,114,276,75,124,6,4,0
10735,1971,31-07-2013,75,1,7,2,1,2,2,0
9529,1990,28-11-2013,8,153,503,218,13,3,9,1
6439,1958,17-08-2012,37,0,133,0,28,11,8,0
7411,1964,05-06-2014,31,0,5,0,0,1,3,0
2176,1972,20-05-2013,40,16,272,104,0,5,6,1
9265,1953,09-01-2013,74,64,179,133,12,9,6,0
8867,1988,31-08-2012,90,134,768,150,38,4,5,0
8932,1969,29-10-2012,57,28,183,220,70,9,6,0
10236,1975,16-09-2013,59,3,25,6,1,2,3,0
6340,1985,27-10-2013,52,3,7,0,2,1,3,0
10089,1974,05-04-2013,5,148,444,32,172,6,13,1
2227,1958,22-09-2012,92,47,52,21,20,3,5,0
10992,1967,29-08-2012,77,28,353,45,42,4,11,0
5304,1974,13-10-2012,35,0,8,0,0,1,3,0
309,1961,16-10-2012,48,21,118,13,10,8,5,0
3406,1964,22-10-2012,97,33,87,28,24,3,7,0
2661,1964,04-06-2013,95,4,2,10,6,2,4,0
3153,1957,08-12-2013,24,0,4,0,0,1,2,0
10264,1979,10-10-2012,60,2,8,4,3,1,2,1
1184,1968,22-05-2013,46,41,215,11,0,10,10,0
4200,1970,17-06-2014,85,2,62,24,13,4,6,0
9396,1978,23-11-2012,31,0,6,4,1,1,2,0
2387,1952,03-02-2013,9,2,71,3,2,5,4,1
6690,1966,14-03-2013,30,4,22,4,2,3,3,0
1225,1963,26-06-2014,47,84,398,205,84,3,8,0
9703,1970,15-10-2012,70,2,35,0,1,3,2,1
291,1970,19-06-2013,13,74,298,162,149,3,6,0
4557,1970,04-10-2013,11,7,19,8,2,2,2,0
2379,1953,22-09-2012,31,44,499,95,73,3,5,1
5726,1983,20-03-2014,15,7,23,0,8,3,4,0
3066,1975,04-02-2014,2,0,43,6,2,4,4,0
6336,1960,06-04-2014,55,2,14,8,7,2,4,0
10967,1963,06-02-2013,38,6,40,3,7,2,4,0
2304,1963,16-09-2013,86,7,99,10,22,6,12,0
3445,1956,17-01-2013,56,162,224,101,92,7,10,1
7828,1981,30-04-2014,29,129,396,188,22,3,5,0
3762,1986,02-04-2013,30,0,512,33,130,3,8,1
4391,1968,21-04-2013,64,15,100,20,7,9,9,0
4669,1981,11-02-2013,46,19,9,28,25,3,4,0
10144,1976,25-10-2012,84,7,79,0,11,8,4,0
8652,1946,31-08-2012,20,5,38,150,12,4,6,0
1672,1974,01-03-2014,74,7,149,20,15,5,8,0
8962,1975,17-04-2014,18,0,8,0,0,2,3,0
9974,1974,12-07-2013,75,6,20,4,5,3,2,0
10983,1952,29-01-2013,17,98,230,150,74,6,13,0
8148,1956,08-01-2013,88,28,242,55,114,6,12,0
10102,1966,12-05-2014,19,183,565,166,141,5,5,0
4697,1949,13-06-2013,62,3,81,4,3,7,5,0
9262,1984,04-07-2013,11,6,5,0,9,1,3,0
7254,1969,27-12-2013,74,0,56,20,8,3,3,0
4543,1980,31-10-2012,32,129,573,216,21,2,9,0
4927,1971,15-01-2014,76,3,22,21,1,3,3,0
10451,1965,12-03-2013,6,1,3,0,4,0,3,0
2926,1952,23-08-2012,62,0,80,0,13,3,11,0
2874,1988,07-03-2013,20,4,7,4,3,1,3,0
9738,1986,13-01-2013,43,4,16,0,4,3,3,0
7119,1982,12-01-2013,45,15,263,60,54,2,6,0
3924,1965,17-03-2014,34,0,80,0,0,8,12,0
5827,1958,16-04-2014,53,0,12,2,2,3,3,0
5596,1956,12-10-2013,44,14,154,19,0,9,9,0
10812,1978,01-03-2014,89,0,46,4,3,2,3,0
1717,1988,13-04-2014,43,15,93,20,13,5,4,0
9491,1984,27-12-2013,68,1,21,2,3,3,3,0
9274,1961,28-03-2013,44,147,112,219,147,6,9,0
6609,1966,18-09-2012,64,26,25,17,23,3,3,1
6963,1947,05-03-2014,85,11,400,15,45,2,10,0
4440,1964,10-09-2013,93,0,27,0,0,8,6,0
1379,1992,27-04-2013,12,2,46,20,4,4,4,0
10032,1976,18-01-2014,86,5,14,2,12,3,3,0
2826,1967,28-10-2013,28,0,8,2,0,2,3,0
2437,1989,03-06-2013,69,138,461,60,30,6,12,0
6320,1976,06-02-2013,42,44,561,77,44,6,10,0
3050,1966,17-12-2013,13,0,28,3,2,3,6,0
231,1956,11-03-2014,86,0,7,0,0,2,3,0
2392,1972,29-07-2013,59,4,21,6,0,3,3,0
9478,1985,14-08-2012,30,64,128,65,3,4,6,0
113,1951,16-07-2013,33,0,7,3,1,1,3,0
2863,1970,23-08-2013,67,20,172,52,50,2,10,0
1802,1971,17-01-2013,23,5,119,38,29,3,12,0
520,1974,01-07-2013,81,3,7,6,2,1,2,0
8275,1965,09-02-2014,6,0,3,0,0,1,2,0
9750,1961,07-02-2013,41,60,353,78,12,10,5,0
2607,1953,11-01-2013,78,17,118,7,23,8,8,0
7214,1957,05-07-2013,49,0,275,45,45,4,5,0
5835,1976,02-07-2013,39,2,28,3,2,2,4,0
3896,1984,07-11-2013,3,1,11,0,1,1,3,0
10350,1950,09-05-2013,37,0,5,0,0,1,3,0
7786,1986,13-02-2013,22,7,59,10,5,3,4,0
2861,1983,16-04-2013,79,1,6,3,0,1,2,0
663,1989,11-09-2013,46,2,15,8,0,1,3,0
10675,1956,03-04-2013,82,11,218,0,0,9,5,1
2521,1971,10-01-2013,10,1,13,2,2,1,2,1
9592,1983,30-06-2013,51,2,9,3,0,2,3,0
10151,1960,12-09-2012,38,46,247,151,46,4,12,0
7381,1968,06-12-2012,10,153,293,72,97,11,6,1
4099,1972,12-11-2012,14,2,16,11,2,1,3,0
9560,1965,03-03-2013,18,61,570,40,25,7,8,1
1150,1899,26-09-2013,36,144,562,104,64,4,4,0
10172,1988,10-08-2012,95,19,832,75,118,4,11,0
11191,1986,07-12-2013,11,32,38,11,3,2,4,0
9707,1969,23-11-2012,65,0,45,0,0,4,11,0
6245,1950,13-06-2013,71,14,68,19,14,3,8,0
8234,1973,15-08-2013,13,6,7,0,1,1,2,1
1411,1952,10-11-2013,58,34,204,172,153,2,4,0
8553,1965,23-06-2013,65,0,9,0,0,1,3,0
1826,1970,16-06-2014,0,104,379,111,189,4,6,1
8842,1971,25-12-2012,33,0,12,7,3,2,3,0
11030,1976,03-01-2014,90,0,3,0,0,1,2,0
2579,1957,17-12-2013,95,33,255,11,33,6,9,0
175,1986,10-01-2013,93,80,455,52,107,8,8,0
9185,1966,28-10-2013,38,20,514,13,30,4,5,1
11056,1974,27-10-2012,18,91,410,119,0,3,10,0
9365,1976,22-12-2012,57,0,217,0,0,11,5,0
6201,1978,29-11-2013,45,2,14,0,1,2,3,0
2061,1955,11-05-2013,61,0,11,0,0,2,4,0
6184,1969,12-12-2012,6,64,785,84,128,3,8,0
6142,1943,20-08-2013,65,17,177,69,0,5,5,0
4107,1948,08-10-2013,52,15,69,15,19,4,4,0
7274,1957,28-09-2012,87,163,818,212,163,4,10,0
9336,1969,22-03-2014,38,0,83,0,0,6,10,0
2958,1978,24-02-2014,53,3,10,11,8,2,4,0
933,1978,23-11-2012,31,0,6,4,1,1,2,0
5837,1967,28-12-2012,67,8,160,6,8,6,6,0
10704,1969,21-08-2012,65,0,92,28,27,6,9,0
5125,1960,17-05-2013,64,0,815,129,42,4,11,0
4432,1976,16-03-2013,82,3,20,6,11,2,3,0
5955,1962,17-11-2012,27,33,549,151,133,4,8,0
2928,1975,01-12-2012,63,0,142,12,9,2,8,0
5680,1984,22-04-2014,66,4,7,0,6,1,3,0
10313,1975,28-10-2012,69,4,45,6,2,5,4,0
2557,1970,29-08-2013,52,1,6,3,1,1,2,0
1245,1966,11-11-2012,45,12,253,16,12,4,12,0
1519,1972,22-06-2013,2,4,22,3,3,3,3,1
10703,1975,18-08-2012,86,0,27,0,0,3,2,0
1726,1970,18-03-2013,23,9,15,13,2,1,2,1
4459,1989,30-12-2012,13,4,14,4,4,1,3,0
1729,1961,02-10-2013,14,24,97,32,24,3,10,0
1517,1969,14-06-2013,92,9,13,2,12,1,3,0
2098,1969,08-01-2013,38,0,5,0,0,1,2,0
9543,1985,14-11-2013,74,6,5,0,2,0,3,0
6878,1954,12-12-2012,14,12,96,78,40,4,6,0
3310,1973,22-08-2012,94,3,90,12,1,4,4,0
2724,1981,30-03-2014,33,0,1,0,0,0,2,0
948,1971,15-05-2013,32,7,7,6,4,1,2,0
6720,1968,16-10-2013,11,11,53,4,3,7,4,1
6202,1960,05-10-2012,78,50,142,33,50,4,13,0
2066,1949,30-08-2012,56,0,11,2,8,2,3,0
9799,1968,08-05-2013,57,21,151,28,21,2,12,0
8318,1979,03-01-2014,7,134,786,33,134,5,8,0
5642,1979,09-12-2013,0,4,61,0,13,3,6,0
2669,1993,04-05-2014,66,152,335,93,91,5,6,0
455,1946,18-04-2013,86,9,63,2,9,4,4,0
7683,1968,25-02-2014,80,35,113,0,7,5,12,0
3428,1991,06-10-2013,56,0,505,99,30,4,10,0
7414,1971,15-09-2012,18,1,42,12,3,3,4,0
6354,1984,31-08-2012,51,2,16,3,2,1,2,1
798,1987,24-12-2012,71,0,6,8,6,1,3,0
8213,1980,09-11-2012,71,4,9,6,36,2,3,1
2488,1956,23-03-2013,80,1,25,0,8,2,3,0
9999,1965,27-09-2012,2,105,125,137,42,9,9,0
7617,1974,15-08-2013,83,5,61,3,8,2,5,0
615,1960,11-03-2013,29,36,74,38,20,5,4,0
2552,1955,22-10-2013,11,0,26,0,0,6,6,1
194,1965,09-06-2014,55,0,11,3,2,1,3,0
3645,1972,30-08-2012,19,3,26,10,9,2,4,1
8890,1971,30-05-2014,1,7,80,13,7,5,5,0
5049,1974,06-06-2013,19,0,24,3,3,3,2,0
9973,1963,17-10-2012,28,9,92,6,9,7,8,0
7301,1982,17-11-2012,76,22,11,3,7,3,3,1
10882,1976,09-11-2012,50,53,221,58,150,4,6,0
7030,1955,30-03-2013,1,0,204,38,29,11,12,0
7422,1987,22-08-2012,90,44,54,102,78,5,7,0
3523,1962,23-01-2013,83,34,309,0,22,5,8,0
7106,1943,31-03-2014,73,0,591,156,0,3,10,0
6504,1975,20-11-2013,24,5,9,28,6,2,3,0
5067,1994,14-02-2014,11,26,282,52,26,2,11,0
4216,1981,22-02-2013,33,114,108,179,137,7,9,1
8581,1971,05-03-2013,4,0,100,19,0,10,8,0
5929,1973,06-05-2014,14,3,19,3,1,2,3,0
3129,1983,22-05-2014,30,3,11,12,5,2,3,0
6528,1982,05-06-2014,75,2,2,2,1,1,2,0
1361,1974,04-06-2013,26,68,103,29,91,3,8,1
6932,1941,13-04-2013,77,42,716,55,0,7,5,0
7284,1953,04-12-2013,8,0,7,2,0,1,2,0
1340,1986,24-04-2014,42,137,792,179,103,6,13,0
8746,1989,05-04-2014,28,0,297,0,34,2,10,0
5987,1989,04-05-2014,52,2,11,10,6,1,4,0
3767,1968,25-04-2013,1,0,189,97,172,5,12,0
3725,1961,09-05-2013,1,16,349,43,16,2,9,1
4324,1989,29-10-2012,42,0,235,19,4,8,7,0
238,1967,23-01-2013,76,47,181,149,95,9,9,0
6694,1964,25-11-2013,27,66,400,12,38,8,13,0
498,1970,02-02-2014,28,0,22,2,3,1,4,0
9347,1956,21-06-2013,49,0,7,2,0,1,3,0
9699,1966,21-12-2013,12,35,271,28,28,6,12,0
10664,1949,07-09-2013,14,4,35,6,0,9,5,0
5455,1971,22-08-2013,89,0,15,2,1,2,4,0
456,1986,07-02-2013,96,11,5,4,6,2,3,0
5012,1989,04-07-2013,56,4,13,8,0,1,3,0
7495,1948,20-12-2013,72,28,31,16,0,2,5,0
5029,1946,06-08-2013,14,1,2,4,3,0,3,0
10642,1989,30-12-2012,13,4,14,4,4,1,3,0
2106,1974,17-03-2014,99,6,3,7,6,1,3,0
10364,1959,13-07-2013,72,0,1,2,12,1,2,0
5954,1972,09-10-2013,92,14,74,13,5,5,4,0
1137,1964,29-12-2013,87,190,537,61,156,4,7,0
2541,1976,09-06-2013,7,7,11,11,0,2,3,0
1142,1953,22-12-2013,91,7,82,30,66,3,9,0
2276,1955,02-05-2013,71,16,322,43,24,4,11,0
2807,1969,16-02-2013,24,38,161,62,47,8,7,0
6471,1971,17-10-2013,17,2,30,8,2,2,4,0
6131,1980,01-12-2013,87,70,106,72,19,4,8,0
6233,1976,07-09-2012,21,19,364,25,47,9,10,0
4148,1972,20-08-2012,90,24,103,12,3,5,6,0
4947,1966,15-09-2012,44,24,974,197,194,7,9,1
3225,1984,01-04-2013,71,11,72,3,17,4,5,1
7540,1952,25-05-2014,52,15,60,24,23,2,8,0
10648,1982,25-09-2012,78,96,447,220,96,5,6,0
1992,1964,01-01-2014,2,0,257,32,16,2,8,1
7851,1949,22-09-2013,60,0,253,199,191,3,11,0
8594,1958,28-01-2014,25,0,6,2,1,3,3,0
7059,1963,26-06-2014,47,84,398,205,84,3,8,0
2815,1975,24-02-2014,46,5,39,17,15,4,3,0
2416,1969,03-03-2014,83,25,420,16,38,2,9,0
7999,1955,23-04-2013,17,17,413,23,34,5,5,1
9213,1970,31-10-2012,13,1,5,2,0,1,2,0
9697,1951,06-03-2014,86,42,127,28,5,7,8,0
3916,1971,15-08-2012,92,8,166,11,8,7,12,0
2021,1975,27-03-2013,47,76,384,84,192,6,13,0
1581,1980,10-10-2013,18,0,8,2,2,1,2,1
564,1981,04-08-2012,81,8,125,11,8,8,9,1
6619,1978,02-01-2013,91,1,13,4,0,1,3,0
9081,1988,18-05-2014,58,1,6,4,1,1,2,0
178,1956,18-02-2013,40,0,193,110,75,8,11,0
916,1972,09-05-2014,67,3,4,2,0,1,3,0
5512,1977,23-05-2014,19,0,39,0,4,7,8,0
