age,gdr,ch_t,deps,sc_wk_fl,sc_pns,p_inc,agr,target,loan_num_closed,loan_num_total
42.0,1.0,2.0,1.0,2.0,1.0,20000.0,60055920.0,1.0,0.0,1
22.0,1.0,1.0,1.0,2.0,1.0,6000.0,65397741.0,0.0,1.0,1
23.0,1.0,0.0,0.0,2.0,1.0,10000.0,66196937.0,0.0,0.0,1
56.0,1.0,1.0,0.0,2.0,2.0,12000.0,67148981.0,0.0,1.0,1
38.0,1.0,2.0,2.0,2.0,1.0,10000.0,66752118.0,0.0,1.0,1
27.0,1.0,1.0,1.0,2.0,1.0,7000.0,66317701.0,0.0,1.0,1
23.0,1.0,1.0,1.0,2.0,1.0,5000.0,66078149.0,0.0,1.0,1
42.0,1.0,3.0,1.0,2.0,1.0,6500.0,62947539.0,0.0,1.0,1
60.0,0.0,0.0,0.0,2.0,1.0,15000.0,64003495.0,0.0,1.0,1
51.0,1.0,0.0,0.0,2.0,1.0,8500.0,66714923.0,0.0,1.0,1
30.0,0.0,2.0,2.0,2.0,1.0,15000.0,67094368.0,0.0,1.0,1
30.0,1.0,3.0,3.0,2.0,1.0,17000.0,64438881.0,0.0,0.0,1
50.0,1.0,0.0,0.0,2.0,1.0,15000.0,67149101.0,0.0,1.0,1
33.0,1.0,1.0,1.0,1.0,2.0,3500.0,61112942.0,0.0,0.0,1
57.0,1.0,3.0,0.0,1.0,2.0,10000.0,64835166.0,1.0,0.0,1
27.0,0.0,0.0,0.0,2.0,1.0,23000.0,62436593.0,0.0,1.0,1
39.0,0.0,1.0,1.0,2.0,1.0,15000.0,64830914.0,0.0,1.0,1
27.0,0.0,1.0,1.0,2.0,1.0,30000.0,62995882.0,0.0,0.0,1
49.0,0.0,2.0,0.0,2.0,1.0,10000.0,62510426.0,0.0,1.0,1
36.0,1.0,1.0,1.0,2.0,1.0,8000.0,62261070.0,0.0,0.0,1
39.0,1.0,0.0,0.0,2.0,1.0,7000.0,63983591.0,0.0,1.0,1
57.0,1.0,2.0,0.0,1.0,2.0,8000.0,65251440.0,0.0,1.0,1
52.0,1.0,1.0,1.0,2.0,1.0,22000.0,61531571.0,0.0,1.0,1
26.0,0.0,1.0,1.0,2.0,1.0,7500.0,61243024.0,0.0,0.0,1
36.0,1.0,2.0,2.0,2.0,1.0,10000.0,65231255.0,0.0,0.0,1
36.0,0.0,0.0,0.0,2.0,1.0,67000.0,61529492.0,1.0,1.0,1
65.0,1.0,0.0,0.0,2.0,1.0,17000.0,66430154.0,0.0,1.0,1
28.0,1.0,1.0,1.0,2.0,1.0,15000.0,61932120.0,0.0,1.0,1
40.0,1.0,2.0,2.0,2.0,1.0,13000.0,61460472.0,0.0,1.0,1
38.0,1.0,2.0,2.0,2.0,1.0,7000.0,61366140.0,0.0,1.0,1
39.0,1.0,1.0,1.0,2.0,1.0,10000.0,60397606.0,0.0,0.0,1
26.0,0.0,1.0,1.0,2.0,1.0,7000.0,64886053.0,0.0,0.0,1
52.0,1.0,2.0,0.0,2.0,1.0,6000.0,66593143.0,0.0,1.0,1
36.0,0.0,2.0,2.0,2.0,1.0,20000.0,67156622.0,1.0,1.0,1
53.0,1.0,2.0,0.0,2.0,1.0,15000.0,61366543.0,0.0,0.0,1
37.0,1.0,1.0,1.0,2.0,1.0,7000.0,61461068.0,0.0,1.0,1
30.0,0.0,0.0,0.0,2.0,1.0,30000.0,61048437.0,0.0,1.0,1
38.0,1.0,0.0,0.0,2.0,1.0,15000.0,67014336.0,0.0,1.0,1
58.0,0.0,0.0,0.0,2.0,1.0,5000.0,62480230.0,0.0,1.0,1
43.0,1.0,1.0,0.0,2.0,1.0,14000.0,67015402.0,0.0,1.0,1
24.0,1.0,1.0,1.0,2.0,1.0,11000.0,62366294.0,1.0,0.0,1
37.0,1.0,1.0,1.0,2.0,1.0,8000.0,60048087.0,0.0,0.0,1
55.0,1.0,0.0,0.0,2.0,1.0,8000.0,62809164.0,1.0,0.0,1
34.0,1.0,2.0,2.0,2.0,1.0,8000.0,60395343.0,1.0,0.0,1
57.0,1.0,2.0,0.0,2.0,1.0,18000.0,60042352.0,0.0,0.0,1
52.0,1.0,1.0,0.0,2.0,1.0,7000.0,62433780.0,0.0,0.0,1
28.0,1.0,1.0,1.0,2.0,1.0,14000.0,61317005.0,0.0,1.0,1
31.0,0.0,1.0,1.0,2.0,1.0,15000.0,66849191.0,0.0,1.0,1
43.0,1.0,0.0,0.0,2.0,1.0,8000.0,66829433.0,0.0,1.0,1
43.0,1.0,2.0,2.0,2.0,1.0,11500.0,60524413.0,0.0,1.0,1
45.0,1.0,2.0,0.0,2.0,1.0,14000.0,62164953.0,0.0,0.0,1
34.0,1.0,2.0,2.0,2.0,1.0,6400.0,66423529.0,0.0,1.0,1
38.0,0.0,1.0,1.0,1.0,2.0,6000.0,66316667.0,0.0,1.0,1
60.0,0.0,0.0,0.0,1.0,2.0,10000.0,63808690.0,0.0,0.0,1
29.0,1.0,0.0,0.0,2.0,1.0,20000.0,63004278.0,0.0,0.0,1
33.0,0.0,1.0,1.0,2.0,1.0,10000.0,60102867.0,0.0,0.0,1
56.0,1.0,1.0,0.0,2.0,1.0,10000.0,62085211.0,0.0,0.0,1
33.0,0.0,0.0,0.0,2.0,1.0,25000.0,62136123.0,0.0,0.0,1
29.0,0.0,1.0,1.0,2.0,1.0,12000.0,60456409.0,0.0,0.0,2
23.0,1.0,0.0,0.0,2.0,1.0,13000.0,59965990.0,0.0,0.0,1
42.0,1.0,2.0,0.0,2.0,1.0,5900.0,63002016.0,0.0,0.0,1
28.0,0.0,0.0,0.0,2.0,1.0,12000.0,62610510.0,1.0,0.0,1
35.0,1.0,2.0,2.0,2.0,1.0,4300.0,62094012.0,0.0,0.0,1
35.0,1.0,3.0,3.0,2.0,1.0,10300.0,60187456.0,0.0,0.0,1
47.0,1.0,1.0,1.0,2.0,1.0,12000.0,67017889.0,0.0,1.0,1
33.0,1.0,0.0,0.0,2.0,1.0,15000.0,63593859.0,1.0,0.0,1
35.0,0.0,1.0,1.0,2.0,1.0,17000.0,63599338.0,0.0,0.0,1
22.0,1.0,0.0,0.0,2.0,1.0,5000.0,66200566.0,0.0,0.0,1
30.0,1.0,1.0,1.0,2.0,1.0,20000.0,60045495.0,0.0,1.0,1
41.0,0.0,1.0,1.0,2.0,1.0,22000.0,65210085.0,1.0,0.0,1
52.0,1.0,0.0,0.0,2.0,1.0,5000.0,60050202.0,0.0,1.0,1
27.0,0.0,2.0,2.0,2.0,1.0,16000.0,62376762.0,0.0,0.0,1
44.0,1.0,1.0,1.0,2.0,1.0,9000.0,66406945.0,0.0,2.0,2
54.0,1.0,0.0,0.0,2.0,1.0,7000.0,61379850.0,0.0,0.0,1
27.0,1.0,1.0,1.0,2.0,1.0,10000.0,61923837.0,0.0,0.0,1
24.0,0.0,0.0,0.0,2.0,1.0,15000.0,60461743.0,0.0,0.0,1
63.0,1.0,0.0,0.0,1.0,2.0,6000.0,61296016.0,0.0,1.0,1
28.0,0.0,1.0,1.0,2.0,1.0,19000.0,66828304.0,0.0,1.0,1
59.0,1.0,3.0,0.0,1.0,2.0,8000.0,66751362.0,0.0,1.0,1
26.0,1.0,0.0,0.0,2.0,1.0,15000.0,66083735.0,0.0,1.0,1
30.0,0.0,0.0,0.0,2.0,1.0,10000.0,67140009.0,0.0,1.0,1
27.0,1.0,1.0,1.0,2.0,1.0,5000.0,61969845.0,0.0,0.0,1
31.0,0.0,1.0,1.0,2.0,1.0,15000.0,63587446.0,0.0,0.0,1
50.0,1.0,0.0,0.0,2.0,1.0,12000.0,60051250.0,0.0,0.0,1
32.0,1.0,0.0,0.0,2.0,1.0,13000.0,66717026.0,0.0,0.0,1
46.0,1.0,2.0,0.0,2.0,1.0,13000.0,66323223.0,0.0,1.0,1
32.0,0.0,1.0,1.0,2.0,1.0,20000.0,64842766.0,0.0,0.0,1
50.0,1.0,0.0,0.0,2.0,1.0,15000.0,64560450.0,0.0,0.0,1
33.0,0.0,0.0,0.0,2.0,1.0,10000.0,61960535.0,0.0,1.0,1
46.0,1.0,1.0,0.0,2.0,1.0,17000.0,67155051.0,0.0,1.0,1
64.0,1.0,10.0,1.0,1.0,2.0,4200.0,66589572.0,0.0,1.0,1
53.0,0.0,2.0,0.0,2.0,1.0,10000.0,62611069.0,0.0,0.0,1
51.0,1.0,4.0,0.0,2.0,1.0,15000.0,61231068.0,1.0,0.0,1
36.0,0.0,1.0,1.0,2.0,1.0,7000.0,61413833.0,0.0,0.0,1
26.0,1.0,0.0,0.0,2.0,1.0,15000.0,61365570.0,0.0,0.0,1
61.0,1.0,2.0,0.0,2.0,2.0,15000.0,64375368.0,0.0,1.0,1
31.0,1.0,2.0,2.0,2.0,1.0,15000.0,62173125.0,0.0,0.0,1
33.0,0.0,1.0,0.0,2.0,1.0,3000.0,60444542.0,0.0,0.0,1
38.0,1.0,2.0,2.0,2.0,1.0,8000.0,66751835.0,0.0,1.0,1
40.0,1.0,0.0,0.0,2.0,1.0,7000.0,63984626.0,0.0,1.0,1
30.0,0.0,0.0,0.0,2.0,1.0,12000.0,63918287.0,0.0,0.0,1
26.0,0.0,0.0,0.0,2.0,1.0,14000.0,67007678.0,0.0,1.0,1
24.0,0.0,0.0,0.0,2.0,1.0,15000.0,62249688.0,1.0,0.0,1
59.0,1.0,2.0,0.0,2.0,2.0,32640.0,65244343.0,0.0,1.0,1
27.0,1.0,1.0,1.0,2.0,1.0,6000.0,59966861.0,0.0,0.0,1
23.0,0.0,0.0,0.0,2.0,1.0,10000.0,62509607.0,0.0,1.0,1
36.0,1.0,1.0,1.0,2.0,1.0,22500.0,61916735.0,0.0,1.0,1
42.0,1.0,2.0,2.0,2.0,1.0,4500.0,61079617.0,0.0,1.0,1
30.0,1.0,2.0,2.0,2.0,1.0,18000.0,63289419.0,1.0,0.0,1
24.0,0.0,0.0,0.0,2.0,1.0,30000.0,63987951.0,1.0,0.0,1
26.0,0.0,2.0,2.0,2.0,1.0,11000.0,66773509.0,0.0,0.0,1
44.0,0.0,0.0,0.0,2.0,1.0,6000.0,61383273.0,0.0,0.0,1
48.0,1.0,0.0,0.0,2.0,1.0,16000.0,62509724.0,0.0,1.0,1
63.0,0.0,2.0,0.0,2.0,2.0,9400.0,61531773.0,0.0,1.0,1
39.0,1.0,2.0,2.0,2.0,1.0,15000.0,66654753.0,0.0,1.0,1
60.0,1.0,1.0,0.0,1.0,2.0,6000.0,65239883.0,0.0,1.0,1
22.0,1.0,0.0,0.0,2.0,1.0,4400.0,66082968.0,0.0,1.0,1
47.0,1.0,0.0,0.0,2.0,1.0,15000.0,62484819.0,1.0,1.0,1
27.0,1.0,2.0,2.0,2.0,1.0,4300.0,61925188.0,0.0,1.0,1
50.0,0.0,3.0,1.0,2.0,1.0,8000.0,61517587.0,0.0,0.0,1
31.0,1.0,1.0,1.0,2.0,1.0,15000.0,66778384.0,0.0,1.0,1
36.0,1.0,0.0,0.0,2.0,1.0,4000.0,63594443.0,0.0,1.0,1
29.0,0.0,2.0,2.0,2.0,1.0,25000.0,66843175.0,0.0,1.0,1
47.0,1.0,2.0,0.0,2.0,1.0,17000.0,67026306.0,0.0,1.0,1
43.0,1.0,0.0,0.0,2.0,1.0,12000.0,62254887.0,0.0,1.0,1
56.0,0.0,2.0,0.0,2.0,1.0,11000.0,66902323.0,0.0,1.0,1
56.0,0.0,1.0,0.0,2.0,1.0,30000.0,63089278.0,0.0,0.0,1
30.0,0.0,1.0,1.0,2.0,1.0,15000.0,62184501.0,0.0,0.0,1
23.0,1.0,1.0,1.0,2.0,1.0,12000.0,66750660.0,0.0,1.0,1
60.0,1.0,3.0,0.0,1.0,2.0,12000.0,61939120.0,1.0,1.0,1
53.0,0.0,1.0,0.0,2.0,1.0,6700.0,65228838.0,0.0,0.0,1
31.0,0.0,2.0,2.0,2.0,1.0,10000.0,61153830.0,0.0,0.0,1
50.0,1.0,4.0,0.0,2.0,1.0,11500.0,66585885.0,0.0,1.0,1
29.0,0.0,2.0,3.0,2.0,1.0,12000.0,64831685.0,0.0,0.0,1
23.0,0.0,2.0,2.0,2.0,1.0,7000.0,62028961.0,0.0,0.0,1
33.0,1.0,2.0,2.0,2.0,1.0,12000.0,63914749.0,0.0,0.0,1
25.0,1.0,0.0,0.0,2.0,1.0,15000.0,66192719.0,0.0,0.0,1
58.0,1.0,0.0,0.0,2.0,1.0,12000.0,62263947.0,0.0,1.0,1
60.0,0.0,3.0,0.0,1.0,2.0,6000.0,61838047.0,0.0,0.0,1
53.0,1.0,2.0,0.0,2.0,1.0,6200.0,60444860.0,0.0,1.0,1
49.0,1.0,2.0,0.0,2.0,1.0,80000.0,62605077.0,0.0,0.0,1
33.0,1.0,1.0,1.0,2.0,1.0,8000.0,62029263.0,1.0,0.0,1
29.0,0.0,0.0,0.0,2.0,1.0,12000.0,64904753.0,1.0,0.0,1
30.0,0.0,1.0,0.0,2.0,1.0,20000.0,64554755.0,1.0,0.0,1
51.0,1.0,0.0,0.0,2.0,1.0,18000.0,64893120.0,1.0,0.0,1
31.0,1.0,2.0,2.0,2.0,1.0,23000.0,61435848.0,0.0,1.0,1
51.0,1.0,2.0,0.0,2.0,1.0,10000.0,66325262.0,0.0,1.0,1
46.0,0.0,1.0,1.0,2.0,1.0,20000.0,67092151.0,0.0,1.0,1
44.0,1.0,0.0,0.0,2.0,1.0,15000.0,66772729.0,0.0,1.0,1
27.0,0.0,1.0,0.0,2.0,1.0,12000.0,66757529.0,0.0,1.0,1
29.0,1.0,1.0,1.0,2.0,1.0,10000.0,63371511.0,0.0,0.0,1
33.0,1.0,1.0,0.0,2.0,1.0,17600.0,62430501.0,0.0,1.0,1
32.0,0.0,2.0,2.0,2.0,1.0,15000.0,60380140.0,0.0,0.0,2
51.0,1.0,2.0,0.0,2.0,2.0,16000.0,61368287.0,0.0,0.0,1
55.0,0.0,1.0,1.0,2.0,1.0,15000.0,66700322.0,0.0,1.0,1
35.0,1.0,0.0,0.0,2.0,1.0,10000.0,60448999.0,1.0,0.0,1
36.0,1.0,1.0,1.0,2.0,1.0,8000.0,66741258.0,0.0,1.0,1
36.0,1.0,0.0,0.0,2.0,1.0,8000.0,61450803.0,0.0,0.0,1
37.0,1.0,1.0,1.0,2.0,1.0,15000.0,61465924.0,0.0,0.0,1
59.0,0.0,1.0,0.0,2.0,1.0,20000.0,61449583.0,0.0,0.0,1
29.0,0.0,0.0,0.0,1.0,2.0,7000.0,66769054.0,0.0,0.0,1
29.0,1.0,1.0,1.0,2.0,1.0,8000.0,64421733.0,0.0,0.0,1
36.0,0.0,2.0,2.0,2.0,1.0,15000.0,61232962.0,0.0,0.0,1
35.0,0.0,1.0,1.0,2.0,1.0,10000.0,66328907.0,0.0,1.0,1
32.0,1.0,1.0,0.0,2.0,1.0,7000.0,59937564.0,0.0,1.0,1
29.0,1.0,1.0,1.0,2.0,1.0,17000.0,61834520.0,0.0,1.0,1
33.0,1.0,2.0,2.0,2.0,1.0,7000.0,66773331.0,0.0,1.0,1
41.0,1.0,1.0,1.0,2.0,1.0,15000.0,66584822.0,0.0,1.0,1
49.0,1.0,3.0,3.0,2.0,1.0,7000.0,66597558.0,0.0,1.0,1
51.0,1.0,0.0,0.0,2.0,1.0,10000.0,66531091.0,0.0,1.0,1
41.0,0.0,0.0,0.0,2.0,1.0,35000.0,61444509.0,0.0,1.0,1
60.0,1.0,1.0,0.0,2.0,2.0,14000.0,60460453.0,0.0,0.0,1
24.0,1.0,0.0,0.0,2.0,1.0,8000.0,66189693.0,0.0,0.0,1
48.0,0.0,1.0,0.0,2.0,1.0,25000.0,61291167.0,0.0,1.0,1
39.0,0.0,2.0,1.0,2.0,1.0,8000.0,59963728.0,1.0,0.0,1
28.0,1.0,1.0,1.0,2.0,1.0,15000.0,67171988.0,1.0,1.0,1
48.0,1.0,2.0,2.0,2.0,1.0,5500.0,63333001.0,0.0,0.0,1
36.0,1.0,3.0,3.0,2.0,1.0,8000.0,62799248.0,0.0,0.0,1
35.0,1.0,2.0,2.0,2.0,1.0,5000.0,66744929.0,0.0,1.0,1
45.0,1.0,0.0,0.0,2.0,1.0,5800.0,62086196.0,0.0,0.0,1
40.0,0.0,4.0,4.0,2.0,1.0,10000.0,61235425.0,0.0,0.0,1
23.0,1.0,0.0,0.0,2.0,1.0,25000.0,66699839.0,0.0,0.0,1
31.0,1.0,2.0,2.0,2.0,1.0,15000.0,64420593.0,0.0,0.0,1
61.0,1.0,0.0,0.0,1.0,2.0,5000.0,63907021.0,0.0,0.0,1
27.0,1.0,0.0,0.0,2.0,1.0,11000.0,61428008.0,0.0,1.0,1
27.0,0.0,2.0,2.0,2.0,1.0,50000.0,66758186.0,0.0,1.0,1
47.0,1.0,1.0,0.0,2.0,1.0,7100.0,66591984.0,0.0,1.0,1
27.0,0.0,0.0,0.0,2.0,1.0,6000.0,62481677.0,0.0,1.0,1
24.0,0.0,0.0,0.0,2.0,1.0,7500.0,61225269.0,1.0,0.0,1
30.0,1.0,2.0,2.0,2.0,1.0,10000.0,66919638.0,0.0,0.0,1
37.0,1.0,0.0,0.0,2.0,1.0,7000.0,61420978.0,0.0,1.0,1
59.0,0.0,0.0,0.0,2.0,2.0,18000.0,66919737.0,0.0,0.0,1
64.0,1.0,0.0,1.0,1.0,2.0,10000.0,64584580.0,0.0,1.0,1
44.0,1.0,0.0,0.0,2.0,1.0,8000.0,64557741.0,0.0,0.0,1
62.0,1.0,2.0,0.0,1.0,2.0,7000.0,64826031.0,0.0,0.0,1
39.0,1.0,2.0,2.0,2.0,1.0,20000.0,64348272.0,0.0,1.0,1
35.0,1.0,3.0,3.0,2.0,1.0,9000.0,67027262.0,0.0,1.0,1
54.0,1.0,2.0,0.0,2.0,1.0,8000.0,62384290.0,1.0,0.0,1
34.0,1.0,2.0,2.0,2.0,1.0,20000.0,61315703.0,0.0,1.0,1
31.0,1.0,0.0,0.0,2.0,1.0,18000.0,61352983.0,0.0,0.0,1
39.0,1.0,2.0,1.0,2.0,1.0,11000.0,64891518.0,0.0,0.0,1
24.0,0.0,0.0,0.0,2.0,1.0,25000.0,62595307.0,1.0,1.0,1
48.0,1.0,2.0,0.0,2.0,1.0,22000.0,66848810.0,0.0,1.0,1
61.0,0.0,0.0,0.0,1.0,2.0,8000.0,62780477.0,0.0,1.0,1
30.0,1.0,2.0,2.0,2.0,1.0,20000.0,61965719.0,0.0,0.0,1
43.0,1.0,3.0,0.0,2.0,1.0,10000.0,65200569.0,0.0,0.0,1
40.0,0.0,2.0,2.0,2.0,1.0,16500.0,62252372.0,0.0,1.0,1
22.0,1.0,0.0,0.0,2.0,1.0,16000.0,65501504.0,0.0,1.0,1
44.0,1.0,4.0,4.0,2.0,1.0,18000.0,64340264.0,0.0,0.0,1
47.0,1.0,3.0,1.0,2.0,1.0,6000.0,60382748.0,0.0,0.0,1
51.0,0.0,1.0,0.0,2.0,1.0,9000.0,62996576.0,0.0,0.0,1
30.0,0.0,0.0,0.0,2.0,1.0,33000.0,67018297.0,0.0,1.0,1
63.0,1.0,1.0,0.0,1.0,2.0,7000.0,62089305.0,0.0,0.0,1
27.0,0.0,2.0,2.0,2.0,1.0,6500.0,61306799.0,0.0,0.0,1
30.0,1.0,1.0,0.0,2.0,1.0,13000.0,60396202.0,0.0,0.0,1
53.0,0.0,0.0,0.0,2.0,1.0,6500.0,61440770.0,0.0,1.0,1
39.0,1.0,1.0,1.0,2.0,1.0,15000.0,66846461.0,0.0,1.0,1
55.0,1.0,2.0,0.0,1.0,2.0,7700.0,66529723.0,0.0,1.0,1
28.0,0.0,1.0,1.0,2.0,1.0,9500.0,66846059.0,0.0,1.0,1
32.0,1.0,0.0,0.0,2.0,1.0,14000.0,61241015.0,0.0,0.0,1
46.0,1.0,2.0,0.0,2.0,2.0,8000.0,66772992.0,0.0,1.0,1
65.0,1.0,2.0,0.0,1.0,2.0,11000.0,66654350.0,0.0,1.0,1
46.0,1.0,1.0,0.0,2.0,1.0,18000.0,64431401.0,1.0,0.0,1
53.0,1.0,2.0,0.0,2.0,1.0,10000.0,66656867.0,0.0,1.0,1
53.0,1.0,2.0,0.0,2.0,1.0,9000.0,61840734.0,0.0,0.0,1
58.0,1.0,0.0,0.0,2.0,2.0,14000.0,66587144.0,0.0,1.0,1
27.0,0.0,0.0,0.0,2.0,1.0,35000.0,61924313.0,1.0,1.0,1
57.0,1.0,0.0,0.0,2.0,2.0,9000.0,67174957.0,0.0,1.0,1
63.0,1.0,0.0,0.0,1.0,2.0,11000.0,61955750.0,0.0,0.0,1
40.0,1.0,0.0,0.0,2.0,1.0,16000.0,66654465.0,0.0,1.0,1
52.0,1.0,1.0,0.0,2.0,1.0,3500.0,62256345.0,0.0,1.0,1
41.0,0.0,1.0,0.0,2.0,1.0,40000.0,61116139.0,1.0,1.0,1
27.0,1.0,1.0,1.0,2.0,1.0,12000.0,66968607.0,1.0,0.0,1
27.0,1.0,1.0,1.0,2.0,1.0,17500.0,62084764.0,0.0,0.0,1
36.0,0.0,3.0,3.0,2.0,1.0,12500.0,62260375.0,0.0,0.0,1
56.0,1.0,3.0,0.0,2.0,1.0,10000.0,61441181.0,1.0,1.0,1
46.0,0.0,2.0,1.0,2.0,1.0,30000.0,66908488.0,1.0,0.0,1
32.0,0.0,0.0,0.0,2.0,1.0,11000.0,62604500.0,0.0,0.0,1
34.0,0.0,1.0,1.0,2.0,1.0,12000.0,66520482.0,0.0,1.0,1
63.0,1.0,0.0,0.0,1.0,2.0,8500.0,62239334.0,0.0,1.0,1
48.0,1.0,2.0,0.0,2.0,1.0,7000.0,60040178.0,0.0,0.0,1
38.0,1.0,1.0,1.0,2.0,1.0,23000.0,62251140.0,0.0,0.0,1
53.0,1.0,3.0,0.0,1.0,2.0,7000.0,66781299.0,0.0,0.0,1
37.0,1.0,1.0,0.0,2.0,1.0,50000.0,61143271.0,0.0,0.0,1
40.0,1.0,2.0,0.0,2.0,1.0,25000.0,60456876.0,1.0,0.0,1
53.0,1.0,2.0,0.0,2.0,1.0,14000.0,61520810.0,0.0,0.0,1
25.0,0.0,0.0,0.0,2.0,1.0,20000.0,60112389.0,0.0,0.0,2
54.0,1.0,0.0,0.0,1.0,2.0,5000.0,61249853.0,0.0,1.0,1
54.0,1.0,2.0,0.0,2.0,1.0,12000.0,66433683.0,0.0,1.0,1
44.0,0.0,1.0,1.0,2.0,1.0,10000.0,67029022.0,0.0,1.0,1
34.0,0.0,1.0,1.0,2.0,1.0,25000.0,63008103.0,1.0,0.0,1
42.0,1.0,1.0,1.0,2.0,1.0,10000.0,59914133.0,0.0,1.0,1
25.0,1.0,0.0,0.0,2.0,1.0,15000.0,65395526.0,0.0,1.0,1
28.0,1.0,1.0,1.0,2.0,1.0,14000.0,62942735.0,0.0,1.0,1
32.0,1.0,1.0,1.0,2.0,1.0,9000.0,66921594.0,0.0,0.0,1
37.0,1.0,1.0,1.0,2.0,1.0,8000.0,66427847.0,0.0,1.0,1
55.0,1.0,3.0,0.0,2.0,1.0,16000.0,61364576.0,0.0,0.0,1
45.0,0.0,2.0,2.0,2.0,1.0,16000.0,66668908.0,0.0,1.0,1
50.0,1.0,2.0,0.0,2.0,1.0,10000.0,66429170.0,0.0,1.0,1
34.0,1.0,1.0,1.0,2.0,1.0,8500.0,62028923.0,0.0,0.0,1
28.0,1.0,2.0,2.0,2.0,1.0,10000.0,64361931.0,1.0,0.0,1
