,id,age,gender,education,marital_status,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,reg_address_province,fact_address_province,postal_address_province,fl_presence_fl,own_auto
13,106811087.0,37.0,1.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Московская область,Московская область,Московская область,0.0,0.0
14,106809086.0,52.0,1.0,Среднее специальное,Вдовец/Вдова,3.0,0.0,1.0,2.0,Бурятия,Бурятия,Бурятия,1.0,0.0
15,106818497.0,46.0,1.0,Среднее,Не состоял в браке,2.0,0.0,2.0,1.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
16,106805396.0,28.0,1.0,Среднее,Не состоял в браке,1.0,1.0,2.0,1.0,Мурманская область,Мурманская область,Мурманская область,0.0,0.0
17,106810469.0,62.0,1.0,Неполное среднее,Не состоял в браке,0.0,0.0,1.0,2.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
18,106807246.0,50.0,0.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Красноярский край,Красноярский край,Красноярский край,1.0,1.0
19,106809151.0,30.0,1.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Бурятия,Бурятия,Бурятия,0.0,0.0
20,106806814.0,64.0,0.0,Высшее,Не состоял в браке,0.0,0.0,1.0,2.0,Ставропольский край,Ставропольский край,Ставропольский край,1.0,0.0
21,106809097.0,41.0,1.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Оренбургская область,Оренбургская область,Оренбургская область,0.0,0.0
22,106811950.0,27.0,1.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
23,106805618.0,41.0,1.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Тверская область,Тверская область,Тверская область,0.0,0.0
24,106819249.0,30.0,1.0,Высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Ростовская область,Ростовская область,Ростовская область,0.0,1.0
25,106818810.0,61.0,1.0,Среднее специальное,Состою в браке,2.0,0.0,2.0,2.0,Хабаровский край,Хабаровский край,Хабаровский край,0.0,1.0
26,106816627.0,38.0,1.0,Среднее,Состою в браке,0.0,1.0,2.0,1.0,Приморский край,Приморский край,Приморский край,0.0,0.0
27,106813813.0,51.0,1.0,Среднее,Гражданский брак,0.0,0.0,2.0,1.0,Тюменская область,Тюменская область,Тюменская область,0.0,0.0
28,106810992.0,58.0,0.0,Среднее,Состою в браке,2.0,0.0,1.0,2.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
29,106804376.0,35.0,0.0,Высшее,Разведен(а),1.0,1.0,2.0,1.0,Вологодская область,Вологодская область,Вологодская область,1.0,0.0
30,106814732.0,45.0,0.0,Среднее,Состою в браке,2.0,1.0,2.0,1.0,Хакасия,Хакасия,Хакасия,1.0,0.0
31,106813352.0,25.0,1.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Тамбовская область,Тамбовская область,Тамбовская область,1.0,0.0
32,106808812.0,62.0,1.0,Среднее специальное,Состою в браке,2.0,0.0,2.0,2.0,Челябинская область,Челябинская область,Челябинская область,1.0,0.0
33,106808912.0,30.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Хакасия,Хакасия,Хакасия,0.0,1.0
34,106807419.0,56.0,1.0,Неполное среднее,Состою в браке,3.0,0.0,2.0,2.0,Пермская область,Пермская область,Пермская область,1.0,0.0
35,106809982.0,55.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Татарстан,Татарстан,Татарстан,0.0,0.0
36,106820101.0,33.0,1.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,0.0,0.0
37,106810124.0,36.0,1.0,Среднее,Не состоял в браке,1.0,1.0,2.0,1.0,Хабаровский край,Хабаровский край,Хабаровский край,1.0,0.0
38,106810291.0,55.0,1.0,Высшее,Состою в браке,2.0,0.0,2.0,1.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
39,106806782.0,29.0,0.0,Среднее,Не состоял в браке,1.0,1.0,2.0,1.0,Карелия,Карелия,Карелия,0.0,0.0
40,106811473.0,32.0,0.0,Среднее специальное,Состою в браке,2.0,1.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,0.0,1.0
41,106815597.0,36.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Костромская область,Костромская область,Костромская область,0.0,1.0
42,106806966.0,27.0,0.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Саратовская область,Саратовская область,Саратовская область,1.0,0.0
43,106807263.0,41.0,0.0,Среднее специальное,Состою в браке,3.0,2.0,2.0,1.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
44,106816932.0,54.0,1.0,Среднее,Вдовец/Вдова,2.0,0.0,1.0,2.0,Тюменская область,Тюменская область,Тюменская область,0.0,0.0
45,106805731.0,52.0,0.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Ленинградская область,Ленинградская область,Ленинградская область,1.0,0.0
46,106815450.0,28.0,1.0,Среднее специальное,Разведен(а),1.0,1.0,2.0,1.0,Архангельская область,Архангельская область,Архангельская область,0.0,0.0
47,106815247.0,26.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Пензенская область,Пензенская область,Пензенская область,0.0,0.0
48,106808385.0,27.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Курская область,Курская область,Курская область,1.0,0.0
49,106812479.0,28.0,0.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Читинская область,Читинская область,Читинская область,0.0,0.0
50,106806694.0,25.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Ивановская область,Ивановская область,Ивановская область,1.0,0.0
51,106817240.0,39.0,1.0,Среднее,Состою в браке,2.0,2.0,2.0,1.0,Чувашия,Чувашия,Чувашия,0.0,0.0
52,106814406.0,64.0,1.0,Высшее,Вдовец/Вдова,0.0,0.0,2.0,1.0,Хабаровский край,Хабаровский край,Хабаровский край,1.0,0.0
53,106811422.0,43.0,0.0,Неполное среднее,Состою в браке,1.0,1.0,2.0,1.0,Амурская область,Амурская область,Амурская область,0.0,0.0
54,106813026.0,44.0,0.0,Среднее специальное,Гражданский брак,0.0,0.0,2.0,1.0,Хабаровский край,Хабаровский край,Хабаровский край,1.0,0.0
55,106811785.0,34.0,1.0,Высшее,Состою в браке,2.0,2.0,2.0,1.0,Курганская область,Курганская область,Курганская область,0.0,0.0
56,106814631.0,34.0,1.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,1.0,0.0
57,106808319.0,51.0,1.0,Неоконченное высшее,Не состоял в браке,1.0,0.0,2.0,1.0,Алтайский край,Алтайский край,Алтайский край,0.0,0.0
58,106819444.0,40.0,0.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Удмуртия,Удмуртия,Удмуртия,0.0,0.0
59,106808888.0,27.0,0.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Оренбургская область,Оренбургская область,Оренбургская область,0.0,1.0
60,106804549.0,29.0,0.0,Высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Вологодская область,Вологодская область,Вологодская область,0.0,0.0
61,106805096.0,42.0,1.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Алтайский край,Алтайский край,Алтайский край,0.0,0.0
62,106809603.0,50.0,1.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Курганская область,Курганская область,Курганская область,0.0,0.0
63,106804668.0,26.0,0.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Курганская область,Курганская область,Курганская область,0.0,0.0
64,106806709.0,22.0,0.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Читинская область,Читинская область,Читинская область,0.0,1.0
65,106809344.0,57.0,0.0,Высшее,Состою в браке,2.0,1.0,2.0,2.0,Московская область,Московская область,Московская область,1.0,1.0
66,106810377.0,50.0,1.0,Среднее специальное,Вдовец/Вдова,0.0,0.0,2.0,1.0,Пермская область,Пермская область,Пермская область,1.0,0.0
67,106807392.0,35.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Татарстан,Татарстан,Татарстан,1.0,0.0
68,106814845.0,55.0,1.0,Среднее,Не состоял в браке,1.0,0.0,2.0,2.0,Бурятия,Бурятия,Бурятия,0.0,0.0
69,106814457.0,34.0,0.0,Высшее,Состою в браке,0.0,1.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,1.0
70,106809251.0,28.0,0.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Алтайский край,Алтайский край,Алтайский край,1.0,0.0
71,106819240.0,27.0,1.0,Высшее,Разведен(а),2.0,2.0,2.0,1.0,Коми,Коми,Коми,1.0,0.0
72,106810072.0,59.0,0.0,Неполное среднее,Состою в браке,3.0,0.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,0.0,0.0
73,106814933.0,47.0,1.0,Высшее,Не состоял в браке,1.0,0.0,2.0,1.0,Тульская область,Тульская область,Тульская область,1.0,0.0
74,106814139.0,41.0,1.0,Среднее,Разведен(а),2.0,2.0,2.0,1.0,Свердловская область,Свердловская область,Свердловская область,1.0,0.0
75,106814227.0,36.0,1.0,Среднее,Разведен(а),0.0,0.0,2.0,1.0,Псковская область,Псковская область,Псковская область,0.0,0.0
76,106807660.0,55.0,0.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
77,106808013.0,52.0,0.0,Среднее специальное,Не состоял в браке,1.0,0.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,1.0,0.0
78,106819134.0,46.0,0.0,Высшее,Состою в браке,2.0,0.0,2.0,1.0,Иркутская область,Иркутская область,Иркутская область,0.0,0.0
79,106804736.0,23.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Саратовская область,Саратовская область,Саратовская область,0.0,0.0
80,106816512.0,23.0,1.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Пензенская область,Пензенская область,Пензенская область,0.0,0.0
81,106812357.0,40.0,1.0,Высшее,Не состоял в браке,1.0,1.0,2.0,1.0,Пермская область,Пермская область,Пермская область,0.0,0.0
82,106806593.0,36.0,1.0,Среднее специальное,Разведен(а),3.0,3.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
83,106811597.0,23.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Белгородская область,Белгородская область,Белгородская область,0.0,0.0
84,106808617.0,40.0,1.0,Высшее,Состою в браке,1.0,0.0,2.0,1.0,Коми,Коми,Коми,0.0,1.0
85,106814760.0,61.0,0.0,Среднее,Вдовец/Вдова,0.0,0.0,1.0,2.0,Тульская область,Тульская область,Тульская область,1.0,0.0
86,106812381.0,48.0,0.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Орловская область,Орловская область,Орловская область,0.0,0.0
87,106807036.0,52.0,1.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Волгоградская область,Волгоградская область,Волгоградская область,0.0,0.0
88,106810826.0,41.0,0.0,Высшее,Состою в браке,1.0,1.0,2.0,1.0,Смоленская область,Смоленская область,Смоленская область,1.0,0.0
89,106816112.0,44.0,1.0,Среднее,Не состоял в браке,2.0,1.0,2.0,1.0,Рязанская область,Рязанская область,Рязанская область,1.0,1.0
90,106819731.0,58.0,1.0,Среднее специальное,Состою в браке,2.0,0.0,1.0,2.0,Алтайский край,Алтайский край,Алтайский край,0.0,0.0
91,106810415.0,36.0,1.0,Среднее специальное,Состою в браке,3.0,3.0,2.0,1.0,Липецкая область,Липецкая область,Липецкая область,0.0,0.0
92,106810352.0,42.0,0.0,Среднее специальное,Состою в браке,3.0,2.0,2.0,1.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
93,106806638.0,22.0,1.0,Среднее специальное,Состою в браке,0.0,1.0,2.0,1.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
94,106805151.0,49.0,1.0,Среднее специальное,Состою в браке,2.0,0.0,2.0,1.0,Калужская область,Калужская область,Калужская область,1.0,0.0
95,106820056.0,34.0,1.0,Высшее,Состою в браке,2.0,2.0,2.0,1.0,Читинская область,Читинская область,Читинская область,0.0,0.0
96,106810466.0,39.0,1.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Пензенская область,Пензенская область,Пензенская область,0.0,0.0
97,106806423.0,41.0,0.0,Среднее специальное,Не состоял в браке,1.0,1.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,1.0,0.0
98,106817975.0,63.0,1.0,Среднее,Разведен(а),2.0,0.0,1.0,2.0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0.0,0.0
99,106808611.0,33.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Вологодская область,Вологодская область,Вологодская область,1.0,0.0
100,106805994.0,38.0,0.0,Высшее,Состою в браке,1.0,1.0,2.0,1.0,Карелия,Карелия,Карелия,0.0,0.0
101,106817206.0,29.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Новосибирская область,Новосибирская область,Новосибирская область,0.0,0.0
102,106817423.0,49.0,1.0,Среднее,Вдовец/Вдова,1.0,1.0,2.0,1.0,Пермская область,Пермская область,Пермская область,1.0,0.0
103,106807204.0,50.0,1.0,Среднее специальное,Состою в браке,2.0,0.0,2.0,1.0,Татарстан,Татарстан,Татарстан,1.0,0.0
104,106804641.0,48.0,0.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Белгородская область,Белгородская область,Белгородская область,0.0,0.0
105,106812737.0,42.0,1.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Вологодская область,Вологодская область,Вологодская область,0.0,0.0
106,106812468.0,39.0,0.0,Высшее,Состою в браке,1.0,1.0,2.0,1.0,Калужская область,Калужская область,Калужская область,0.0,0.0
107,106814189.0,61.0,1.0,Высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
108,106805078.0,42.0,1.0,Среднее,Вдовец/Вдова,2.0,2.0,2.0,1.0,Псковская область,Псковская область,Псковская область,0.0,0.0
109,106813497.0,23.0,1.0,Высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
110,106818121.0,28.0,1.0,Высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Читинская область,Читинская область,Читинская область,0.0,0.0
111,106812203.0,56.0,1.0,Высшее,Вдовец/Вдова,0.0,0.0,2.0,2.0,Хабаровский край,Хабаровский край,Хабаровский край,0.0,0.0
112,106814506.0,28.0,1.0,Высшее,Состою в браке,1.0,1.0,2.0,1.0,Удмуртия,Удмуртия,Удмуртия,0.0,0.0
113,106806141.0,27.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Самарская область,Самарская область,Самарская область,0.0,0.0
114,106818400.0,46.0,1.0,Среднее,Не состоял в браке,1.0,0.0,2.0,1.0,Костромская область,Костромская область,Костромская область,0.0,0.0
115,106813016.0,38.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Калужская область,Калужская область,Калужская область,1.0,0.0
116,106812663.0,35.0,1.0,Среднее,Состою в браке,2.0,2.0,2.0,1.0,Татарстан,Татарстан,Татарстан,1.0,0.0
117,106816718.0,37.0,1.0,Высшее,Состою в браке,1.0,1.0,2.0,1.0,Тверская область,Тверская область,Тверская область,0.0,1.0
118,106819222.0,49.0,0.0,Среднее,Состою в браке,2.0,1.0,2.0,1.0,Тамбовская область,Тамбовская область,Тамбовская область,0.0,0.0
119,106818069.0,37.0,0.0,Среднее,Состою в браке,3.0,3.0,2.0,1.0,Орловская область,Орловская область,Орловская область,0.0,1.0
120,106805000.0,36.0,1.0,Среднее специальное,Разведен(а),2.0,2.0,2.0,1.0,Самарская область,Самарская область,Самарская область,1.0,0.0
121,106820194.0,45.0,0.0,Высшее,Состою в браке,0.0,0.0,2.0,1.0,Волгоградская область,Волгоградская область,Волгоградская область,0.0,0.0
122,106805886.0,51.0,0.0,Среднее специальное,Не состоял в браке,2.0,0.0,2.0,1.0,Челябинская область,Челябинская область,Челябинская область,0.0,0.0
123,106817456.0,47.0,1.0,Высшее,Состою в браке,0.0,0.0,2.0,1.0,Омская область,Омская область,Омская область,0.0,0.0
124,106819251.0,46.0,1.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
125,106810057.0,28.0,1.0,Высшее,Разведен(а),1.0,1.0,2.0,1.0,Волгоградская область,Волгоградская область,Волгоградская область,1.0,0.0
126,106805706.0,53.0,1.0,Высшее,Не состоял в браке,2.0,0.0,2.0,1.0,Приморский край,Приморский край,Приморский край,1.0,0.0
127,106814104.0,26.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Пензенская область,Пензенская область,Пензенская область,1.0,0.0
128,106820112.0,34.0,1.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,1.0,0.0
129,106814865.0,61.0,0.0,Высшее,Состою в браке,4.0,0.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
130,106805710.0,48.0,1.0,Среднее,Состою в браке,2.0,0.0,2.0,1.0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0.0,0.0
131,106806150.0,30.0,1.0,Среднее специальное,Не состоял в браке,1.0,1.0,2.0,1.0,Свердловская область,Свердловская область,Свердловская область,0.0,0.0
132,106812901.0,22.0,0.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Московская область,Московская область,Московская область,0.0,1.0
133,106806620.0,53.0,1.0,Высшее,Состою в браке,2.0,0.0,2.0,1.0,Тамбовская область,Тамбовская область,Тамбовская область,1.0,0.0
134,106806921.0,56.0,1.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Брянская область,Брянская область,Брянская область,0.0,0.0
135,106810642.0,54.0,0.0,Среднее,Гражданский брак,2.0,0.0,2.0,1.0,Омская область,Омская область,Омская область,0.0,1.0
136,106816522.0,40.0,0.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Чувашия,Чувашия,Чувашия,0.0,0.0
137,106816762.0,56.0,0.0,Среднее специальное,Состою в браке,1.0,0.0,1.0,2.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
138,106806936.0,46.0,1.0,Высшее,Состою в браке,0.0,0.0,2.0,1.0,Приморский край,Приморский край,Приморский край,1.0,0.0
139,106806424.0,52.0,1.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0.0,0.0
140,106809188.0,32.0,0.0,Среднее,Состою в браке,2.0,2.0,2.0,1.0,Смоленская область,Смоленская область,Смоленская область,0.0,0.0
141,106812564.0,59.0,0.0,Высшее,Состою в браке,1.0,0.0,1.0,2.0,Костромская область,Костромская область,Костромская область,1.0,0.0
142,106816934.0,35.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,1.0,0.0
143,106819634.0,57.0,1.0,Среднее специальное,Вдовец/Вдова,0.0,0.0,1.0,2.0,Кемеровская область,Кемеровская область,Кемеровская область,0.0,0.0
144,106806610.0,26.0,0.0,Неоконченное высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Татарстан,Татарстан,Татарстан,0.0,0.0
145,106817951.0,39.0,0.0,Среднее специальное,Гражданский брак,1.0,1.0,2.0,1.0,Красноярский край,Красноярский край,Красноярский край,0.0,0.0
146,106819061.0,40.0,1.0,Среднее,Состою в браке,3.0,2.0,2.0,1.0,Орловская область,Орловская область,Орловская область,1.0,0.0
147,106804671.0,57.0,0.0,Среднее,Состою в браке,3.0,0.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,1.0
148,106814172.0,60.0,1.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Калининградская область,Калининградская область,Калининградская область,1.0,0.0
149,106815073.0,45.0,1.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
150,106811912.0,40.0,0.0,Неоконченное высшее,Состою в браке,2.0,2.0,2.0,1.0,Якутия,Якутия,Якутия,0.0,0.0
151,106810012.0,38.0,0.0,Высшее,Состою в браке,1.0,0.0,2.0,1.0,Саратовская область,Саратовская область,Саратовская область,0.0,0.0
152,106807427.0,22.0,0.0,Неоконченное высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Новосибирская область,Новосибирская область,Новосибирская область,0.0,1.0
153,106816469.0,49.0,0.0,Среднее,Состою в браке,3.0,0.0,2.0,1.0,Рязанская область,Рязанская область,Рязанская область,1.0,0.0
154,106811299.0,53.0,1.0,Среднее,Гражданский брак,1.0,0.0,1.0,2.0,Тульская область,Тульская область,Тульская область,1.0,0.0
155,106819639.0,43.0,1.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Свердловская область,Свердловская область,Свердловская область,0.0,0.0
156,106815334.0,40.0,1.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Ростовская область,Ростовская область,Ростовская область,0.0,0.0
157,106814297.0,57.0,0.0,Среднее,Состою в браке,3.0,0.0,2.0,1.0,Омская область,Омская область,Омская область,1.0,1.0
158,106811711.0,34.0,0.0,Высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Приморский край,Приморский край,Приморский край,0.0,0.0
159,106811459.0,56.0,1.0,Среднее,Разведен(а),1.0,0.0,2.0,2.0,Саратовская область,Саратовская область,Саратовская область,1.0,0.0
160,106812144.0,32.0,1.0,Среднее специальное,Состою в браке,2.0,2.0,2.0,1.0,Кемеровская область,Кемеровская область,Кемеровская область,0.0,0.0
161,106817687.0,23.0,1.0,Неоконченное высшее,Не состоял в браке,0.0,0.0,2.0,1.0,Приморский край,Приморский край,Приморский край,0.0,0.0
162,106816836.0,54.0,1.0,Среднее специальное,Не состоял в браке,0.0,0.0,1.0,2.0,Челябинская область,Челябинская область,Челябинская область,1.0,0.0
163,106811316.0,33.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Пензенская область,Пензенская область,Пензенская область,0.0,0.0
164,106815752.0,33.0,0.0,Среднее,Состою в браке,1.0,2.0,2.0,1.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
165,106807891.0,23.0,0.0,Среднее специальное,Не состоял в браке,0.0,0.0,2.0,1.0,Ярославская область,Ярославская область,Ярославская область,0.0,0.0
166,106811188.0,34.0,0.0,Высшее,Состою в браке,1.0,1.0,2.0,1.0,Башкирия,Башкирия,Башкирия,1.0,1.0
167,106811365.0,64.0,1.0,Среднее специальное,Не состоял в браке,2.0,0.0,1.0,2.0,Читинская область,Читинская область,Читинская область,0.0,0.0
168,106814610.0,37.0,1.0,Высшее,Состою в браке,2.0,2.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
169,106808509.0,44.0,1.0,Среднее специальное,Состою в браке,3.0,0.0,2.0,1.0,Бурятия,Бурятия,Бурятия,0.0,0.0
170,106814770.0,26.0,0.0,Среднее,Состою в браке,1.0,1.0,2.0,1.0,Свердловская область,Свердловская область,Свердловская область,0.0,0.0
171,106816257.0,43.0,1.0,Среднее специальное,Разведен(а),2.0,2.0,2.0,1.0,Краснодарский край,Краснодарский край,Краснодарский край,0.0,0.0
172,106807162.0,49.0,1.0,Среднее специальное,Состою в браке,1.0,0.0,2.0,1.0,Мурманская область,Мурманская область,Мурманская область,1.0,0.0
173,106819893.0,24.0,0.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Омская область,Приморский край,Приморский край,0.0,0.0
174,106809388.0,44.0,1.0,Среднее специальное,Разведен(а),1.0,0.0,2.0,1.0,Ивановская область,Ивановская область,Ивановская область,0.0,0.0
175,106810894.0,60.0,1.0,Среднее специальное,Состою в браке,0.0,0.0,2.0,1.0,Московская область,Московская область,Московская область,0.0,0.0
176,106819572.0,34.0,1.0,Среднее специальное,Состою в браке,1.0,1.0,2.0,1.0,Свердловская область,Свердловская область,Свердловская область,0.0,0.0
177,106820119.0,35.0,0.0,Среднее,Состою в браке,0.0,0.0,2.0,1.0,Ямало-Ненецкий АО,Ямало-Ненецкий АО,Ямало-Ненецкий АО,1.0,0.0
178,106811545.0,53.0,1.0,Среднее специальное,Вдовец/Вдова,0.0,0.0,2.0,1.0,Ставропольский край,Ставропольский край,Ставропольский край,0.0,0.0
179,106818441.0,56.0,1.0,Среднее,Разведен(а),3.0,0.0,2.0,1.0,Вологодская область,Вологодская область,Вологодская область,1.0,0.0
180,106811966.0,49.0,1.0,Среднее специальное,Состою в браке,2.0,1.0,2.0,1.0,Воронежская область,Воронежская область,Воронежская область,0.0,0.0
181,106804872.0,49.0,1.0,Среднее специальное,Разведен(а),0.0,0.0,2.0,1.0,Тюменская область,Тюменская область,Тюменская область,0.0,0.0
182,106808107.0,34.0,1.0,Среднее специальное,Вдовец/Вдова,2.0,1.0,1.0,2.0,Пермская область,Пермская область,Пермская область,0.0,0.0
183,106814604.0,41.0,1.0,Среднее специальное,Состою в браке,4.0,2.0,2.0,1.0,Свердловская область,Свердловская область,Свердловская область,0.0,1.0
184,106813879.0,26.0,1.0,Высшее,Состою в браке,0.0,0.0,2.0,1.0,Горный Алтай,Горный Алтай,Горный Алтай,0.0,0.0
