gen_industry,gen_title,job_dir,work_time,id_client
Торговля,Рабочий,Участие в основ. деятельности,5.0,106804611.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,480.0,106804612.0
Торговля,Руководитель высшего звена,Участие в основ. деятельности,36.0,106804613.0
Торговля,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,106804614.0
Образование,Рабочий,Участие в основ. деятельности,228.0,106804615.0
Другие сферы,Рабочий,Участие в основ. деятельности,204.0,106804616.0
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,97.0,106804617.0
Торговля,Рабочий,Участие в основ. деятельности,144.0,106804618.0
Образование,Рабочий,Участие в основ. деятельности,120.0,106804619.0
Химия/Парфюмерия/Фармацевтика,Рабочий,Участие в основ. деятельности,192.0,106804620.0
Торговля,Руководитель высшего звена,Участие в основ. деятельности,24.0,106804621.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,106804622.0
Другие сферы,Специалист,Участие в основ. деятельности,8.0,106804623.0
Другие сферы,Рабочий,Участие в основ. деятельности,156.0,106804624.0
Сборочные производства,Специалист,Вспомогательный техперсонал,144.0,106804625.0
Торговля,Служащий,Участие в основ. деятельности,13.0,106804626.0
Ресторанный бизнес/Общественное питание,Специалист,Вспомогательный техперсонал,84.0,106804627.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,132.0,106804628.0
Здравоохранение,Высококвалифиц. специалист,Участие в основ. деятельности,26.0,106804629.0
Государственная служба,Специалист,Участие в основ. деятельности,60.0,106804630.0
Сельское хозяйство,Индивидуальный предприниматель,Участие в основ. деятельности,96.0,106804631.0
Другие сферы,Специалист,"Бухгалтерия, финансы, планир.",60.0,106804632.0
,,,,106804633.0
,,,,106804634.0
Энергетика,Специалист,Участие в основ. деятельности,12.0,106804635.0
Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,42.0,106804636.0
,,,,106804637.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,8.0,106804638.0
Транспорт,Специалист,Участие в основ. деятельности,396.0,106804640.0
Сельское хозяйство,Специалист,Участие в основ. деятельности,3.0,106804641.0
Другие сферы,Рабочий,Участие в основ. деятельности,252.0,106804642.0
,,,,106804643.0
,,,,106804644.0
Развлечения/Искусство,Руководитель низшего звена,Участие в основ. деятельности,60.0,106804645.0
Энергетика,Руководитель высшего звена,Участие в основ. деятельности,36.0,106804646.0
,,,,106804647.0
Здравоохранение,Специалист,Участие в основ. деятельности,2.0,106804648.0
Туризм,Рабочий,Участие в основ. деятельности,1.0,106804649.0
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,4.0,106804650.0
,,,,106804651.0
,,,,106804652.0
Государственная служба,Служащий,Служба безопасности,72.0,106804653.0
,,,,106804654.0
Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,216.0,106804655.0
Транспорт,Специалист,Участие в основ. деятельности,144.0,106804656.0
Здравоохранение,Специалист,Участие в основ. деятельности,84.0,106804657.0
Юридические услуги/нотариальные услуги,Индивидуальный предприниматель,Участие в основ. деятельности,24.0,106804658.0
Сборочные производства,Специалист,Участие в основ. деятельности,36.0,106804659.0
,,,,106804660.0
Туризм,Рабочий,Участие в основ. деятельности,36.0,106804661.0
Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,48.0,106804662.0
Транспорт,Специалист,Участие в основ. деятельности,180.0,106804663.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,144.0,106804664.0
Торговля,Руководитель среднего звена,Участие в основ. деятельности,12.0,106804665.0
Нефтегазовая промышленность,Специалист,Кадровая служба и секретариат,48.0,106804666.0
Металлургия/Промышленность/Машиностроение,Специалист,"Бухгалтерия, финансы, планир.",10.0,106804667.0
Торговля,Рабочий,Участие в основ. деятельности,36.0,106804668.0
,,,,106804669.0
Сельское хозяйство,Работник сферы услуг,Участие в основ. деятельности,372.0,106804670.0
Сельское хозяйство,Рабочий,Участие в основ. деятельности,384.0,106804671.0
Транспорт,Рабочий,Участие в основ. деятельности,120.0,106804672.0
Другие сферы,Рабочий,Участие в основ. деятельности,324.0,106804673.0
Энергетика,Рабочий,Участие в основ. деятельности,120.0,106804674.0
Транспорт,Рабочий,Вспомогательный техперсонал,48.0,106804675.0
Торговля,Специалист,Участие в основ. деятельности,12.0,106804676.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,56.0,106804677.0
Торговля,Рабочий,Участие в основ. деятельности,12.0,106804678.0
Здравоохранение,Рабочий,Участие в основ. деятельности,13.0,106804679.0
Металлургия/Промышленность/Машиностроение,Специалист,Кадровая служба и секретариат,24.0,106804680.0
ЧОП/Детективная д-ть,Работник сферы услуг,Служба безопасности,6.0,106804681.0
Другие сферы,Рабочий,Снабжение и сбыт,10.0,106804682.0
Ресторанный бизнес/Общественное питание,Руководитель низшего звена,Участие в основ. деятельности,120.0,106804683.0
Другие сферы,Специалист,Участие в основ. деятельности,38.0,106804684.0
Другие сферы,Рабочий,Участие в основ. деятельности,324.0,106804685.0
Торговля,Специалист,Участие в основ. деятельности,24.0,106804686.0
Здравоохранение,Специалист,Участие в основ. деятельности,19.0,106804687.0
Здравоохранение,Служащий,Участие в основ. деятельности,65.0,106804688.0
Наука,Рабочий,Участие в основ. деятельности,204.0,106804689.0
Государственная служба,Специалист,Участие в основ. деятельности,36.0,106804690.0
,,,,106804691.0
,,,,106804692.0
Сельское хозяйство,Рабочий,Вспомогательный техперсонал,24.0,106804693.0
Металлургия/Промышленность/Машиностроение,Служащий,Участие в основ. деятельности,24.0,106804694.0
Строительство,Рабочий,Участие в основ. деятельности,108.0,106804695.0
Другие сферы,Руководитель низшего звена,Участие в основ. деятельности,60.0,106804696.0
Торговля,Специалист,Участие в основ. деятельности,60.0,106804697.0
,,,,106809692.0
Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,180.0,106804698.0
Транспорт,Работник сферы услуг,Участие в основ. деятельности,144.0,106804699.0
Образование,Специалист,Участие в основ. деятельности,84.0,106804700.0
Торговля,Служащий,Участие в основ. деятельности,7.0,106804701.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,54.0,106804702.0
Коммунальное хоз-во/Дорожные службы,Другое,Участие в основ. деятельности,24.0,106804703.0
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,72.0,106804704.0
Торговля,Рабочий,Участие в основ. деятельности,13.0,106804705.0
Наука,Специалист,Участие в основ. деятельности,180.0,106804706.0
Строительство,Специалист,Кадровая служба и секретариат,72.0,106804707.0
Строительство,Специалист,Вспомогательный техперсонал,24.0,106804708.0
Торговля,Рабочий,Участие в основ. деятельности,180.0,106804709.0
Другие сферы,Специалист,Участие в основ. деятельности,120.0,106804710.0
Образование,Рабочий,Участие в основ. деятельности,132.0,106804711.0
Государственная служба,Служащий,Участие в основ. деятельности,60.0,106804712.0
,,,,106804713.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,15.0,106804714.0
Торговля,Служащий,Участие в основ. деятельности,24.0,106804715.0
Другие сферы,Специалист,Служба безопасности,24.0,106804716.0
Сельское хозяйство,Специалист,Участие в основ. деятельности,144.0,106804717.0
Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,18.0,106804718.0
Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,36.0,106804719.0
,,,,106804720.0
Образование,Высококвалифиц. специалист,Участие в основ. деятельности,96.0,106804721.0
Другие сферы,Специалист,Участие в основ. деятельности,6.0,106804722.0
Транспорт,Рабочий,Участие в основ. деятельности,18.0,106804723.0
Здравоохранение,Рабочий,Вспомогательный техперсонал,6.0,106804724.0
Нефтегазовая промышленность,Рабочий,Участие в основ. деятельности,30.0,106804725.0
Сельское хозяйство,Руководитель низшего звена,Адм-хоз. и трансп. службы,168.0,106804726.0
Транспорт,Специалист,Участие в основ. деятельности,216.0,106804727.0
Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,204.0,106804728.0
,,,,106804729.0
Здравоохранение,Служащий,"Бухгалтерия, финансы, планир.",12.0,106804730.0
Другие сферы,Рабочий,Участие в основ. деятельности,36.0,106804731.0
Торговля,Специалист,"Бухгалтерия, финансы, планир.",111.0,106804732.0
Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,72.0,106804733.0
Торговля,Рабочий,Вспомогательный техперсонал,48.0,106804734.0
Торговля,Специалист,Пр-техн. обесп. и телеком.,6.0,106804735.0
Торговля,Работник сферы услуг,Участие в основ. деятельности,12.0,106804736.0
Другие сферы,Рабочий,Участие в основ. деятельности,72.0,106804737.0
Транспорт,Работник сферы услуг,Вспомогательный техперсонал,7.0,106804738.0
Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,192.0,106804739.0
,,,,106804740.0
Транспорт,Рабочий,Участие в основ. деятельности,120.0,106804741.0
Строительство,Специалист,Участие в основ. деятельности,108.0,106804742.0
,,,,106804743.0
Транспорт,Работник сферы услуг,Участие в основ. деятельности,8.0,106804744.0
Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,36.0,106804745.0
